title,population,operation_level,visiting_status,datetime_of_data
FCI THREE RIVERS,,Level 1,Not Suspended,2023-09-27 10:36:33 PDT
FCI THREE RIVERS,1347.0,Level 1,Not Suspended,2023-09-27 11:20:43 PDT
FCI THREE RIVERS,1347.0,Level 1,Not Suspended,2023-09-27 12:22:23 PDT
FCI THREE RIVERS,1347.0,Level 1,Not Suspended,2023-09-27 16:08:16 PDT
FCI THREE RIVERS,1347.0,Level 1,Not Suspended,2023-09-27 18:46:18 PDT
FCI THREE RIVERS,1347.0,Level 1,Not Suspended,2023-09-28 07:11:17 PDT
FCI THREE RIVERS,1347.0,Level 1,Not Suspended,2023-09-28 10:20:28 PDT
FCI THREE RIVERS,1348.0,Level 1,Not Suspended,2023-09-28 16:31:51 PDT
FCI THREE RIVERS,1348.0,Level 1,Not Suspended,2023-10-02 14:39:08 PDT
FCI THREE RIVERS,1364.0,Level 1,Not Suspended,2023-10-22 11:46:22 PDT
FCI THREE RIVERS,1319.0,Level 1,Suspended,2023-11-03 16:23:13 PDT
FCI THREE RIVERS,1319.0,Level 1,Suspended,2023-11-10 11:01:31 PST
FCI THREE RIVERS,1356.0,Level 1,Suspended,2023-11-12 09:43:19 PST
FCI THREE RIVERS,1356.0,Level 1,Suspended,2023-11-13 09:50:10 PST
FCI THREE RIVERS,1356.0,Level 1,Not Suspended,2023-11-15 09:52:59 PST
FCI THREE RIVERS,1330.0,Level 1,Suspended,2023-11-21 11:33:56 PST
FCI THREE RIVERS,1330.0,Level 1,Suspended,2023-11-22 10:15:24 PST
FCI THREE RIVERS,1330.0,Level 1,Suspended,2023-11-26 15:09:33 PST
FCI THREE RIVERS,1310.0,Level 1,Suspended,2023-11-27 12:32:54 PST
FCI THREE RIVERS,1310.0,Level 1,Suspended,2023-11-28 10:44:39 PST
FCI THREE RIVERS,1302.0,Level 1,Suspended,2023-11-30 10:37:04 PST
FCI THREE RIVERS,1302.0,Level 1,Suspended,2023-12-01 11:46:33 PST
FCI THREE RIVERS,1302.0,Level 1,Suspended,2023-12-03 11:11:09 PST
FCI THREE RIVERS,1302.0,Level 1,Suspended,2023-12-04 15:08:51 PST
FCI THREE RIVERS,1302.0,Level 1,Suspended,2023-12-05 07:54:26 PST
FCI THREE RIVERS,1307.0,Level 1,Not Suspended,2023-12-07 17:15:00 PST
FCI THREE RIVERS,1307.0,Level 1,Not Suspended,2023-12-08 21:08:48 PST
FCI THREE RIVERS,1307.0,Level 1,Not Suspended,2023-12-11 09:10:41 PST
FCI THREE RIVERS,1307.0,Level 1,Not Suspended,2023-12-12 16:53:01 PST
FCI THREE RIVERS,1307.0,Level 1,Not Suspended,2023-12-13 11:10:40 PST
FCI THREE RIVERS,1293.0,Level 1,Suspended,2023-12-18 07:19:07 PST
FCI THREE RIVERS,1293.0,Level 1,Suspended,2023-12-20 09:24:20 PST
FCI THREE RIVERS,1293.0,Level 1,Suspended,2023-12-22 08:29:56 PST
FCI THREE RIVERS,1293.0,Level 1,Suspended,2023-12-27 10:33:28 PST
FCI THREE RIVERS,1293.0,Level 1,Suspended,2023-12-28 11:55:53 PST
FCI THREE RIVERS,1293.0,Level 1,Suspended,2023-12-29 11:04:19 PST
FCI THREE RIVERS,1293.0,Level 1,Suspended,2023-12-29 11:45:46 PST
FCI THREE RIVERS,1286.0,Level 1,Suspended,2024-01-02 10:44:02 PST
FCI THREE RIVERS,1286.0,Level 1,Suspended,2024-01-03 10:10:09 PST
FCI THREE RIVERS,1318.0,Level 1,Not Suspended,2024-01-04 10:35:56 PST
FCI THREE RIVERS,1318.0,Level 1,Not Suspended,2024-01-05 10:37:24 PST
FCI THREE RIVERS,1318.0,Level 1,Suspended,2024-01-07 18:29:57 PST
