title,population,operation_level,visiting_status,datetime_of_data
FCI TUCSON,310,No Longer Available,Not Suspended,2024-02-16 10:47:01 PST
FCI TUCSON,310,No Longer Available,Not Suspended,2024-02-20 10:42:10 PST
FCI TUCSON,310,No Longer Available,Not Suspended,2024-02-18 15:12:23 PST
FCI TUCSON,310,No Longer Available,Not Suspended,2024-02-19 08:19:18 PST
FCI TUCSON,319,No Longer Available,Not Suspended,2024-02-27 07:32:28 PST
FCI TUCSON,319,No Longer Available,Not Suspended,2024-02-26 18:45:04 PST
FCI TUCSON,292,No Longer Available,Not Suspended,2024-03-01 10:40:13 PST
FCI TUCSON,288,No Longer Available,Not Suspended,2024-02-13 10:59:55 PST
FCI TUCSON,319,No Longer Available,Not Suspended,2024-02-23 12:59:29 PST
FCI TUCSON,319,No Longer Available,Not Suspended,2024-02-24 11:55:46 PST
FCI TUCSON,288,No Longer Available,Not Suspended,2024-02-08 14:30:08 PST
FCI TUCSON,292,No Longer Available,Not Suspended,2024-03-03 21:29:45 PST
FCI TUCSON,372,No Longer Available,Not Suspended,2024-03-19 10:26:52 PDT
FCI TUCSON,322,No Longer Available,Not Suspended,2024-02-07 19:36:12 PST
FCI TUCSON,372,No Longer Available,Not Suspended,2024-03-21 10:34:37 PDT
FCI TUCSON,288,No Longer Available,Not Suspended,2024-02-09 10:37:10 PST
FCI TUCSON,286,No Longer Available,Suspended,2024-01-19 10:51:19 PST
FCI TUCSON,372,No Longer Available,Not Suspended,2024-03-20 10:29:16 PDT
FCI TUCSON,287,No Longer Available,Suspended,2024-02-01 14:29:18 PST
FCI TUCSON,288,No Longer Available,Not Suspended,2024-02-10 18:08:53 PST
FCI TUCSON,322,No Longer Available,Suspended,2024-02-02 23:22:46 PST
FCI TUCSON,322,No Longer Available,Suspended,2024-02-03 19:52:12 PST
FCI TUCSON,322,No Longer Available,Not Suspended,2024-02-06 14:43:20 PST
FCI TUCSON,286,No Longer Available,Suspended,2024-01-23 10:34:52 PST
FCI TUCSON,288,No Longer Available,Not Suspended,2024-02-12 09:46:51 PST
FCI TUCSON,286,No Longer Available,Suspended,2024-01-22 10:33:19 PST
FCI TUCSON,286,No Longer Available,Suspended,2024-01-24 09:28:36 PST
FCI TUCSON,322,No Longer Available,Suspended,2024-02-03 09:46:40 PST
FCI TUCSON,322,No Longer Available,Not Suspended,2024-02-05 11:42:46 PST
FCI TUCSON,287,No Longer Available,Suspended,2024-01-30 14:36:30 PST
FCI TUCSON,288,No Longer Available,Not Suspended,2024-02-11 11:20:28 PST
FCI TUCSON,287,No Longer Available,Suspended,2024-01-28 20:47:01 PST
FCI TUCSON,287,No Longer Available,Suspended,2024-01-26 10:39:17 PST
FCI TUCSON,287,No Longer Available,Suspended,2024-01-27 15:04:06 PST
FCI TUCSON,314,No Longer Available,Suspended,2024-01-11 12:36:46 PST
FCI TUCSON,322,No Longer Available,Suspended,2024-02-04 13:00:37 PST
FCI TUCSON,302,No Longer Available,Suspended,2024-01-18 10:40:59 PST
FCI TUCSON,287,No Longer Available,Suspended,2024-01-29 10:09:51 PST
FCI TUCSON,314,No Longer Available,Suspended,2024-01-13 13:10:54 PST
FCI TUCSON,302,No Longer Available,Suspended,2024-01-17 10:37:18 PST
FCI TUCSON,302,No Longer Available,Suspended,2024-01-16 10:39:10 PST
FCI TUCSON,287,No Longer Available,Suspended,2024-01-25 11:57:59 PST
FCI TUCSON,363,Level 1,Not Suspended,2023-10-22 11:46:38 PDT
FCI TUCSON,374,Level 1,Not Suspended,2023-09-28 16:32:06 PDT
FCI TUCSON,357,Level 1,Not Suspended,2023-09-28 07:11:33 PDT
FCI TUCSON,357,Level 1,Not Suspended,2023-09-27 18:46:34 PDT
FCI TUCSON,357,Level 1,Not Suspended,2023-09-27 16:08:32 PDT
FCI TUCSON,364,Level 1,Not Suspended,2023-11-03 16:23:28 PDT
FCI TUCSON,374,Level 1,Not Suspended,2023-10-02 14:39:24 PDT
FCI TUCSON,362,Level 1,Suspended,2023-12-13 11:10:55 PST
FCI TUCSON,357,Level 1,Not Suspended,2023-09-27 12:22:39 PDT
FCI TUCSON,357,Level 1,Not Suspended,2023-09-28 10:20:44 PDT
FCI TUCSON,366,Level 1,Not Suspended,2023-11-15 09:53:14 PST
FCI TUCSON,362,Level 1,Suspended,2023-12-12 16:53:16 PST
FCI TUCSON,357,Level 1,Not Suspended,2023-09-27 11:20:52 PDT
FCI TUCSON,362,Level 1,Suspended,2023-12-11 09:10:56 PST
FCI TUCSON,366,Level 1,Not Suspended,2023-11-12 09:43:35 PST
FCI TUCSON,363,Level 1,Suspended,2023-12-20 09:24:35 PST
FCI TUCSON,362,Level 1,Suspended,2023-12-08 21:09:03 PST
FCI TUCSON,366,Level 1,Not Suspended,2023-11-13 09:50:26 PST
FCI TUCSON,363,Level 1,Suspended,2023-12-29 11:46:01 PST
FCI TUCSON,363,Level 1,Suspended,2023-12-29 11:04:37 PST
