title,population,operation_level,visiting_status,datetime_of_data
FCI VICTORVILLE MEDIUM II,"1,344",No Longer Available,Suspended,2024-02-16 10:47:49 PST
FCI VICTORVILLE MEDIUM II,"1,344",No Longer Available,Suspended,2024-02-20 10:43:00 PST
FCI VICTORVILLE MEDIUM II,"1,344",No Longer Available,Suspended,2024-02-18 15:13:12 PST
FCI VICTORVILLE MEDIUM II,"1,344",No Longer Available,Suspended,2024-02-19 08:20:09 PST
FCI VICTORVILLE MEDIUM II,"1,381",No Longer Available,Not Suspended,2024-02-27 07:33:18 PST
FCI VICTORVILLE MEDIUM II,"1,381",No Longer Available,Not Suspended,2024-02-26 18:45:55 PST
FCI VICTORVILLE MEDIUM II,"1,484",No Longer Available,Not Suspended,2024-03-01 10:41:00 PST
FCI VICTORVILLE MEDIUM II,"1,354",No Longer Available,Not Suspended,2024-02-13 11:00:42 PST
FCI VICTORVILLE MEDIUM II,"1,381",No Longer Available,Suspended,2024-02-23 13:00:17 PST
FCI VICTORVILLE MEDIUM II,"1,381",No Longer Available,Suspended,2024-02-24 11:56:36 PST
FCI VICTORVILLE MEDIUM II,"1,354",No Longer Available,Not Suspended,2024-02-08 14:30:55 PST
FCI VICTORVILLE MEDIUM II,"1,484",No Longer Available,Not Suspended,2024-03-03 21:30:40 PST
FCI VICTORVILLE MEDIUM II,"1,453",No Longer Available,Not Suspended,2024-03-19 10:27:43 PDT
FCI VICTORVILLE MEDIUM II,"1,372",No Longer Available,Not Suspended,2024-02-07 19:37:02 PST
FCI VICTORVILLE MEDIUM II,"1,453",No Longer Available,Not Suspended,2024-03-21 10:35:29 PDT
FCI VICTORVILLE MEDIUM II,"1,354",No Longer Available,Not Suspended,2024-02-09 10:37:57 PST
FCI VICTORVILLE MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-01-19 10:52:06 PST
FCI VICTORVILLE MEDIUM II,"1,453",No Longer Available,Not Suspended,2024-03-20 10:30:07 PDT
FCI VICTORVILLE MEDIUM II,"1,410",No Longer Available,Not Suspended,2024-02-01 14:30:05 PST
FCI VICTORVILLE MEDIUM II,"1,354",No Longer Available,Not Suspended,2024-02-10 18:09:40 PST
FCI VICTORVILLE MEDIUM II,"1,372",No Longer Available,Not Suspended,2024-02-02 23:23:34 PST
FCI VICTORVILLE MEDIUM II,"1,372",No Longer Available,Not Suspended,2024-02-03 19:53:02 PST
FCI VICTORVILLE MEDIUM II,"1,372",No Longer Available,Not Suspended,2024-02-06 14:44:09 PST
FCI VICTORVILLE MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-01-23 10:35:39 PST
FCI VICTORVILLE MEDIUM II,"1,354",No Longer Available,Not Suspended,2024-02-12 09:47:44 PST
FCI VICTORVILLE MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-01-22 10:34:05 PST
FCI VICTORVILLE MEDIUM II,"1,389",No Longer Available,Not Suspended,2024-01-24 09:29:23 PST
FCI VICTORVILLE MEDIUM II,"1,372",No Longer Available,Not Suspended,2024-02-03 09:47:27 PST
FCI VICTORVILLE MEDIUM II,"1,372",No Longer Available,Not Suspended,2024-02-05 11:43:33 PST
FCI VICTORVILLE MEDIUM II,"1,410",No Longer Available,Suspended,2024-01-30 14:37:20 PST
FCI VICTORVILLE MEDIUM II,"1,354",No Longer Available,Not Suspended,2024-02-11 11:21:16 PST
FCI VICTORVILLE MEDIUM II,"1,410",No Longer Available,Not Suspended,2024-01-28 20:47:48 PST
FCI VICTORVILLE MEDIUM II,"1,410",No Longer Available,Not Suspended,2024-01-26 10:40:03 PST
FCI VICTORVILLE MEDIUM II,"1,410",No Longer Available,Not Suspended,2024-01-27 15:04:56 PST
FCI VICTORVILLE MEDIUM II,"1,393",No Longer Available,Not Suspended,2024-01-11 12:37:33 PST
FCI VICTORVILLE MEDIUM II,"1,372",No Longer Available,Not Suspended,2024-02-04 13:01:24 PST
FCI VICTORVILLE MEDIUM II,"1,426",No Longer Available,Not Suspended,2024-01-18 10:41:45 PST
FCI VICTORVILLE MEDIUM II,"1,410",No Longer Available,Suspended,2024-01-29 10:10:38 PST
FCI VICTORVILLE MEDIUM II,"1,393",No Longer Available,Not Suspended,2024-01-13 13:11:41 PST
FCI VICTORVILLE MEDIUM II,"1,426",No Longer Available,Not Suspended,2024-01-17 10:38:04 PST
