title,population,operation_level,visiting_status,datetime_of_data
FCI VICTORVILLE MEDIUM I,1642,Level 1,Suspended,2023-09-27 10:37:01 PDT
FCI VICTORVILLE MEDIUM I,1642,Level 1,Suspended,2023-09-27 11:21:08 PDT
FCI VICTORVILLE MEDIUM I,1642,Level 1,Suspended,2023-09-27 12:23:12 PDT
FCI VICTORVILLE MEDIUM I,1642,Level 1,Not Suspended,2023-09-27 16:09:08 PDT
FCI VICTORVILLE MEDIUM I,1642,Level 1,Not Suspended,2023-09-27 18:47:04 PDT
FCI VICTORVILLE MEDIUM I,1642,Level 1,Not Suspended,2023-09-28 07:12:04 PDT
FCI VICTORVILLE MEDIUM I,1642,Level 1,Not Suspended,2023-09-28 10:21:15 PDT
FCI VICTORVILLE MEDIUM I,1663,Level 1,Not Suspended,2023-09-28 16:32:38 PDT
FCI VICTORVILLE MEDIUM I,1663,Level 1,Not Suspended,2023-10-02 14:39:55 PDT
FCI VICTORVILLE MEDIUM I,1676,Level 1,Not Suspended,2023-10-22 11:47:08 PDT
FCI VICTORVILLE MEDIUM I,1677,Level 1,Not Suspended,2023-11-03 16:23:59 PDT
FCI VICTORVILLE MEDIUM I,1677,Level 1,Not Suspended,2023-11-10 11:02:18 PST
FCI VICTORVILLE MEDIUM I,1671,Level 1,Not Suspended,2023-11-12 09:44:07 PST
FCI VICTORVILLE MEDIUM I,1671,Level 1,Not Suspended,2023-11-13 09:50:56 PST
FCI VICTORVILLE MEDIUM I,1671,Level 1,Not Suspended,2023-11-15 09:53:46 PST
FCI VICTORVILLE MEDIUM I,1665,Level 1,Not Suspended,2023-11-21 11:34:45 PST
FCI VICTORVILLE MEDIUM I,1665,Level 1,Not Suspended,2023-11-22 10:16:10 PST
FCI VICTORVILLE MEDIUM I,1665,Level 1,Not Suspended,2023-11-26 15:10:19 PST
FCI VICTORVILLE MEDIUM I,1672,Level 1,Not Suspended,2023-11-27 12:33:42 PST
FCI VICTORVILLE MEDIUM I,1672,Level 1,Not Suspended,2023-11-28 10:45:27 PST
FCI VICTORVILLE MEDIUM I,1660,Level 1,Not Suspended,2023-11-30 10:37:51 PST
FCI VICTORVILLE MEDIUM I,1660,Level 1,Not Suspended,2023-12-01 11:47:20 PST
FCI VICTORVILLE MEDIUM I,1660,Level 1,Not Suspended,2023-12-03 11:11:56 PST
FCI VICTORVILLE MEDIUM I,1660,Level 1,Not Suspended,2023-12-04 15:09:37 PST
FCI VICTORVILLE MEDIUM I,1660,Level 1,Not Suspended,2023-12-05 07:55:14 PST
FCI VICTORVILLE MEDIUM I,1661,Level 1,Not Suspended,2023-12-07 17:15:49 PST
FCI VICTORVILLE MEDIUM I,1661,Level 1,Not Suspended,2023-12-08 21:09:34 PST
FCI VICTORVILLE MEDIUM I,1661,Level 1,Not Suspended,2023-12-11 09:11:28 PST
FCI VICTORVILLE MEDIUM I,1661,Level 1,Not Suspended,2023-12-12 16:53:47 PST
FCI VICTORVILLE MEDIUM I,1661,Level 1,Not Suspended,2023-12-13 11:11:26 PST
FCI VICTORVILLE MEDIUM I,1658,Level 1,Not Suspended,2023-12-18 07:19:53 PST
FCI VICTORVILLE MEDIUM I,1658,Level 1,Not Suspended,2023-12-20 09:25:06 PST
FCI VICTORVILLE MEDIUM I,1658,Level 1,Not Suspended,2023-12-22 08:30:43 PST
FCI VICTORVILLE MEDIUM I,1658,Level 1,Not Suspended,2023-12-27 10:34:14 PST
FCI VICTORVILLE MEDIUM I,1658,Level 1,Not Suspended,2023-12-28 11:56:43 PST
FCI VICTORVILLE MEDIUM I,1658,Level 1,Not Suspended,2023-12-29 11:05:08 PST
FCI VICTORVILLE MEDIUM I,1658,Level 1,Not Suspended,2023-12-29 11:46:32 PST
FCI VICTORVILLE MEDIUM I,1654,Level 1,Not Suspended,2024-01-02 10:44:52 PST
FCI VICTORVILLE MEDIUM I,1654,Level 1,Not Suspended,2024-01-03 10:10:56 PST
FCI VICTORVILLE MEDIUM I,1626,Level 1,Not Suspended,2024-01-04 10:36:43 PST
FCI VICTORVILLE MEDIUM I,1626,Level 1,Not Suspended,2024-01-05 10:38:10 PST
FCI VICTORVILLE MEDIUM I,1626,Level 1,Not Suspended,2024-01-07 18:30:47 PST
FCI VICTORVILLE MEDIUM I,1626,Level 1,Not Suspended,2024-01-08 10:58:25 PST
FCI VICTORVILLE MEDIUM I,1626,Level 1,Not Suspended,2024-01-09 10:38:52 PST
FCI VICTORVILLE MEDIUM I,1626,No Longer Available,Not Suspended,2024-01-11 12:37:17 PST
FCI VICTORVILLE MEDIUM I,1626,No Longer Available,Not Suspended,2024-01-13 13:11:26 PST
FCI VICTORVILLE MEDIUM I,1624,No Longer Available,Suspended,2024-01-16 10:39:41 PST
FCI VICTORVILLE MEDIUM I,1624,No Longer Available,Suspended,2024-01-17 10:37:48 PST
FCI VICTORVILLE MEDIUM I,1624,No Longer Available,Suspended,2024-01-18 10:41:30 PST
FCI VICTORVILLE MEDIUM I,1633,No Longer Available,Suspended,2024-01-19 10:51:51 PST
FCI VICTORVILLE MEDIUM I,1633,No Longer Available,Suspended,2024-01-22 10:33:49 PST
FCI VICTORVILLE MEDIUM I,1633,No Longer Available,Suspended,2024-01-23 10:35:24 PST
FCI VICTORVILLE MEDIUM I,1633,No Longer Available,Suspended,2024-01-24 09:29:07 PST
FCI VICTORVILLE MEDIUM I,1620,No Longer Available,Suspended,2024-01-25 11:58:30 PST
FCI VICTORVILLE MEDIUM I,1620,No Longer Available,Suspended,2024-01-26 10:39:48 PST
FCI VICTORVILLE MEDIUM I,1620,No Longer Available,Suspended,2024-01-27 15:04:38 PST
FCI VICTORVILLE MEDIUM I,1620,No Longer Available,Suspended,2024-01-28 20:47:32 PST
FCI VICTORVILLE MEDIUM I,1620,No Longer Available,Suspended,2024-01-29 10:10:22 PST
FCI VICTORVILLE MEDIUM I,1620,No Longer Available,Suspended,2024-01-30 14:37:03 PST
FCI VICTORVILLE MEDIUM I,1620,No Longer Available,Not Suspended,2024-02-01 14:29:49 PST
FCI VICTORVILLE MEDIUM I,1598,No Longer Available,Not Suspended,2024-02-02 23:23:18 PST
FCI VICTORVILLE MEDIUM I,1598,No Longer Available,Not Suspended,2024-02-03 09:47:11 PST
FCI VICTORVILLE MEDIUM I,1598,No Longer Available,Not Suspended,2024-02-03 19:52:46 PST
FCI VICTORVILLE MEDIUM I,1598,No Longer Available,Not Suspended,2024-02-04 13:01:08 PST
FCI VICTORVILLE MEDIUM I,1598,No Longer Available,Not Suspended,2024-02-05 11:43:17 PST
FCI VICTORVILLE MEDIUM I,1598,No Longer Available,Not Suspended,2024-02-06 14:43:52 PST
FCI VICTORVILLE MEDIUM I,1598,No Longer Available,Not Suspended,2024-02-07 19:36:44 PST
FCI VICTORVILLE MEDIUM I,1574,No Longer Available,Not Suspended,2024-02-08 14:30:39 PST
FCI VICTORVILLE MEDIUM I,1574,No Longer Available,Not Suspended,2024-02-09 10:37:42 PST
FCI VICTORVILLE MEDIUM I,1574,No Longer Available,Not Suspended,2024-02-10 18:09:24 PST
FCI VICTORVILLE MEDIUM I,1574,No Longer Available,Not Suspended,2024-02-11 11:21:00 PST
FCI VICTORVILLE MEDIUM I,1574,No Longer Available,Not Suspended,2024-02-12 09:47:25 PST
FCI VICTORVILLE MEDIUM I,1574,No Longer Available,Not Suspended,2024-02-13 11:00:26 PST
FCI VICTORVILLE MEDIUM I,1563,No Longer Available,Not Suspended,2024-02-16 10:47:33 PST
FCI VICTORVILLE MEDIUM I,1563,No Longer Available,Not Suspended,2024-02-18 15:12:54 PST
FCI VICTORVILLE MEDIUM I,1563,No Longer Available,Not Suspended,2024-02-19 08:19:52 PST
FCI VICTORVILLE MEDIUM I,1563,No Longer Available,Not Suspended,2024-02-20 10:42:41 PST
FCI VICTORVILLE MEDIUM I,1561,No Longer Available,Not Suspended,2024-02-23 13:00:02 PST
FCI VICTORVILLE MEDIUM I,1561,No Longer Available,Not Suspended,2024-02-24 11:56:21 PST
FCI VICTORVILLE MEDIUM I,1561,No Longer Available,Not Suspended,2024-02-26 18:45:39 PST
FCI VICTORVILLE MEDIUM I,1561,No Longer Available,Not Suspended,2024-02-27 07:33:00 PST
FCI VICTORVILLE MEDIUM I,1577,No Longer Available,Not Suspended,2024-03-01 10:40:44 PST
FCI VICTORVILLE MEDIUM I,1577,No Longer Available,Not Suspended,2024-03-03 21:30:21 PST
FCI VICTORVILLE MEDIUM I,1575,No Longer Available,Not Suspended,2024-03-19 10:27:24 PDT
FCI VICTORVILLE MEDIUM I,1575,No Longer Available,Not Suspended,2024-03-20 10:29:48 PDT
FCI VICTORVILLE MEDIUM I,1575,No Longer Available,Suspended,2024-03-21 10:35:11 PDT
