title,population,operation_level,visiting_status,datetime_of_data
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-16 10:48:21 PST
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-20 10:43:34 PST
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-18 15:13:45 PST
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-19 08:20:43 PST
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-27 07:33:51 PST
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-26 18:46:28 PST
FCI WASECA,768,No Longer Available,Not Suspended,2024-03-01 10:41:33 PST
FCI WASECA,789,No Longer Available,Not Suspended,2024-02-13 11:01:16 PST
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-23 13:00:49 PST
FCI WASECA,783,No Longer Available,Not Suspended,2024-02-24 11:57:09 PST
FCI WASECA,789,No Longer Available,Not Suspended,2024-02-08 14:31:29 PST
FCI WASECA,768,No Longer Available,Not Suspended,2024-03-03 21:31:13 PST
FCI WASECA,798,No Longer Available,Not Suspended,2024-03-19 10:28:16 PDT
FCI WASECA,768,No Longer Available,Not Suspended,2024-02-07 19:37:35 PST
FCI WASECA,798,No Longer Available,Not Suspended,2024-03-21 10:36:01 PDT
FCI WASECA,789,No Longer Available,Not Suspended,2024-02-09 10:38:31 PST
FCI WASECA,774,No Longer Available,Not Suspended,2024-01-19 10:52:40 PST
FCI WASECA,798,No Longer Available,Not Suspended,2024-03-20 10:30:40 PDT
FCI WASECA,769,No Longer Available,Not Suspended,2024-02-01 14:30:39 PST
FCI WASECA,789,No Longer Available,Not Suspended,2024-02-10 18:10:12 PST
FCI WASECA,768,No Longer Available,Not Suspended,2024-02-02 23:24:09 PST
FCI WASECA,768,No Longer Available,Not Suspended,2024-02-03 19:53:35 PST
FCI WASECA,768,No Longer Available,Not Suspended,2024-02-06 14:44:42 PST
FCI WASECA,774,No Longer Available,Not Suspended,2024-01-23 10:36:10 PST
FCI WASECA,789,No Longer Available,Not Suspended,2024-02-12 09:48:15 PST
FCI WASECA,774,No Longer Available,Not Suspended,2024-01-22 10:34:37 PST
FCI WASECA,774,No Longer Available,Not Suspended,2024-01-24 09:29:56 PST
FCI WASECA,768,No Longer Available,Not Suspended,2024-02-03 09:48:02 PST
FCI WASECA,768,No Longer Available,Not Suspended,2024-02-05 11:44:05 PST
FCI WASECA,769,No Longer Available,Not Suspended,2024-01-30 14:37:54 PST
FCI WASECA,789,No Longer Available,Not Suspended,2024-02-11 11:21:50 PST
FCI WASECA,769,No Longer Available,Not Suspended,2024-01-28 20:48:21 PST
