title,population,operation_level,visiting_status,datetime_of_data
FCI WILLIAMSBURG,"1,229",No Longer Available,Not Suspended,2024-02-16 10:48:37 PST
FCI WILLIAMSBURG,"1,229",No Longer Available,Not Suspended,2024-02-20 10:43:50 PST
FCI WILLIAMSBURG,"1,229",No Longer Available,Not Suspended,2024-02-18 15:14:03 PST
FCI WILLIAMSBURG,"1,229",No Longer Available,Not Suspended,2024-02-19 08:20:59 PST
FCI WILLIAMSBURG,"1,206",No Longer Available,Not Suspended,2024-02-27 07:34:09 PST
FCI WILLIAMSBURG,"1,206",No Longer Available,Not Suspended,2024-02-26 18:46:43 PST
FCI WILLIAMSBURG,"1,202",No Longer Available,Not Suspended,2024-03-01 10:41:49 PST
FCI WILLIAMSBURG,"1,238",No Longer Available,Not Suspended,2024-02-13 11:01:33 PST
FCI WILLIAMSBURG,"1,206",No Longer Available,Not Suspended,2024-02-23 13:01:04 PST
FCI WILLIAMSBURG,"1,206",No Longer Available,Not Suspended,2024-02-24 11:57:25 PST
FCI WILLIAMSBURG,"1,238",No Longer Available,Not Suspended,2024-02-08 14:31:46 PST
FCI WILLIAMSBURG,"1,202",No Longer Available,Not Suspended,2024-03-03 21:31:29 PST
FCI WILLIAMSBURG,"1,185",No Longer Available,Not Suspended,2024-03-19 10:28:32 PDT
FCI WILLIAMSBURG,"1,256",No Longer Available,Not Suspended,2024-02-07 19:37:51 PST
FCI WILLIAMSBURG,"1,185",No Longer Available,Not Suspended,2024-03-21 10:36:17 PDT
FCI WILLIAMSBURG,"1,238",No Longer Available,Not Suspended,2024-02-09 10:38:46 PST
FCI WILLIAMSBURG,"1,275",No Longer Available,Not Suspended,2024-01-19 10:52:55 PST
FCI WILLIAMSBURG,"1,185",No Longer Available,Not Suspended,2024-03-20 10:30:56 PDT
FCI WILLIAMSBURG,"1,265",No Longer Available,Not Suspended,2024-02-01 14:30:55 PST
FCI WILLIAMSBURG,"1,238",No Longer Available,Not Suspended,2024-02-10 18:10:28 PST
FCI WILLIAMSBURG,"1,256",No Longer Available,Not Suspended,2024-02-02 23:24:24 PST
FCI WILLIAMSBURG,"1,256",No Longer Available,Not Suspended,2024-02-03 19:53:52 PST
FCI WILLIAMSBURG,"1,256",No Longer Available,Not Suspended,2024-02-06 14:45:00 PST
FCI WILLIAMSBURG,"1,275",No Longer Available,Not Suspended,2024-01-23 10:36:28 PST
FCI WILLIAMSBURG,"1,238",No Longer Available,Not Suspended,2024-02-12 09:48:31 PST
FCI WILLIAMSBURG,"1,275",No Longer Available,Not Suspended,2024-01-22 10:34:53 PST
FCI WILLIAMSBURG,"1,275",No Longer Available,Not Suspended,2024-01-24 09:30:12 PST
FCI WILLIAMSBURG,"1,256",No Longer Available,Not Suspended,2024-02-03 09:48:19 PST
FCI WILLIAMSBURG,"1,256",No Longer Available,Not Suspended,2024-02-05 11:44:23 PST
FCI WILLIAMSBURG,"1,265",No Longer Available,Not Suspended,2024-01-30 14:38:13 PST
FCI WILLIAMSBURG,"1,238",No Longer Available,Not Suspended,2024-02-11 11:22:08 PST
FCI WILLIAMSBURG,"1,265",No Longer Available,Not Suspended,2024-01-28 20:48:37 PST
