title,population,operation_level,visiting_status,datetime_of_data
FCI YAZOO CITY LOW,,Level 1,Not Suspended,2023-09-27 10:37:57 PDT
FCI YAZOO CITY LOW,1502.0,Level 1,Not Suspended,2023-09-27 11:22:05 PDT
FCI YAZOO CITY LOW,1502.0,Level 1,Not Suspended,2023-09-27 12:25:05 PDT
FCI YAZOO CITY LOW,1502.0,Level 1,Not Suspended,2023-09-27 16:11:01 PDT
FCI YAZOO CITY LOW,1502.0,Level 1,Not Suspended,2023-09-27 18:48:54 PDT
FCI YAZOO CITY LOW,1502.0,Level 1,Not Suspended,2023-09-28 07:13:54 PDT
FCI YAZOO CITY LOW,1502.0,Level 1,Not Suspended,2023-09-28 10:23:05 PDT
FCI YAZOO CITY LOW,1505.0,Level 1,Not Suspended,2023-09-28 16:34:28 PDT
FCI YAZOO CITY LOW,1505.0,Level 1,Not Suspended,2023-10-02 14:41:45 PDT
FCI YAZOO CITY LOW,1504.0,Level 1,Not Suspended,2023-10-22 11:48:58 PDT
FCI YAZOO CITY LOW,1487.0,Level 1,Not Suspended,2023-11-03 16:25:49 PDT
FCI YAZOO CITY LOW,1487.0,Level 1,Not Suspended,2023-11-10 11:04:10 PST
FCI YAZOO CITY LOW,1487.0,Level 1,Not Suspended,2023-11-12 09:45:56 PST
FCI YAZOO CITY LOW,1487.0,Level 1,Not Suspended,2023-11-13 09:52:49 PST
FCI YAZOO CITY LOW,1487.0,Level 1,Not Suspended,2023-11-15 09:55:37 PST
FCI YAZOO CITY LOW,1477.0,Level 1,Not Suspended,2023-11-21 11:36:34 PST
FCI YAZOO CITY LOW,1477.0,Level 1,Not Suspended,2023-11-22 10:18:01 PST
FCI YAZOO CITY LOW,1477.0,Level 1,Not Suspended,2023-11-26 15:12:12 PST
FCI YAZOO CITY LOW,1462.0,Level 1,Not Suspended,2023-11-27 12:35:31 PST
FCI YAZOO CITY LOW,1462.0,Level 1,Not Suspended,2023-11-28 10:47:21 PST
FCI YAZOO CITY LOW,1474.0,Level 1,Not Suspended,2023-11-30 10:39:41 PST
FCI YAZOO CITY LOW,1474.0,Level 1,Not Suspended,2023-12-01 11:49:13 PST
FCI YAZOO CITY LOW,1474.0,Level 1,Not Suspended,2023-12-03 11:13:53 PST
FCI YAZOO CITY LOW,1474.0,Level 1,Not Suspended,2023-12-04 15:11:26 PST
FCI YAZOO CITY LOW,1474.0,Level 1,Not Suspended,2023-12-05 07:57:05 PST
FCI YAZOO CITY LOW,1458.0,Level 1,Not Suspended,2023-12-07 17:17:49 PST
FCI YAZOO CITY LOW,1458.0,Level 1,Not Suspended,2023-12-08 21:11:25 PST
FCI YAZOO CITY LOW,1458.0,Level 1,Not Suspended,2023-12-11 09:13:20 PST
FCI YAZOO CITY LOW,1458.0,Level 1,Not Suspended,2023-12-12 16:55:37 PST
FCI YAZOO CITY LOW,1458.0,Level 1,Not Suspended,2023-12-13 11:13:15 PST
FCI YAZOO CITY LOW,1452.0,Level 1,Not Suspended,2023-12-18 07:21:45 PST
FCI YAZOO CITY LOW,1452.0,Level 1,Not Suspended,2023-12-20 09:26:56 PST
FCI YAZOO CITY LOW,1452.0,Level 1,Not Suspended,2023-12-22 08:32:33 PST
FCI YAZOO CITY LOW,1452.0,Level 1,Not Suspended,2023-12-27 10:36:02 PST
FCI YAZOO CITY LOW,1452.0,Level 1,Not Suspended,2023-12-28 11:58:33 PST
FCI YAZOO CITY LOW,1452.0,Level 1,Not Suspended,2023-12-29 11:06:56 PST
