title,population,operation_level,visiting_status,datetime_of_data
FCI YAZOO CITY MEDIUM,"1,290",No Longer Available,Not Suspended,2024-02-16 10:49:10 PST
FCI YAZOO CITY MEDIUM,"1,290",No Longer Available,Not Suspended,2024-02-20 10:44:23 PST
FCI YAZOO CITY MEDIUM,"1,290",No Longer Available,Not Suspended,2024-02-18 15:14:35 PST
FCI YAZOO CITY MEDIUM,"1,290",No Longer Available,Not Suspended,2024-02-19 08:21:32 PST
FCI YAZOO CITY MEDIUM,"1,285",No Longer Available,Not Suspended,2024-02-27 07:34:43 PST
FCI YAZOO CITY MEDIUM,"1,285",No Longer Available,Not Suspended,2024-02-26 18:47:15 PST
FCI YAZOO CITY MEDIUM,"1,289",No Longer Available,Not Suspended,2024-03-01 10:42:20 PST
FCI YAZOO CITY MEDIUM,"1,303",No Longer Available,Not Suspended,2024-02-13 11:02:05 PST
FCI YAZOO CITY MEDIUM,"1,285",No Longer Available,Not Suspended,2024-02-23 13:01:36 PST
FCI YAZOO CITY MEDIUM,"1,285",No Longer Available,Not Suspended,2024-02-24 11:57:58 PST
FCI YAZOO CITY MEDIUM,"1,303",No Longer Available,Not Suspended,2024-02-08 14:32:19 PST
FCI YAZOO CITY MEDIUM,"1,289",No Longer Available,Not Suspended,2024-03-03 21:32:04 PST
FCI YAZOO CITY MEDIUM,"1,279",No Longer Available,Not Suspended,2024-03-19 10:29:03 PDT
FCI YAZOO CITY MEDIUM,"1,328",No Longer Available,Not Suspended,2024-02-07 19:38:25 PST
FCI YAZOO CITY MEDIUM,"1,279",No Longer Available,Not Suspended,2024-03-21 10:36:50 PDT
FCI YAZOO CITY MEDIUM,"1,303",No Longer Available,Not Suspended,2024-02-09 10:39:19 PST
FCI YAZOO CITY MEDIUM,"1,347",No Longer Available,Suspended,2024-01-19 10:53:26 PST
FCI YAZOO CITY MEDIUM,"1,279",No Longer Available,Not Suspended,2024-03-20 10:31:28 PDT
FCI YAZOO CITY MEDIUM,"1,334",No Longer Available,Suspended,2024-02-01 14:31:30 PST
FCI YAZOO CITY MEDIUM,"1,303",No Longer Available,Not Suspended,2024-02-10 18:11:00 PST
FCI YAZOO CITY MEDIUM,"1,328",No Longer Available,Not Suspended,2024-02-02 23:24:57 PST
FCI YAZOO CITY MEDIUM,"1,328",No Longer Available,Not Suspended,2024-02-03 19:54:24 PST
FCI YAZOO CITY MEDIUM,"1,328",No Longer Available,Not Suspended,2024-02-06 14:45:33 PST
FCI YAZOO CITY MEDIUM,"1,347",No Longer Available,Suspended,2024-01-23 10:36:59 PST
