title,population,operation_level,visiting_status,datetime_of_data
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-16 10:31:57 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-20 10:26:55 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-18 14:57:08 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-19 08:04:00 PST
FDC HONOLULU,255,No Longer Available,Not Suspended,2024-02-27 07:17:14 PST
FDC HONOLULU,255,No Longer Available,Not Suspended,2024-02-26 18:29:25 PST
FDC HONOLULU,253,No Longer Available,Not Suspended,2024-03-01 10:25:16 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-13 10:44:46 PST
FDC HONOLULU,255,No Longer Available,Not Suspended,2024-02-23 12:44:20 PST
FDC HONOLULU,255,No Longer Available,Not Suspended,2024-02-24 11:40:01 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-08 14:15:06 PST
FDC HONOLULU,253,No Longer Available,Not Suspended,2024-03-03 21:13:42 PST
FDC HONOLULU,255,No Longer Available,Not Suspended,2024-03-19 10:11:39 PDT
FDC HONOLULU,247,No Longer Available,Not Suspended,2024-02-07 19:20:46 PST
FDC HONOLULU,255,No Longer Available,Not Suspended,2024-03-21 10:18:17 PDT
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-09 10:22:12 PST
FDC HONOLULU,238,No Longer Available,Not Suspended,2024-01-19 10:36:16 PST
FDC HONOLULU,255,No Longer Available,Not Suspended,2024-03-20 10:14:09 PDT
FDC HONOLULU,236,No Longer Available,Not Suspended,2024-02-01 14:14:19 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-10 17:53:25 PST
FDC HONOLULU,247,No Longer Available,Not Suspended,2024-02-02 23:07:43 PST
FDC HONOLULU,247,No Longer Available,Not Suspended,2024-02-03 19:36:52 PST
FDC HONOLULU,247,No Longer Available,Not Suspended,2024-02-06 14:28:11 PST
FDC HONOLULU,238,No Longer Available,Not Suspended,2024-01-23 10:19:53 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-12 09:31:15 PST
FDC HONOLULU,238,No Longer Available,Not Suspended,2024-01-22 10:18:20 PST
FDC HONOLULU,238,No Longer Available,Not Suspended,2024-01-24 09:13:40 PST
FDC HONOLULU,247,No Longer Available,Not Suspended,2024-02-03 09:31:26 PST
FDC HONOLULU,247,No Longer Available,Not Suspended,2024-02-05 11:27:55 PST
FDC HONOLULU,236,No Longer Available,Not Suspended,2024-01-30 14:21:08 PST
FDC HONOLULU,251,No Longer Available,Not Suspended,2024-02-11 11:05:19 PST
FDC HONOLULU,236,No Longer Available,Not Suspended,2024-01-28 20:32:03 PST
FDC HONOLULU,236,No Longer Available,Not Suspended,2024-01-26 10:24:19 PST
FDC HONOLULU,236,No Longer Available,Not Suspended,2024-01-27 14:48:54 PST
FDC HONOLULU,234,No Longer Available,Not Suspended,2024-01-11 12:21:51 PST
FDC HONOLULU,247,No Longer Available,Not Suspended,2024-02-04 12:45:25 PST
FDC HONOLULU,238,No Longer Available,Not Suspended,2024-01-18 10:25:55 PST
FDC HONOLULU,236,No Longer Available,Not Suspended,2024-01-29 09:55:00 PST
FDC HONOLULU,234,No Longer Available,Not Suspended,2024-01-13 12:56:06 PST
FDC HONOLULU,238,No Longer Available,Not Suspended,2024-01-17 10:22:16 PST
FDC HONOLULU,238,No Longer Available,Not Suspended,2024-01-16 10:23:59 PST
FDC HONOLULU,236,No Longer Available,Not Suspended,2024-01-25 11:43:05 PST
FDC HONOLULU,278,Level 1,Not Suspended,2023-10-22 11:31:51 PDT
FDC HONOLULU,281,Level 1,Not Suspended,2023-09-28 16:17:17 PDT
FDC HONOLULU,284,Level 1,Not Suspended,2023-09-28 06:56:43 PDT
FDC HONOLULU,284,Level 1,Not Suspended,2023-09-27 18:31:53 PDT
FDC HONOLULU,284,Level 1,Not Suspended,2023-09-27 15:53:06 PDT
FDC HONOLULU,282,Level 1,Not Suspended,2023-11-03 16:08:44 PDT
FDC HONOLULU,281,Level 1,Not Suspended,2023-10-02 14:24:33 PDT
