title,population,operation_level,visiting_status,datetime_of_data
FDC HOUSTON,,Level 1,Not Suspended,2023-09-27 10:29:07 PDT
FDC HOUSTON,736.0,Level 1,Not Suspended,2023-09-27 11:13:11 PDT
FDC HOUSTON,736.0,Level 1,Not Suspended,2023-09-27 12:07:18 PDT
FDC HOUSTON,736.0,Level 1,Not Suspended,2023-09-27 15:53:22 PDT
FDC HOUSTON,736.0,Level 1,Not Suspended,2023-09-27 18:32:08 PDT
FDC HOUSTON,736.0,Level 1,Not Suspended,2023-09-28 06:56:58 PDT
FDC HOUSTON,736.0,Level 1,Not Suspended,2023-09-28 10:06:11 PDT
FDC HOUSTON,722.0,Level 1,Not Suspended,2023-09-28 16:17:33 PDT
FDC HOUSTON,722.0,Level 1,Not Suspended,2023-10-02 14:24:49 PDT
FDC HOUSTON,753.0,Level 1,Not Suspended,2023-10-22 11:32:06 PDT
FDC HOUSTON,744.0,Level 1,Not Suspended,2023-11-03 16:08:59 PDT
FDC HOUSTON,744.0,Level 1,Not Suspended,2023-11-10 10:47:10 PST
FDC HOUSTON,755.0,Level 1,Not Suspended,2023-11-12 09:29:06 PST
FDC HOUSTON,755.0,Level 1,Not Suspended,2023-11-13 09:35:46 PST
FDC HOUSTON,755.0,Level 1,Not Suspended,2023-11-15 09:38:41 PST
FDC HOUSTON,757.0,Level 1,Not Suspended,2023-11-21 11:19:30 PST
FDC HOUSTON,757.0,Level 1,Not Suspended,2023-11-22 10:01:05 PST
FDC HOUSTON,757.0,Level 1,Not Suspended,2023-11-26 14:55:14 PST
FDC HOUSTON,738.0,Level 1,Not Suspended,2023-11-27 12:18:41 PST
FDC HOUSTON,738.0,Level 1,Not Suspended,2023-11-28 10:30:06 PST
FDC HOUSTON,719.0,Level 1,Not Suspended,2023-11-30 10:22:47 PST
FDC HOUSTON,719.0,Level 1,Not Suspended,2023-12-01 11:32:10 PST
FDC HOUSTON,719.0,Level 1,Not Suspended,2023-12-03 10:56:53 PST
FDC HOUSTON,719.0,Level 1,Not Suspended,2023-12-04 14:54:33 PST
FDC HOUSTON,719.0,Level 1,Not Suspended,2023-12-05 07:40:03 PST
FDC HOUSTON,725.0,Level 1,Not Suspended,2023-12-07 17:00:09 PST
