title,population,operation_level,visiting_status,datetime_of_data
FDC MIAMI,,Level 1,Not Suspended,2023-09-27 10:31:50 PDT
FDC MIAMI,1005.0,Level 1,Not Suspended,2023-09-27 11:15:55 PDT
FDC MIAMI,1005.0,Level 1,Not Suspended,2023-09-27 12:12:44 PDT
FDC MIAMI,1005.0,Level 1,Not Suspended,2023-09-27 15:58:49 PDT
FDC MIAMI,1005.0,Level 1,Not Suspended,2023-09-27 18:37:18 PDT
FDC MIAMI,1005.0,Level 1,Not Suspended,2023-09-28 07:02:11 PDT
FDC MIAMI,1005.0,Level 1,Not Suspended,2023-09-28 10:11:22 PDT
FDC MIAMI,984.0,Level 1,Not Suspended,2023-09-28 16:22:45 PDT
FDC MIAMI,984.0,Level 1,Not Suspended,2023-10-02 14:30:02 PDT
FDC MIAMI,1110.0,Level 1,Not Suspended,2023-10-22 11:37:17 PDT
FDC MIAMI,1003.0,Level 1,Not Suspended,2023-11-03 16:14:10 PDT
FDC MIAMI,1003.0,Level 1,Not Suspended,2023-11-10 10:52:25 PST
FDC MIAMI,984.0,Level 1,Not Suspended,2023-11-12 09:34:16 PST
FDC MIAMI,984.0,Level 1,Not Suspended,2023-11-13 09:41:04 PST
FDC MIAMI,984.0,Level 1,Not Suspended,2023-11-15 09:43:53 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-11-21 11:24:47 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-11-22 10:06:18 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-11-26 15:00:28 PST
FDC MIAMI,955.0,Level 1,Not Suspended,2023-11-27 12:23:50 PST
FDC MIAMI,955.0,Level 1,Not Suspended,2023-11-28 10:35:23 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-11-30 10:27:59 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-12-01 11:37:22 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-12-03 11:02:05 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-12-04 14:59:44 PST
FDC MIAMI,964.0,Level 1,Not Suspended,2023-12-05 07:45:18 PST
FDC MIAMI,962.0,Level 1,Not Suspended,2023-12-07 17:05:34 PST
FDC MIAMI,962.0,Level 1,Not Suspended,2023-12-08 20:59:44 PST
FDC MIAMI,962.0,Level 1,Not Suspended,2023-12-11 09:01:11 PST
FDC MIAMI,962.0,Level 1,Not Suspended,2023-12-12 16:43:56 PST
FDC MIAMI,962.0,Level 1,Not Suspended,2023-12-13 11:01:38 PST
FDC MIAMI,992.0,Level 1,Not Suspended,2023-12-18 07:10:04 PST
FDC MIAMI,992.0,Level 1,Not Suspended,2023-12-20 09:15:16 PST
FDC MIAMI,992.0,Level 1,Not Suspended,2023-12-22 08:20:47 PST
FDC MIAMI,992.0,Level 1,Suspended,2023-12-27 10:24:20 PST
FDC MIAMI,992.0,Level 1,Not Suspended,2023-12-28 11:46:48 PST
FDC MIAMI,992.0,Level 1,Not Suspended,2023-12-29 10:55:06 PST
FDC MIAMI,992.0,Level 1,Not Suspended,2023-12-29 11:36:39 PST
FDC MIAMI,968.0,Level 1,Not Suspended,2024-01-02 10:34:50 PST
FDC MIAMI,968.0,Level 1,Not Suspended,2024-01-03 10:01:06 PST
FDC MIAMI,937.0,Level 1,Not Suspended,2024-01-04 10:26:50 PST
FDC MIAMI,937.0,Level 1,Not Suspended,2024-01-05 10:28:14 PST
FDC MIAMI,937.0,Level 1,Not Suspended,2024-01-07 18:20:53 PST
FDC MIAMI,937.0,Level 1,Not Suspended,2024-01-08 10:48:38 PST
FDC MIAMI,937.0,Level 1,Not Suspended,2024-01-09 10:28:52 PST
FDC MIAMI,937.0,No Longer Available,Not Suspended,2024-01-11 12:27:20 PST
FDC MIAMI,937.0,No Longer Available,Not Suspended,2024-01-13 13:01:35 PST
FDC MIAMI,930.0,No Longer Available,Not Suspended,2024-01-16 10:29:36 PST
FDC MIAMI,930.0,No Longer Available,Not Suspended,2024-01-17 10:27:48 PST
FDC MIAMI,930.0,No Longer Available,Not Suspended,2024-01-18 10:31:28 PST
FDC MIAMI,937.0,No Longer Available,Not Suspended,2024-01-19 10:41:50 PST
FDC MIAMI,937.0,No Longer Available,Not Suspended,2024-01-22 10:23:49 PST
FDC MIAMI,937.0,No Longer Available,Not Suspended,2024-01-23 10:25:24 PST
FDC MIAMI,937.0,No Longer Available,Not Suspended,2024-01-24 09:19:12 PST
FDC MIAMI,942.0,No Longer Available,Not Suspended,2024-01-25 11:48:34 PST
FDC MIAMI,942.0,No Longer Available,Not Suspended,2024-01-26 10:29:53 PST
FDC MIAMI,942.0,No Longer Available,Not Suspended,2024-01-27 14:54:34 PST
