title,population,operation_level,visiting_status,datetime_of_data
FDC PHILADELPHIA,927,No Longer Available,Not Suspended,2024-02-16 10:41:12 PST
FDC PHILADELPHIA,927,No Longer Available,Not Suspended,2024-02-20 10:36:20 PST
FDC PHILADELPHIA,927,No Longer Available,Not Suspended,2024-02-18 15:06:25 PST
FDC PHILADELPHIA,927,No Longer Available,Not Suspended,2024-02-19 08:13:25 PST
FDC PHILADELPHIA,893,No Longer Available,Not Suspended,2024-02-27 07:26:37 PST
FDC PHILADELPHIA,893,No Longer Available,Not Suspended,2024-02-26 18:39:00 PST
FDC PHILADELPHIA,937,No Longer Available,Not Suspended,2024-03-01 10:34:25 PST
FDC PHILADELPHIA,852,No Longer Available,Not Suspended,2024-02-13 10:54:05 PST
FDC PHILADELPHIA,893,No Longer Available,Not Suspended,2024-02-23 12:53:40 PST
FDC PHILADELPHIA,893,No Longer Available,Not Suspended,2024-02-24 11:49:31 PST
FDC PHILADELPHIA,852,No Longer Available,Not Suspended,2024-02-08 14:24:22 PST
FDC PHILADELPHIA,937,No Longer Available,Not Suspended,2024-03-03 21:23:34 PST
FDC PHILADELPHIA,952,No Longer Available,Not Suspended,2024-03-19 10:20:53 PDT
FDC PHILADELPHIA,877,No Longer Available,Not Suspended,2024-02-07 19:30:15 PST
FDC PHILADELPHIA,952,No Longer Available,Not Suspended,2024-03-21 10:28:18 PDT
FDC PHILADELPHIA,852,No Longer Available,Not Suspended,2024-02-09 10:31:25 PST
FDC PHILADELPHIA,850,No Longer Available,Not Suspended,2024-01-19 10:45:31 PST
FDC PHILADELPHIA,952,No Longer Available,Not Suspended,2024-03-20 10:23:28 PDT
FDC PHILADELPHIA,853,No Longer Available,Not Suspended,2024-02-01 14:23:32 PST
FDC PHILADELPHIA,852,No Longer Available,Not Suspended,2024-02-10 18:03:02 PST
FDC PHILADELPHIA,877,No Longer Available,Not Suspended,2024-02-02 23:16:59 PST
FDC PHILADELPHIA,877,No Longer Available,Not Suspended,2024-02-03 19:46:15 PST
FDC PHILADELPHIA,877,No Longer Available,Not Suspended,2024-02-06 14:37:31 PST
FDC PHILADELPHIA,850,No Longer Available,Not Suspended,2024-01-23 10:29:06 PST
FDC PHILADELPHIA,852,No Longer Available,Not Suspended,2024-02-12 09:40:48 PST
FDC PHILADELPHIA,850,No Longer Available,Not Suspended,2024-01-22 10:27:27 PST
FDC PHILADELPHIA,850,No Longer Available,Not Suspended,2024-01-24 09:22:52 PST
FDC PHILADELPHIA,877,No Longer Available,Not Suspended,2024-02-03 09:40:47 PST
FDC PHILADELPHIA,877,No Longer Available,Not Suspended,2024-02-05 11:37:01 PST
FDC PHILADELPHIA,853,No Longer Available,Not Suspended,2024-01-30 14:30:38 PST
FDC PHILADELPHIA,852,No Longer Available,Not Suspended,2024-02-11 11:14:36 PST
FDC PHILADELPHIA,853,No Longer Available,Not Suspended,2024-01-28 20:41:17 PST
FDC PHILADELPHIA,853,No Longer Available,Not Suspended,2024-01-26 10:33:33 PST
FDC PHILADELPHIA,853,No Longer Available,Not Suspended,2024-01-27 14:58:16 PST
FDC PHILADELPHIA,873,No Longer Available,Not Suspended,2024-01-11 12:31:01 PST
FDC PHILADELPHIA,877,No Longer Available,Not Suspended,2024-02-04 12:54:49 PST
