title,population,operation_level,visiting_status,datetime_of_data
FDC SEATAC,765,Level 1,Suspended,2023-09-27 10:35:12 PDT
FDC SEATAC,765,Level 1,Suspended,2023-09-27 11:19:19 PDT
FDC SEATAC,765,Level 1,Suspended,2023-09-27 12:19:35 PDT
FDC SEATAC,765,Level 1,Suspended,2023-09-27 16:05:35 PDT
FDC SEATAC,765,Level 1,Suspended,2023-09-27 18:43:42 PDT
FDC SEATAC,765,Level 1,Suspended,2023-09-28 07:08:41 PDT
FDC SEATAC,765,Level 1,Suspended,2023-09-28 10:17:54 PDT
FDC SEATAC,816,Level 1,Suspended,2023-09-28 16:29:15 PDT
FDC SEATAC,816,Level 1,Not Suspended,2023-10-02 14:36:33 PDT
FDC SEATAC,787,Level 1,Not Suspended,2023-10-22 11:43:47 PDT
FDC SEATAC,775,Level 1,Not Suspended,2023-11-03 16:20:38 PDT
FDC SEATAC,775,Level 1,Not Suspended,2023-11-10 10:58:56 PST
FDC SEATAC,746,Level 1,Not Suspended,2023-11-12 09:40:45 PST
FDC SEATAC,746,Level 1,Not Suspended,2023-11-13 09:47:33 PST
FDC SEATAC,746,Level 1,Not Suspended,2023-11-15 09:50:22 PST
FDC SEATAC,792,Level 1,Not Suspended,2023-11-21 11:31:20 PST
FDC SEATAC,792,Level 1,Not Suspended,2023-11-22 10:12:49 PST
FDC SEATAC,792,Level 1,Not Suspended,2023-11-26 15:06:58 PST
FDC SEATAC,753,Level 1,Not Suspended,2023-11-27 12:30:19 PST
FDC SEATAC,753,Level 1,Not Suspended,2023-11-28 10:41:56 PST
FDC SEATAC,801,Level 1,Not Suspended,2023-11-30 10:34:29 PST
FDC SEATAC,801,Level 1,Not Suspended,2023-12-01 11:43:53 PST
FDC SEATAC,801,Level 1,Not Suspended,2023-12-03 11:08:34 PST
FDC SEATAC,801,Level 1,Not Suspended,2023-12-04 15:06:15 PST
FDC SEATAC,801,Level 1,Not Suspended,2023-12-05 07:51:48 PST
FDC SEATAC,793,Level 1,Not Suspended,2023-12-07 17:12:18 PST
FDC SEATAC,793,Level 1,Not Suspended,2023-12-08 21:06:12 PST
FDC SEATAC,793,Level 1,Not Suspended,2023-12-11 09:07:56 PST
FDC SEATAC,793,Level 1,Not Suspended,2023-12-12 16:50:25 PST
FDC SEATAC,793,Level 1,Not Suspended,2023-12-13 11:08:03 PST
FDC SEATAC,768,Level 1,Not Suspended,2023-12-18 07:16:32 PST
FDC SEATAC,768,Level 1,Not Suspended,2023-12-20 09:21:44 PST
FDC SEATAC,768,Level 1,Not Suspended,2023-12-22 08:27:20 PST
FDC SEATAC,768,Level 1,Not Suspended,2023-12-27 10:30:51 PST
FDC SEATAC,768,Level 1,Not Suspended,2023-12-28 11:53:16 PST
FDC SEATAC,768,Level 1,Not Suspended,2023-12-29 11:01:44 PST
FDC SEATAC,768,Level 1,Not Suspended,2023-12-29 11:43:10 PST
FDC SEATAC,787,Level 1,Not Suspended,2024-01-02 10:41:26 PST
FDC SEATAC,787,Level 1,Not Suspended,2024-01-03 10:07:35 PST
FDC SEATAC,738,Level 1,Not Suspended,2024-01-04 10:33:21 PST
FDC SEATAC,738,Level 1,Not Suspended,2024-01-05 10:34:47 PST
FDC SEATAC,738,Level 1,Not Suspended,2024-01-07 18:27:22 PST
FDC SEATAC,738,Level 1,Not Suspended,2024-01-08 10:55:04 PST
FDC SEATAC,738,Level 1,Not Suspended,2024-01-09 10:35:29 PST
FDC SEATAC,738,No Longer Available,Not Suspended,2024-01-11 12:33:53 PST
FDC SEATAC,738,No Longer Available,Not Suspended,2024-01-13 13:08:05 PST
FDC SEATAC,779,No Longer Available,Not Suspended,2024-01-16 10:36:14 PST
FDC SEATAC,779,No Longer Available,Not Suspended,2024-01-17 10:34:25 PST
FDC SEATAC,779,No Longer Available,Not Suspended,2024-01-18 10:38:03 PST
FDC SEATAC,729,No Longer Available,Not Suspended,2024-01-19 10:48:25 PST
FDC SEATAC,729,No Longer Available,Not Suspended,2024-01-22 10:30:25 PST
FDC SEATAC,729,No Longer Available,Not Suspended,2024-01-23 10:32:00 PST
FDC SEATAC,729,No Longer Available,Not Suspended,2024-01-24 09:25:44 PST
FDC SEATAC,780,No Longer Available,Not Suspended,2024-01-25 11:55:06 PST
FDC SEATAC,780,No Longer Available,Not Suspended,2024-01-26 10:36:25 PST
FDC SEATAC,780,No Longer Available,Not Suspended,2024-01-27 15:01:11 PST
FDC SEATAC,780,No Longer Available,Not Suspended,2024-01-28 20:44:09 PST
FDC SEATAC,780,No Longer Available,Not Suspended,2024-01-29 10:07:00 PST
FDC SEATAC,780,No Longer Available,Not Suspended,2024-01-30 14:33:34 PST
FDC SEATAC,780,No Longer Available,Not Suspended,2024-02-01 14:26:25 PST
FDC SEATAC,776,No Longer Available,Not Suspended,2024-02-02 23:19:52 PST
FDC SEATAC,776,No Longer Available,Not Suspended,2024-02-03 09:43:43 PST
FDC SEATAC,776,No Longer Available,Not Suspended,2024-02-03 19:49:12 PST
FDC SEATAC,776,No Longer Available,Not Suspended,2024-02-04 12:57:43 PST
FDC SEATAC,776,No Longer Available,Not Suspended,2024-02-05 11:39:53 PST
FDC SEATAC,776,No Longer Available,Not Suspended,2024-02-06 14:40:26 PST
FDC SEATAC,776,No Longer Available,Not Suspended,2024-02-07 19:33:13 PST
FDC SEATAC,823,No Longer Available,Not Suspended,2024-02-08 14:27:15 PST
FDC SEATAC,823,No Longer Available,Not Suspended,2024-02-09 10:34:18 PST
FDC SEATAC,823,No Longer Available,Not Suspended,2024-02-10 18:05:56 PST
