title,population,operation_level,visiting_status,datetime_of_data
FMC BUTNER,854,Level 1,Not Suspended,2023-09-27 10:24:39 PDT
FMC BUTNER,854,Level 1,Not Suspended,2023-09-27 11:08:38 PDT
FMC BUTNER,854,Level 1,Not Suspended,2023-09-27 11:58:15 PDT
FMC BUTNER,854,Level 1,Not Suspended,2023-09-27 15:44:25 PDT
FMC BUTNER,854,Level 1,Not Suspended,2023-09-27 18:23:40 PDT
FMC BUTNER,854,Level 1,Not Suspended,2023-09-28 06:48:25 PDT
FMC BUTNER,854,Level 1,Not Suspended,2023-09-28 09:57:34 PDT
FMC BUTNER,852,Level 1,Not Suspended,2023-09-28 16:08:59 PDT
FMC BUTNER,852,Level 1,Not Suspended,2023-10-02 14:16:15 PDT
FMC BUTNER,843,Level 1,Not Suspended,2023-10-22 11:23:23 PDT
FMC BUTNER,856,Level 1,Not Suspended,2023-11-03 16:00:27 PDT
FMC BUTNER,856,Level 1,Not Suspended,2023-11-10 10:38:39 PST
FMC BUTNER,850,Level 1,Not Suspended,2023-11-12 09:20:35 PST
FMC BUTNER,850,Level 1,Not Suspended,2023-11-13 09:27:11 PST
FMC BUTNER,850,Level 1,Not Suspended,2023-11-15 09:30:13 PST
FMC BUTNER,842,Level 1,Not Suspended,2023-11-21 11:10:52 PST
FMC BUTNER,842,Level 1,Not Suspended,2023-11-22 09:52:34 PST
FMC BUTNER,842,Level 1,Not Suspended,2023-11-26 14:46:43 PST
FMC BUTNER,826,Level 1,Not Suspended,2023-11-27 12:10:12 PST
FMC BUTNER,826,Level 1,Not Suspended,2023-11-28 10:21:25 PST
FMC BUTNER,834,Level 1,Not Suspended,2023-11-30 10:14:14 PST
FMC BUTNER,834,Level 1,Not Suspended,2023-12-01 11:23:22 PST
FMC BUTNER,834,Level 1,Suspended,2023-12-03 10:48:18 PST
FMC BUTNER,834,Level 1,Suspended,2023-12-04 14:46:00 PST
FMC BUTNER,834,Level 1,Suspended,2023-12-05 07:31:25 PST
FMC BUTNER,843,Level 1,Not Suspended,2023-12-07 16:51:02 PST
