title,population,operation_level,visiting_status,datetime_of_data
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-27 10:24:55 PDT
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-27 11:08:55 PDT
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-27 11:58:47 PDT
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-27 15:44:57 PDT
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-27 18:24:11 PDT
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-28 06:48:56 PDT
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-28 09:58:05 PDT
FMC CARSWELL,981,Level 1,Not Suspended,2023-09-28 16:09:31 PDT
FMC CARSWELL,981,Level 1,Not Suspended,2023-10-02 14:16:46 PDT
FMC CARSWELL,982,Level 1,Not Suspended,2023-10-22 11:23:54 PDT
FMC CARSWELL,974,Level 1,Not Suspended,2023-11-03 16:00:58 PDT
FMC CARSWELL,974,Level 1,Not Suspended,2023-11-10 10:39:10 PST
FMC CARSWELL,971,Level 1,Not Suspended,2023-11-12 09:21:07 PST
FMC CARSWELL,971,Level 1,Not Suspended,2023-11-13 09:27:43 PST
FMC CARSWELL,971,Level 1,Not Suspended,2023-11-15 09:30:44 PST
FMC CARSWELL,967,Level 1,Not Suspended,2023-11-21 11:11:23 PST
FMC CARSWELL,967,Level 1,Not Suspended,2023-11-22 09:53:06 PST
FMC CARSWELL,967,Level 1,Not Suspended,2023-11-26 14:47:14 PST
FMC CARSWELL,965,Level 1,Not Suspended,2023-11-27 12:10:43 PST
FMC CARSWELL,965,Level 1,Not Suspended,2023-11-28 10:21:56 PST
FMC CARSWELL,979,Level 1,Not Suspended,2023-11-30 10:14:45 PST
FMC CARSWELL,979,Level 1,Not Suspended,2023-12-01 11:23:53 PST
FMC CARSWELL,979,Level 1,Not Suspended,2023-12-03 10:48:49 PST
FMC CARSWELL,979,Level 1,Not Suspended,2023-12-04 14:46:31 PST
FMC CARSWELL,979,Level 1,Not Suspended,2023-12-05 07:31:56 PST
FMC CARSWELL,984,Level 1,Not Suspended,2023-12-07 16:51:34 PST
FMC CARSWELL,984,Level 1,Not Suspended,2023-12-08 20:46:32 PST
FMC CARSWELL,984,Level 1,Not Suspended,2023-12-11 08:47:51 PST
FMC CARSWELL,984,Level 1,Not Suspended,2023-12-12 16:30:47 PST
FMC CARSWELL,984,Level 1,Not Suspended,2023-12-13 10:48:32 PST
FMC CARSWELL,982,Level 1,Not Suspended,2023-12-18 06:56:49 PST
FMC CARSWELL,982,Level 1,Not Suspended,2023-12-20 09:02:09 PST
FMC CARSWELL,982,Level 1,Not Suspended,2023-12-22 08:07:32 PST
FMC CARSWELL,982,Level 1,Not Suspended,2023-12-27 10:11:10 PST
FMC CARSWELL,982,Level 1,Not Suspended,2023-12-28 11:33:35 PST
FMC CARSWELL,982,Level 1,Not Suspended,2023-12-29 10:41:55 PST
FMC CARSWELL,982,Level 1,Not Suspended,2023-12-29 11:23:32 PST
FMC CARSWELL,980,Level 1,Not Suspended,2024-01-02 10:21:31 PST
FMC CARSWELL,980,Level 1,Not Suspended,2024-01-03 09:47:53 PST
FMC CARSWELL,979,Level 1,Not Suspended,2024-01-04 10:13:36 PST
FMC CARSWELL,979,Level 1,Not Suspended,2024-01-05 10:14:56 PST
FMC CARSWELL,979,Level 1,Not Suspended,2024-01-07 18:07:43 PST
FMC CARSWELL,979,Level 1,Not Suspended,2024-01-08 10:35:30 PST
FMC CARSWELL,979,Level 1,Not Suspended,2024-01-09 10:15:37 PST
FMC CARSWELL,979,No Longer Available,Not Suspended,2024-01-11 12:14:03 PST
FMC CARSWELL,979,No Longer Available,Not Suspended,2024-01-13 12:48:14 PST
FMC CARSWELL,991,No Longer Available,Not Suspended,2024-01-16 10:16:07 PST
FMC CARSWELL,991,No Longer Available,Not Suspended,2024-01-17 10:14:29 PST
FMC CARSWELL,991,No Longer Available,Not Suspended,2024-01-18 10:18:01 PST
FMC CARSWELL,990,No Longer Available,Not Suspended,2024-01-19 10:28:28 PST
FMC CARSWELL,990,No Longer Available,Not Suspended,2024-01-22 10:10:35 PST
FMC CARSWELL,990,No Longer Available,Not Suspended,2024-01-23 10:12:01 PST
FMC CARSWELL,990,No Longer Available,Not Suspended,2024-01-24 09:05:57 PST
FMC CARSWELL,987,No Longer Available,Not Suspended,2024-01-25 11:35:18 PST
FMC CARSWELL,987,No Longer Available,Not Suspended,2024-01-26 10:16:32 PST
FMC CARSWELL,987,No Longer Available,Not Suspended,2024-01-27 14:41:03 PST
FMC CARSWELL,987,No Longer Available,Not Suspended,2024-01-28 20:24:19 PST
FMC CARSWELL,987,No Longer Available,Not Suspended,2024-01-29 09:47:16 PST
FMC CARSWELL,987,No Longer Available,Not Suspended,2024-01-30 14:13:16 PST
FMC CARSWELL,987,No Longer Available,Not Suspended,2024-02-01 14:06:34 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-02 22:59:56 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-03 09:23:37 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-03 19:28:58 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-04 12:37:37 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-05 11:20:09 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-06 14:20:21 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-07 19:13:01 PST
FMC CARSWELL,968,No Longer Available,Not Suspended,2024-02-08 14:07:15 PST
FMC CARSWELL,968,No Longer Available,Not Suspended,2024-02-09 10:14:26 PST
FMC CARSWELL,968,No Longer Available,Not Suspended,2024-02-10 17:45:33 PST
FMC CARSWELL,968,No Longer Available,Not Suspended,2024-02-11 10:57:32 PST
FMC CARSWELL,968,No Longer Available,Not Suspended,2024-02-12 09:23:13 PST
FMC CARSWELL,968,No Longer Available,Not Suspended,2024-02-13 10:36:55 PST
FMC CARSWELL,967,No Longer Available,Not Suspended,2024-02-16 10:24:08 PST
FMC CARSWELL,967,No Longer Available,Not Suspended,2024-02-18 14:49:14 PST
FMC CARSWELL,967,No Longer Available,Not Suspended,2024-02-19 07:56:08 PST
FMC CARSWELL,967,No Longer Available,Not Suspended,2024-02-20 10:19:03 PST
FMC CARSWELL,976,No Longer Available,Not Suspended,2024-02-23 12:36:31 PST
FMC CARSWELL,976,No Longer Available,Not Suspended,2024-02-24 11:32:00 PST
FMC CARSWELL,976,No Longer Available,Not Suspended,2024-02-26 18:21:38 PST
FMC CARSWELL,976,No Longer Available,Not Suspended,2024-02-27 07:09:21 PST
FMC CARSWELL,967,No Longer Available,Not Suspended,2024-03-01 10:17:31 PST
FMC CARSWELL,967,No Longer Available,Not Suspended,2024-03-03 21:05:48 PST
FMC CARSWELL,971,No Longer Available,Not Suspended,2024-03-19 10:03:41 PDT
FMC CARSWELL,971,No Longer Available,Not Suspended,2024-03-20 10:06:17 PDT
FMC CARSWELL,971,No Longer Available,Not Suspended,2024-03-21 10:10:07 PDT
