title,population,operation_level,visiting_status,datetime_of_data
FMC DEVENS,907,No Longer Available,Not Suspended,2024-02-16 10:26:14 PST
FMC DEVENS,907,No Longer Available,Not Suspended,2024-02-20 10:21:09 PST
FMC DEVENS,907,No Longer Available,Not Suspended,2024-02-18 14:51:20 PST
FMC DEVENS,907,No Longer Available,Not Suspended,2024-02-19 07:58:14 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-02-27 07:11:27 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-02-26 18:23:42 PST
FMC DEVENS,902,No Longer Available,Not Suspended,2024-03-01 10:19:34 PST
FMC DEVENS,917,No Longer Available,Not Suspended,2024-02-13 10:39:00 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-02-23 12:38:37 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-02-24 11:34:05 PST
FMC DEVENS,917,No Longer Available,Not Suspended,2024-02-08 14:09:21 PST
FMC DEVENS,902,No Longer Available,Not Suspended,2024-03-03 21:07:54 PST
FMC DEVENS,910,No Longer Available,Not Suspended,2024-03-19 10:05:46 PDT
FMC DEVENS,919,No Longer Available,Not Suspended,2024-02-07 19:15:06 PST
FMC DEVENS,910,No Longer Available,Not Suspended,2024-03-21 10:12:16 PDT
FMC DEVENS,917,No Longer Available,Not Suspended,2024-02-09 10:16:31 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-01-19 10:30:32 PST
FMC DEVENS,910,No Longer Available,Not Suspended,2024-03-20 10:08:22 PDT
FMC DEVENS,910,No Longer Available,Not Suspended,2024-02-01 14:08:38 PST
FMC DEVENS,917,No Longer Available,Not Suspended,2024-02-10 17:47:39 PST
FMC DEVENS,919,No Longer Available,Not Suspended,2024-02-02 23:02:01 PST
FMC DEVENS,919,No Longer Available,Not Suspended,2024-02-03 19:31:05 PST
FMC DEVENS,919,No Longer Available,Not Suspended,2024-02-06 14:22:26 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-01-23 10:14:07 PST
FMC DEVENS,917,No Longer Available,Not Suspended,2024-02-12 09:25:20 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-01-22 10:12:39 PST
FMC DEVENS,905,No Longer Available,Not Suspended,2024-01-24 09:08:00 PST
FMC DEVENS,919,No Longer Available,Not Suspended,2024-02-03 09:25:42 PST
