title,population,operation_level,visiting_status,datetime_of_data
FMC FORT WORTH,1520,Level 1,Not Suspended,2023-09-27 10:28:03 PDT
FMC FORT WORTH,1520,Level 1,Not Suspended,2023-09-27 11:12:06 PDT
FMC FORT WORTH,1520,Level 1,Not Suspended,2023-09-27 12:05:04 PDT
FMC FORT WORTH,1520,Level 1,Not Suspended,2023-09-27 15:51:12 PDT
FMC FORT WORTH,1520,Level 1,Not Suspended,2023-09-27 18:30:05 PDT
FMC FORT WORTH,1520,Level 1,Not Suspended,2023-09-28 06:54:54 PDT
FMC FORT WORTH,1520,Level 1,Not Suspended,2023-09-28 10:04:06 PDT
FMC FORT WORTH,1523,Level 1,Not Suspended,2023-09-28 16:15:28 PDT
FMC FORT WORTH,1523,Level 1,Not Suspended,2023-10-02 14:22:45 PDT
FMC FORT WORTH,1511,Level 1,Not Suspended,2023-10-22 11:30:02 PDT
FMC FORT WORTH,1480,Level 1,Not Suspended,2023-11-03 16:06:55 PDT
FMC FORT WORTH,1480,Level 1,Not Suspended,2023-11-10 10:45:07 PST
FMC FORT WORTH,1487,Level 1,Not Suspended,2023-11-12 09:27:02 PST
FMC FORT WORTH,1487,Level 1,Not Suspended,2023-11-13 09:33:42 PST
FMC FORT WORTH,1487,Level 1,Not Suspended,2023-11-15 09:36:38 PST
FMC FORT WORTH,1483,Level 1,Not Suspended,2023-11-21 11:17:22 PST
FMC FORT WORTH,1483,Level 1,Not Suspended,2023-11-22 09:59:01 PST
FMC FORT WORTH,1483,Level 1,Not Suspended,2023-11-26 14:53:10 PST
FMC FORT WORTH,1483,Level 1,Not Suspended,2023-11-27 12:16:38 PST
FMC FORT WORTH,1483,Level 1,Not Suspended,2023-11-28 10:27:56 PST
FMC FORT WORTH,1481,Level 1,Not Suspended,2023-11-30 10:20:43 PST
FMC FORT WORTH,1481,Level 1,Not Suspended,2023-12-01 11:30:06 PST
FMC FORT WORTH,1481,Level 1,Not Suspended,2023-12-03 10:54:48 PST
FMC FORT WORTH,1481,Level 1,Not Suspended,2023-12-04 14:52:28 PST
FMC FORT WORTH,1481,Level 1,Not Suspended,2023-12-05 07:37:58 PST
FMC FORT WORTH,1484,Level 1,Not Suspended,2023-12-07 16:57:54 PST
FMC FORT WORTH,1484,Level 1,Not Suspended,2023-12-08 20:52:26 PST
FMC FORT WORTH,1484,Level 1,Not Suspended,2023-12-11 08:53:49 PST
FMC FORT WORTH,1484,Level 1,Not Suspended,2023-12-12 16:36:43 PST
FMC FORT WORTH,1484,Level 1,Not Suspended,2023-12-13 10:54:26 PST
FMC FORT WORTH,1475,Level 1,Not Suspended,2023-12-18 07:02:45 PST
FMC FORT WORTH,1475,Level 1,Not Suspended,2023-12-20 09:08:03 PST
FMC FORT WORTH,1475,Level 1,Not Suspended,2023-12-22 08:13:30 PST
FMC FORT WORTH,1475,Level 1,Not Suspended,2023-12-27 10:17:05 PST
FMC FORT WORTH,1475,Level 1,Not Suspended,2023-12-28 11:39:29 PST
FMC FORT WORTH,1475,Level 1,Not Suspended,2023-12-29 10:47:52 PST
FMC FORT WORTH,1475,Level 1,Not Suspended,2023-12-29 11:29:26 PST
FMC FORT WORTH,1463,Level 1,Not Suspended,2024-01-02 10:27:32 PST
FMC FORT WORTH,1463,Level 1,Not Suspended,2024-01-03 09:53:49 PST
FMC FORT WORTH,1462,Level 1,Not Suspended,2024-01-04 10:19:33 PST
FMC FORT WORTH,1462,Level 1,Not Suspended,2024-01-05 10:20:55 PST
FMC FORT WORTH,1462,Level 1,Not Suspended,2024-01-07 18:13:38 PST
FMC FORT WORTH,1462,Level 1,Not Suspended,2024-01-08 10:41:26 PST
FMC FORT WORTH,1462,Level 1,Not Suspended,2024-01-09 10:21:35 PST
FMC FORT WORTH,1462,No Longer Available,Not Suspended,2024-01-11 12:20:02 PST
FMC FORT WORTH,1462,No Longer Available,Not Suspended,2024-01-13 12:54:18 PST
