title,population,operation_level,visiting_status,datetime_of_data
FMC LEXINGTON,"1,260",No Longer Available,Not Suspended,2024-02-16 10:33:50 PST
FMC LEXINGTON,"1,260",No Longer Available,Not Suspended,2024-02-20 10:28:47 PST
FMC LEXINGTON,"1,260",No Longer Available,Not Suspended,2024-02-18 14:59:00 PST
FMC LEXINGTON,"1,260",No Longer Available,Not Suspended,2024-02-19 08:05:53 PST
FMC LEXINGTON,"1,252",No Longer Available,Not Suspended,2024-02-27 07:19:09 PST
FMC LEXINGTON,"1,252",No Longer Available,Not Suspended,2024-02-26 18:31:18 PST
FMC LEXINGTON,"1,259",No Longer Available,Not Suspended,2024-03-01 10:27:09 PST
FMC LEXINGTON,"1,269",No Longer Available,Not Suspended,2024-02-13 10:46:37 PST
FMC LEXINGTON,"1,252",No Longer Available,Not Suspended,2024-02-23 12:46:14 PST
FMC LEXINGTON,"1,252",No Longer Available,Not Suspended,2024-02-24 11:42:05 PST
FMC LEXINGTON,"1,269",No Longer Available,Not Suspended,2024-02-08 14:16:57 PST
FMC LEXINGTON,"1,259",No Longer Available,Not Suspended,2024-03-03 21:15:38 PST
FMC LEXINGTON,"1,246",No Longer Available,Not Suspended,2024-03-19 10:13:28 PDT
FMC LEXINGTON,"1,256",No Longer Available,Not Suspended,2024-02-07 19:22:41 PST
FMC LEXINGTON,"1,246",No Longer Available,Not Suspended,2024-03-21 10:20:18 PDT
FMC LEXINGTON,"1,269",No Longer Available,Not Suspended,2024-02-09 10:24:04 PST
FMC LEXINGTON,"1,267",No Longer Available,Not Suspended,2024-01-19 10:38:08 PST
FMC LEXINGTON,"1,246",No Longer Available,Not Suspended,2024-03-20 10:15:59 PDT
FMC LEXINGTON,"1,273",No Longer Available,Not Suspended,2024-02-01 14:16:09 PST
FMC LEXINGTON,"1,269",No Longer Available,Not Suspended,2024-02-10 17:55:18 PST
FMC LEXINGTON,"1,256",No Longer Available,Not Suspended,2024-02-02 23:09:34 PST
FMC LEXINGTON,"1,256",No Longer Available,Not Suspended,2024-02-03 19:38:45 PST
FMC LEXINGTON,"1,256",No Longer Available,Not Suspended,2024-02-06 14:30:03 PST
FMC LEXINGTON,"1,267",No Longer Available,Not Suspended,2024-01-23 10:21:45 PST
FMC LEXINGTON,"1,269",No Longer Available,Not Suspended,2024-02-12 09:33:14 PST
FMC LEXINGTON,"1,267",No Longer Available,Not Suspended,2024-01-22 10:20:11 PST
FMC LEXINGTON,"1,267",No Longer Available,Not Suspended,2024-01-24 09:15:31 PST
FMC LEXINGTON,"1,256",No Longer Available,Not Suspended,2024-02-03 09:33:20 PST
FMC LEXINGTON,"1,256",No Longer Available,Not Suspended,2024-02-05 11:29:43 PST
FMC LEXINGTON,"1,273",No Longer Available,Not Suspended,2024-01-30 14:23:02 PST
FMC LEXINGTON,"1,269",No Longer Available,Not Suspended,2024-02-11 11:07:10 PST
FMC LEXINGTON,"1,273",No Longer Available,Not Suspended,2024-01-28 20:33:54 PST
FMC LEXINGTON,"1,273",No Longer Available,Not Suspended,2024-01-26 10:26:11 PST
FMC LEXINGTON,"1,273",No Longer Available,Not Suspended,2024-01-27 14:50:46 PST
FMC LEXINGTON,"1,263",No Longer Available,Not Suspended,2024-01-11 12:23:41 PST
FMC LEXINGTON,"1,256",No Longer Available,Not Suspended,2024-02-04 12:47:18 PST
FMC LEXINGTON,"1,272",No Longer Available,Not Suspended,2024-01-18 10:27:47 PST
FMC LEXINGTON,"1,273",No Longer Available,Not Suspended,2024-01-29 09:56:51 PST
FMC LEXINGTON,"1,263",No Longer Available,Not Suspended,2024-01-13 12:57:58 PST
FMC LEXINGTON,"1,272",No Longer Available,Not Suspended,2024-01-17 10:24:09 PST
FMC LEXINGTON,"1,272",No Longer Available,Not Suspended,2024-01-16 10:25:54 PST
FMC LEXINGTON,"1,273",No Longer Available,Not Suspended,2024-01-25 11:44:55 PST
FMC LEXINGTON,"1,286",Level 1,Not Suspended,2023-10-22 11:33:39 PDT
FMC LEXINGTON,"1,291",Level 1,Not Suspended,2023-09-28 16:19:07 PDT
FMC LEXINGTON,"1,278",Level 1,Not Suspended,2023-09-28 06:58:33 PDT
FMC LEXINGTON,"1,278",Level 1,Not Suspended,2023-09-27 18:33:41 PDT
FMC LEXINGTON,"1,278",Level 1,Not Suspended,2023-09-27 15:55:01 PDT
FMC LEXINGTON,"1,288",Level 1,Not Suspended,2023-11-03 16:10:32 PDT
FMC LEXINGTON,"1,291",Level 1,Not Suspended,2023-10-02 14:26:24 PDT
FMC LEXINGTON,"1,299",Level 1,Not Suspended,2023-12-13 10:58:02 PST
FMC LEXINGTON,"1,278",Level 1,Not Suspended,2023-09-27 12:08:55 PDT
FMC LEXINGTON,"1,278",Level 1,Not Suspended,2023-09-28 10:07:45 PDT
FMC LEXINGTON,"1,287",Level 1,Not Suspended,2023-11-15 09:40:17 PST
FMC LEXINGTON,"1,299",Level 1,Not Suspended,2023-12-12 16:40:21 PST
FMC LEXINGTON,"1,278",Level 1,Not Suspended,2023-09-27 11:13:59 PDT
FMC LEXINGTON,"1,299",Level 1,Not Suspended,2023-12-11 08:57:26 PST
FMC LEXINGTON,"1,287",Level 1,Not Suspended,2023-11-12 09:30:39 PST
FMC LEXINGTON,"1,282",Level 1,Not Suspended,2023-12-20 09:11:40 PST
FMC LEXINGTON,"1,299",Level 1,Not Suspended,2023-12-08 20:56:06 PST
FMC LEXINGTON,"1,287",Level 1,Not Suspended,2023-11-13 09:37:23 PST
FMC LEXINGTON,"1,282",Level 1,Not Suspended,2023-12-29 11:33:02 PST
FMC LEXINGTON,"1,282",Level 1,Not Suspended,2023-12-29 10:51:29 PST
FMC LEXINGTON,"1,263",Level 1,Not Suspended,2024-01-08 10:45:02 PST
FMC LEXINGTON,"1,263",Level 1,Not Suspended,2024-01-09 10:25:15 PST
FMC LEXINGTON,"1,294",Level 1,Not Suspended,2023-11-21 11:21:05 PST
FMC LEXINGTON,"1,282",Level 1,Not Suspended,2023-12-22 08:17:09 PST
FMC LEXINGTON,"1,299",Level 1,Not Suspended,2023-12-07 17:01:48 PST
FMC LEXINGTON,"1,282",Level 1,Not Suspended,2023-12-28 11:43:07 PST
FMC LEXINGTON,"1,279",Level 1,Not Suspended,2024-01-02 10:31:11 PST
FMC LEXINGTON,"1,288",Level 1,Not Suspended,2023-11-10 10:48:45 PST
FMC LEXINGTON,"1,282",Level 1,Not Suspended,2023-12-18 07:06:23 PST
FMC LEXINGTON,"1,296",Level 1,Not Suspended,2023-11-27 12:20:14 PST
FMC LEXINGTON,"1,296",Level 1,Not Suspended,2023-11-28 10:31:42 PST
FMC LEXINGTON,"1,294",Level 1,Not Suspended,2023-11-22 10:02:40 PST
FMC LEXINGTON,"1,282",Level 1,Not Suspended,2023-12-27 10:20:43 PST
FMC LEXINGTON,"1,263",Level 1,Not Suspended,2024-01-05 10:24:35 PST
FMC LEXINGTON,"1,263",Level 1,Not Suspended,2024-01-04 10:23:12 PST
FMC LEXINGTON,"1,294",Level 1,Not Suspended,2023-11-26 14:56:49 PST
FMC LEXINGTON,"1,279",Level 1,Not Suspended,2024-01-03 09:57:28 PST
FMC LEXINGTON,"1,263",Level 1,Suspended,2024-01-07 18:17:17 PST
FMC LEXINGTON,"1,302",Level 1,Not Suspended,2023-12-01 11:33:45 PST
FMC LEXINGTON,"1,302",Level 1,Not Suspended,2023-11-30 10:24:21 PST
FMC LEXINGTON,"1,302",Level 1,Not Suspended,2023-12-04 14:56:06 PST
FMC LEXINGTON,"1,302",Level 1,Not Suspended,2023-12-05 07:41:37 PST
FMC LEXINGTON,"1,302",Level 1,Not Suspended,2023-12-03 10:58:27 PST
FMC LEXINGTON,,Level 1,Not Suspended,2023-09-27 10:29:56 PDT
