title,population,operation_level,visiting_status,datetime_of_data
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-16 10:42:32 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-20 10:37:39 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-18 15:07:44 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-19 08:14:45 PST
FMC ROCHESTER,576,No Longer Available,Not Suspended,2024-02-27 07:27:57 PST
FMC ROCHESTER,576,No Longer Available,Not Suspended,2024-02-26 18:40:27 PST
FMC ROCHESTER,572,No Longer Available,Not Suspended,2024-03-01 10:35:46 PST
FMC ROCHESTER,577,No Longer Available,Not Suspended,2024-02-13 10:55:24 PST
FMC ROCHESTER,576,No Longer Available,Not Suspended,2024-02-23 12:54:59 PST
FMC ROCHESTER,576,No Longer Available,Not Suspended,2024-02-24 11:50:51 PST
FMC ROCHESTER,577,No Longer Available,Not Suspended,2024-02-08 14:25:40 PST
FMC ROCHESTER,572,No Longer Available,Not Suspended,2024-03-03 21:25:01 PST
FMC ROCHESTER,649,No Longer Available,Not Suspended,2024-03-19 10:22:15 PDT
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-07 19:31:36 PST
FMC ROCHESTER,649,No Longer Available,Not Suspended,2024-03-21 10:29:46 PDT
FMC ROCHESTER,577,No Longer Available,Not Suspended,2024-02-09 10:32:44 PST
FMC ROCHESTER,579,No Longer Available,Not Suspended,2024-01-19 10:46:49 PST
FMC ROCHESTER,649,No Longer Available,Not Suspended,2024-03-20 10:24:46 PDT
FMC ROCHESTER,574,No Longer Available,Not Suspended,2024-02-01 14:24:50 PST
FMC ROCHESTER,577,No Longer Available,Not Suspended,2024-02-10 18:04:21 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-02 23:18:17 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-03 19:47:35 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-06 14:38:50 PST
FMC ROCHESTER,579,No Longer Available,Not Suspended,2024-01-23 10:30:24 PST
FMC ROCHESTER,577,No Longer Available,Not Suspended,2024-02-12 09:42:12 PST
FMC ROCHESTER,579,No Longer Available,Not Suspended,2024-01-22 10:28:45 PST
FMC ROCHESTER,579,No Longer Available,Not Suspended,2024-01-24 09:24:10 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-03 09:42:07 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-05 11:38:20 PST
FMC ROCHESTER,574,No Longer Available,Not Suspended,2024-01-30 14:31:57 PST
FMC ROCHESTER,577,No Longer Available,Not Suspended,2024-02-11 11:15:55 PST
FMC ROCHESTER,574,No Longer Available,Not Suspended,2024-01-28 20:42:35 PST
FMC ROCHESTER,574,No Longer Available,Not Suspended,2024-01-26 10:34:51 PST
FMC ROCHESTER,574,No Longer Available,Not Suspended,2024-01-27 14:59:35 PST
FMC ROCHESTER,581,No Longer Available,Not Suspended,2024-01-11 12:32:19 PST
FMC ROCHESTER,575,No Longer Available,Not Suspended,2024-02-04 12:56:08 PST
FMC ROCHESTER,586,No Longer Available,Not Suspended,2024-01-18 10:36:27 PST
FMC ROCHESTER,574,No Longer Available,Not Suspended,2024-01-29 10:05:26 PST
FMC ROCHESTER,581,No Longer Available,Not Suspended,2024-01-13 13:06:32 PST
FMC ROCHESTER,586,No Longer Available,Not Suspended,2024-01-17 10:32:48 PST
FMC ROCHESTER,586,No Longer Available,Not Suspended,2024-01-16 10:34:37 PST
FMC ROCHESTER,574,No Longer Available,Not Suspended,2024-01-25 11:53:32 PST
FMC ROCHESTER,597,Level 2,Not Suspended,2023-10-22 11:42:13 PDT
FMC ROCHESTER,585,Level 1,Not Suspended,2023-09-28 16:27:41 PDT
FMC ROCHESTER,589,Level 1,Not Suspended,2023-09-28 07:07:07 PDT
FMC ROCHESTER,589,Level 1,Not Suspended,2023-09-27 18:42:10 PDT
FMC ROCHESTER,589,Level 1,Not Suspended,2023-09-27 16:03:58 PDT
FMC ROCHESTER,591,Level 1,Not Suspended,2023-11-03 16:19:05 PDT
FMC ROCHESTER,585,Level 1,Not Suspended,2023-10-02 14:35:00 PDT
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-13 11:06:30 PST
FMC ROCHESTER,589,Level 1,Not Suspended,2023-09-27 12:17:56 PDT
FMC ROCHESTER,589,Level 1,Not Suspended,2023-09-28 10:16:20 PDT
FMC ROCHESTER,589,Level 1,Not Suspended,2023-11-15 09:48:48 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-12 16:48:51 PST
FMC ROCHESTER,589,Level 1,Not Suspended,2023-09-27 11:18:30 PDT
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-11 09:06:19 PST
FMC ROCHESTER,589,Level 1,Not Suspended,2023-11-12 09:39:11 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-20 09:20:12 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-08 21:04:39 PST
FMC ROCHESTER,589,Level 1,Not Suspended,2023-11-13 09:46:00 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-29 11:41:36 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-29 11:00:11 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2024-01-08 10:53:31 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2024-01-09 10:33:55 PST
FMC ROCHESTER,586,Level 1,Not Suspended,2023-11-21 11:29:46 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-22 08:25:45 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-07 17:10:44 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-28 11:51:44 PST
FMC ROCHESTER,582,Level 1,Not Suspended,2024-01-02 10:39:51 PST
FMC ROCHESTER,591,Level 1,Not Suspended,2023-11-10 10:57:22 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-18 07:14:58 PST
FMC ROCHESTER,584,Level 1,Not Suspended,2023-11-27 12:28:45 PST
FMC ROCHESTER,584,Level 1,Not Suspended,2023-11-28 10:40:20 PST
FMC ROCHESTER,586,Level 1,Not Suspended,2023-11-22 10:11:14 PST
FMC ROCHESTER,585,Level 1,Not Suspended,2023-12-27 10:29:15 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2024-01-05 10:33:11 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2024-01-04 10:31:45 PST
FMC ROCHESTER,586,Level 1,Not Suspended,2023-11-26 15:05:24 PST
FMC ROCHESTER,582,Level 1,Not Suspended,2024-01-03 10:06:00 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2024-01-07 18:25:47 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2023-12-01 11:42:18 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2023-11-30 10:32:55 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2023-12-04 15:04:41 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2023-12-05 07:50:14 PST
FMC ROCHESTER,581,Level 1,Not Suspended,2023-12-03 11:07:01 PST
FMC ROCHESTER,589,Level 1,Not Suspended,2023-09-27 10:34:24 PDT
