title,population,operation_level,visiting_status,datetime_of_data
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-27 10:21:40 PDT
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-27 11:05:40 PDT
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-27 11:52:09 PDT
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-27 15:38:27 PDT
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-27 18:18:00 PDT
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-28 06:42:42 PDT
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-28 09:51:49 PDT
FPC ALDERSON,702,Level 1,Not Suspended,2023-09-28 16:03:18 PDT
FPC ALDERSON,702,Level 1,Not Suspended,2023-10-02 14:10:33 PDT
FPC ALDERSON,708,Level 1,Not Suspended,2023-10-22 11:17:43 PDT
FPC ALDERSON,711,Level 1,Not Suspended,2023-11-03 15:54:44 PDT
FPC ALDERSON,711,Level 1,Not Suspended,2023-11-10 10:32:56 PST
FPC ALDERSON,706,Level 1,Not Suspended,2023-11-12 09:14:56 PST
FPC ALDERSON,706,Level 1,Not Suspended,2023-11-13 09:21:27 PST
FPC ALDERSON,706,Level 1,Not Suspended,2023-11-15 09:24:24 PST
FPC ALDERSON,728,Level 1,Not Suspended,2023-11-21 11:05:03 PST
FPC ALDERSON,728,Level 1,Not Suspended,2023-11-22 09:46:54 PST
FPC ALDERSON,728,Level 1,Not Suspended,2023-11-26 14:41:01 PST
FPC ALDERSON,725,Level 1,Not Suspended,2023-11-27 12:04:31 PST
FPC ALDERSON,725,Level 1,Not Suspended,2023-11-28 10:15:40 PST
FPC ALDERSON,723,Level 1,Not Suspended,2023-11-30 10:08:32 PST
FPC ALDERSON,723,Level 1,Not Suspended,2023-12-01 11:17:41 PST
FPC ALDERSON,723,Level 1,Not Suspended,2023-12-03 10:42:37 PST
FPC ALDERSON,723,Level 1,Not Suspended,2023-12-04 14:40:15 PST
FPC ALDERSON,723,Level 1,Not Suspended,2023-12-05 07:25:41 PST
FPC ALDERSON,694,Level 1,Not Suspended,2023-12-07 16:45:18 PST
FPC ALDERSON,694,Level 1,Not Suspended,2023-12-08 20:40:21 PST
FPC ALDERSON,694,Level 1,Not Suspended,2023-12-11 08:41:41 PST
FPC ALDERSON,694,Level 1,Not Suspended,2023-12-12 16:24:35 PST
FPC ALDERSON,694,Level 1,Not Suspended,2023-12-13 10:42:22 PST
FPC ALDERSON,713,Level 1,Not Suspended,2023-12-18 06:50:37 PST
FPC ALDERSON,713,Level 1,Not Suspended,2023-12-20 08:55:58 PST
FPC ALDERSON,713,Level 1,Not Suspended,2023-12-22 08:01:17 PST
FPC ALDERSON,713,Level 1,Not Suspended,2023-12-27 10:04:59 PST
FPC ALDERSON,713,Level 1,Not Suspended,2023-12-28 11:27:24 PST
FPC ALDERSON,713,Level 1,Not Suspended,2023-12-29 10:35:43 PST
FPC ALDERSON,713,Level 1,Not Suspended,2023-12-29 11:17:21 PST
