title,population,operation_level,visiting_status,datetime_of_data
FPC BRYAN,682,Level 1,Not Suspended,2023-09-27 10:24:07 PDT
FPC BRYAN,682,Level 1,Not Suspended,2023-09-27 11:08:06 PDT
FPC BRYAN,682,Level 1,Not Suspended,2023-09-27 11:57:10 PDT
FPC BRYAN,682,Level 1,Not Suspended,2023-09-27 15:43:21 PDT
FPC BRYAN,682,Level 1,Not Suspended,2023-09-27 18:22:39 PDT
FPC BRYAN,682,Level 1,Not Suspended,2023-09-28 06:47:23 PDT
FPC BRYAN,682,Level 1,Not Suspended,2023-09-28 09:56:32 PDT
FPC BRYAN,693,Level 1,Not Suspended,2023-09-28 16:07:57 PDT
FPC BRYAN,693,Level 1,Not Suspended,2023-10-02 14:15:13 PDT
FPC BRYAN,687,Level 1,Not Suspended,2023-10-22 11:22:22 PDT
FPC BRYAN,705,Level 1,Not Suspended,2023-11-03 15:59:24 PDT
FPC BRYAN,705,Level 1,Not Suspended,2023-11-10 10:37:36 PST
FPC BRYAN,699,Level 1,Not Suspended,2023-11-12 09:19:34 PST
FPC BRYAN,699,Level 1,Not Suspended,2023-11-13 09:26:08 PST
FPC BRYAN,699,Level 1,Not Suspended,2023-11-15 09:29:12 PST
FPC BRYAN,687,Level 1,Not Suspended,2023-11-21 11:09:49 PST
FPC BRYAN,687,Level 1,Not Suspended,2023-11-22 09:51:33 PST
FPC BRYAN,687,Level 1,Not Suspended,2023-11-26 14:45:41 PST
FPC BRYAN,690,Level 1,Not Suspended,2023-11-27 12:09:10 PST
FPC BRYAN,690,Level 1,Not Suspended,2023-11-28 10:20:23 PST
FPC BRYAN,697,Level 1,Not Suspended,2023-11-30 10:13:12 PST
FPC BRYAN,697,Level 1,Not Suspended,2023-12-01 11:22:20 PST
FPC BRYAN,697,Level 1,Not Suspended,2023-12-03 10:47:16 PST
FPC BRYAN,697,Level 1,Not Suspended,2023-12-04 14:44:57 PST
FPC BRYAN,697,Level 1,Not Suspended,2023-12-05 07:30:22 PST
FPC BRYAN,684,Level 1,Not Suspended,2023-12-07 16:50:00 PST
FPC BRYAN,684,Level 1,Not Suspended,2023-12-08 20:44:59 PST
FPC BRYAN,684,Level 1,Not Suspended,2023-12-11 08:46:19 PST
FPC BRYAN,684,Level 1,Not Suspended,2023-12-12 16:29:13 PST
FPC BRYAN,684,Level 1,Not Suspended,2023-12-13 10:46:59 PST
FPC BRYAN,689,Level 1,Suspended,2023-12-18 06:55:16 PST
