title,population,operation_level,visiting_status,datetime_of_data
FPC DULUTH,407,Level 1,Not Suspended,2023-09-27 10:26:16 PDT
FPC DULUTH,407,Level 1,Not Suspended,2023-09-27 11:10:18 PDT
FPC DULUTH,407,Level 1,Not Suspended,2023-09-27 12:01:31 PDT
FPC DULUTH,407,Level 1,Not Suspended,2023-09-27 15:47:40 PDT
FPC DULUTH,407,Level 1,Not Suspended,2023-09-27 18:26:45 PDT
FPC DULUTH,407,Level 1,Not Suspended,2023-09-28 06:51:32 PDT
FPC DULUTH,407,Level 1,Not Suspended,2023-09-28 10:00:43 PDT
FPC DULUTH,411,Level 1,Not Suspended,2023-09-28 16:12:05 PDT
FPC DULUTH,411,Level 1,Not Suspended,2023-10-02 14:19:23 PDT
FPC DULUTH,418,Level 1,Not Suspended,2023-10-22 11:26:29 PDT
FPC DULUTH,432,Level 1,Not Suspended,2023-11-03 16:03:33 PDT
FPC DULUTH,432,Level 1,Not Suspended,2023-11-10 10:41:45 PST
FPC DULUTH,434,Level 1,Not Suspended,2023-11-12 09:23:41 PST
FPC DULUTH,434,Level 1,Not Suspended,2023-11-13 09:30:19 PST
FPC DULUTH,434,Level 1,Not Suspended,2023-11-15 09:33:18 PST
FPC DULUTH,430,Level 1,Not Suspended,2023-11-21 11:13:59 PST
FPC DULUTH,430,Level 1,Not Suspended,2023-11-22 09:55:40 PST
FPC DULUTH,430,Level 1,Not Suspended,2023-11-26 14:49:49 PST
FPC DULUTH,432,Level 1,Not Suspended,2023-11-27 12:13:18 PST
FPC DULUTH,432,Level 1,Not Suspended,2023-11-28 10:24:30 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-11-30 10:17:20 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-01 11:26:40 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-03 10:51:25 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-04 14:49:06 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-05 07:34:33 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-07 16:54:13 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-08 20:49:06 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-11 08:50:29 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-12 16:33:21 PST
FPC DULUTH,433,Level 1,Not Suspended,2023-12-13 10:51:06 PST
FPC DULUTH,429,Level 1,Not Suspended,2023-12-18 06:59:23 PST
FPC DULUTH,429,Level 1,Not Suspended,2023-12-20 09:04:42 PST
FPC DULUTH,429,Level 1,Not Suspended,2023-12-22 08:10:07 PST
FPC DULUTH,429,Level 1,Not Suspended,2023-12-27 10:13:45 PST
FPC DULUTH,429,Level 1,Not Suspended,2023-12-28 11:36:08 PST
FPC DULUTH,429,Level 1,Not Suspended,2023-12-29 10:44:30 PST
FPC DULUTH,429,Level 1,Not Suspended,2023-12-29 11:26:06 PST
FPC DULUTH,440,Level 1,Not Suspended,2024-01-02 10:24:07 PST
FPC DULUTH,440,Level 1,Suspended,2024-01-03 09:50:28 PST
FPC DULUTH,436,Level 1,Suspended,2024-01-04 10:16:11 PST
FPC DULUTH,436,Level 1,Suspended,2024-01-05 10:17:31 PST
FPC DULUTH,436,Level 1,Not Suspended,2024-01-07 18:10:17 PST
FPC DULUTH,436,Level 1,Not Suspended,2024-01-08 10:38:05 PST
FPC DULUTH,436,Level 1,Not Suspended,2024-01-09 10:18:13 PST
FPC DULUTH,436,No Longer Available,Not Suspended,2024-01-11 12:16:39 PST
FPC DULUTH,436,No Longer Available,Not Suspended,2024-01-13 12:50:49 PST
FPC DULUTH,445,No Longer Available,Not Suspended,2024-01-16 10:18:44 PST
FPC DULUTH,445,No Longer Available,Not Suspended,2024-01-17 10:17:05 PST
FPC DULUTH,445,No Longer Available,Not Suspended,2024-01-18 10:20:40 PST
FPC DULUTH,444,No Longer Available,Not Suspended,2024-01-19 10:31:03 PST
FPC DULUTH,444,No Longer Available,Not Suspended,2024-01-22 10:13:09 PST
FPC DULUTH,444,No Longer Available,Not Suspended,2024-01-23 10:14:38 PST
