title,population,operation_level,visiting_status,datetime_of_data
FPC MONTGOMERY,,Level 1,Not Suspended,2023-09-27 10:32:06 PDT
FPC MONTGOMERY,493.0,Level 1,Not Suspended,2023-09-27 11:16:11 PDT
FPC MONTGOMERY,493.0,Level 1,Not Suspended,2023-09-27 12:13:16 PDT
FPC MONTGOMERY,493.0,Level 1,Not Suspended,2023-09-27 15:59:21 PDT
FPC MONTGOMERY,493.0,Level 1,Not Suspended,2023-09-27 18:37:49 PDT
FPC MONTGOMERY,493.0,Level 1,Not Suspended,2023-09-28 07:02:42 PDT
FPC MONTGOMERY,493.0,Level 1,Not Suspended,2023-09-28 10:11:53 PDT
FPC MONTGOMERY,510.0,Level 1,Not Suspended,2023-09-28 16:23:16 PDT
FPC MONTGOMERY,510.0,Level 1,Not Suspended,2023-10-02 14:30:33 PDT
FPC MONTGOMERY,515.0,Level 1,Not Suspended,2023-10-22 11:37:49 PDT
FPC MONTGOMERY,543.0,Level 1,Not Suspended,2023-11-03 16:14:41 PDT
FPC MONTGOMERY,543.0,Level 1,Not Suspended,2023-11-10 10:52:56 PST
FPC MONTGOMERY,567.0,Level 1,Not Suspended,2023-11-12 09:34:47 PST
FPC MONTGOMERY,567.0,Level 1,Not Suspended,2023-11-13 09:41:35 PST
FPC MONTGOMERY,567.0,Level 1,Not Suspended,2023-11-15 09:44:25 PST
FPC MONTGOMERY,562.0,Level 1,Not Suspended,2023-11-21 11:25:20 PST
FPC MONTGOMERY,562.0,Level 1,Not Suspended,2023-11-22 10:06:49 PST
FPC MONTGOMERY,562.0,Level 1,Not Suspended,2023-11-26 15:00:59 PST
FPC MONTGOMERY,569.0,Level 1,Not Suspended,2023-11-27 12:24:22 PST
FPC MONTGOMERY,569.0,Level 1,Not Suspended,2023-11-28 10:35:54 PST
FPC MONTGOMERY,569.0,Level 1,Not Suspended,2023-11-30 10:28:31 PST
FPC MONTGOMERY,569.0,Level 1,Not Suspended,2023-12-01 11:37:54 PST
FPC MONTGOMERY,569.0,Level 1,Not Suspended,2023-12-03 11:02:36 PST
FPC MONTGOMERY,569.0,Level 1,Not Suspended,2023-12-04 15:00:15 PST
FPC MONTGOMERY,569.0,Level 1,Not Suspended,2023-12-05 07:45:49 PST
FPC MONTGOMERY,581.0,Level 1,Not Suspended,2023-12-07 17:06:07 PST
FPC MONTGOMERY,581.0,Level 1,Not Suspended,2023-12-08 21:00:18 PST
FPC MONTGOMERY,581.0,Level 1,Not Suspended,2023-12-11 09:01:45 PST
FPC MONTGOMERY,581.0,Level 1,Not Suspended,2023-12-12 16:44:27 PST
FPC MONTGOMERY,581.0,Level 1,Not Suspended,2023-12-13 11:02:08 PST
FPC MONTGOMERY,578.0,Level 1,Not Suspended,2023-12-18 07:10:35 PST
FPC MONTGOMERY,578.0,Level 1,Not Suspended,2023-12-20 09:15:48 PST
FPC MONTGOMERY,578.0,Level 1,Not Suspended,2023-12-22 08:21:19 PST
FPC MONTGOMERY,578.0,Level 1,Not Suspended,2023-12-27 10:24:52 PST
FPC MONTGOMERY,578.0,Level 1,Not Suspended,2023-12-28 11:47:21 PST
FPC MONTGOMERY,578.0,Level 1,Not Suspended,2023-12-29 10:55:37 PST
FPC MONTGOMERY,578.0,Level 1,Not Suspended,2023-12-29 11:37:12 PST
FPC MONTGOMERY,590.0,Level 1,Not Suspended,2024-01-02 10:35:22 PST
FPC MONTGOMERY,590.0,Level 1,Not Suspended,2024-01-03 10:01:37 PST
FPC MONTGOMERY,598.0,Level 1,Not Suspended,2024-01-04 10:27:21 PST
FPC MONTGOMERY,598.0,Level 1,Not Suspended,2024-01-05 10:28:46 PST
FPC MONTGOMERY,598.0,Level 1,Not Suspended,2024-01-07 18:21:24 PST
FPC MONTGOMERY,598.0,Level 1,Not Suspended,2024-01-08 10:49:08 PST
FPC MONTGOMERY,598.0,Level 1,Not Suspended,2024-01-09 10:29:26 PST
FPC MONTGOMERY,598.0,No Longer Available,Not Suspended,2024-01-11 12:27:52 PST
FPC MONTGOMERY,598.0,No Longer Available,Not Suspended,2024-01-13 13:02:06 PST
FPC MONTGOMERY,603.0,No Longer Available,Not Suspended,2024-01-16 10:30:09 PST
FPC MONTGOMERY,603.0,No Longer Available,Not Suspended,2024-01-17 10:28:22 PST
FPC MONTGOMERY,603.0,No Longer Available,Not Suspended,2024-01-18 10:32:00 PST
FPC MONTGOMERY,616.0,No Longer Available,Not Suspended,2024-01-19 10:42:22 PST
FPC MONTGOMERY,616.0,No Longer Available,Not Suspended,2024-01-22 10:24:21 PST
FPC MONTGOMERY,616.0,No Longer Available,Not Suspended,2024-01-23 10:25:57 PST
FPC MONTGOMERY,616.0,No Longer Available,Not Suspended,2024-01-24 09:19:44 PST
FPC MONTGOMERY,619.0,No Longer Available,Not Suspended,2024-01-25 11:49:05 PST
FPC MONTGOMERY,619.0,No Longer Available,Not Suspended,2024-01-26 10:30:24 PST
FPC MONTGOMERY,619.0,No Longer Available,Not Suspended,2024-01-27 14:55:05 PST
FPC MONTGOMERY,619.0,No Longer Available,Not Suspended,2024-01-28 20:38:08 PST
FPC MONTGOMERY,619.0,No Longer Available,Not Suspended,2024-01-29 10:01:02 PST
FPC MONTGOMERY,619.0,No Longer Available,Not Suspended,2024-01-30 14:27:20 PST
FPC MONTGOMERY,619.0,No Longer Available,Not Suspended,2024-02-01 14:20:23 PST
FPC MONTGOMERY,626.0,No Longer Available,Not Suspended,2024-02-02 23:13:49 PST
FPC MONTGOMERY,626.0,No Longer Available,Not Suspended,2024-02-03 09:37:36 PST
FPC MONTGOMERY,626.0,No Longer Available,Not Suspended,2024-02-03 19:42:59 PST
FPC MONTGOMERY,626.0,No Longer Available,Not Suspended,2024-02-04 12:51:39 PST
FPC MONTGOMERY,626.0,No Longer Available,Not Suspended,2024-02-05 11:33:54 PST
FPC MONTGOMERY,626.0,No Longer Available,Not Suspended,2024-02-06 14:34:20 PST
FPC MONTGOMERY,626.0,No Longer Available,Not Suspended,2024-02-07 19:27:02 PST
FPC MONTGOMERY,628.0,No Longer Available,Not Suspended,2024-02-08 14:21:12 PST
FPC MONTGOMERY,628.0,No Longer Available,Not Suspended,2024-02-09 10:28:16 PST
FPC MONTGOMERY,628.0,No Longer Available,Not Suspended,2024-02-10 17:59:51 PST
FPC MONTGOMERY,628.0,No Longer Available,Not Suspended,2024-02-11 11:11:22 PST
FPC MONTGOMERY,628.0,No Longer Available,Not Suspended,2024-02-12 09:37:34 PST
FPC MONTGOMERY,628.0,No Longer Available,Not Suspended,2024-02-13 10:50:54 PST
FPC MONTGOMERY,637.0,No Longer Available,Not Suspended,2024-02-16 10:38:00 PST
FPC MONTGOMERY,637.0,No Longer Available,Not Suspended,2024-02-18 15:03:16 PST
FPC MONTGOMERY,637.0,No Longer Available,Not Suspended,2024-02-19 08:10:14 PST
FPC MONTGOMERY,637.0,No Longer Available,Not Suspended,2024-02-20 10:33:07 PST
FPC MONTGOMERY,633.0,No Longer Available,Not Suspended,2024-02-23 12:50:29 PST
FPC MONTGOMERY,633.0,No Longer Available,Not Suspended,2024-02-24 11:46:19 PST
FPC MONTGOMERY,633.0,No Longer Available,Not Suspended,2024-02-26 18:35:42 PST
FPC MONTGOMERY,633.0,No Longer Available,Not Suspended,2024-02-27 07:23:24 PST
FPC MONTGOMERY,638.0,No Longer Available,Not Suspended,2024-03-01 10:31:18 PST
FPC MONTGOMERY,638.0,No Longer Available,Not Suspended,2024-03-03 21:20:10 PST
FPC MONTGOMERY,642.0,No Longer Available,Not Suspended,2024-03-19 10:17:42 PDT
FPC MONTGOMERY,642.0,No Longer Available,Not Suspended,2024-03-20 10:20:12 PDT
FPC MONTGOMERY,642.0,No Longer Available,Not Suspended,2024-03-21 10:24:52 PDT
