title,population,operation_level,visiting_status,datetime_of_data
FPC PENSACOLA,416,Level 1,Not Suspended,2023-09-27 10:33:19 PDT
FPC PENSACOLA,416,Level 1,Not Suspended,2023-09-27 11:17:25 PDT
FPC PENSACOLA,416,Level 1,Not Suspended,2023-09-27 12:15:45 PDT
FPC PENSACOLA,416,Level 1,Not Suspended,2023-09-27 16:01:48 PDT
FPC PENSACOLA,416,Level 1,Not Suspended,2023-09-27 18:40:07 PDT
FPC PENSACOLA,416,Level 1,Not Suspended,2023-09-28 07:05:02 PDT
FPC PENSACOLA,416,Level 1,Not Suspended,2023-09-28 10:14:14 PDT
FPC PENSACOLA,449,Level 1,Not Suspended,2023-09-28 16:25:36 PDT
FPC PENSACOLA,449,Level 1,Not Suspended,2023-10-02 14:32:55 PDT
FPC PENSACOLA,456,Level 1,Not Suspended,2023-10-22 11:40:09 PDT
FPC PENSACOLA,462,Level 1,Not Suspended,2023-11-03 16:17:01 PDT
FPC PENSACOLA,462,Level 1,Not Suspended,2023-11-10 10:55:17 PST
FPC PENSACOLA,479,Level 1,Not Suspended,2023-11-12 09:37:07 PST
FPC PENSACOLA,479,Level 1,Not Suspended,2023-11-13 09:43:56 PST
FPC PENSACOLA,479,Level 1,Not Suspended,2023-11-15 09:46:44 PST
FPC PENSACOLA,468,Level 1,Not Suspended,2023-11-21 11:27:41 PST
FPC PENSACOLA,468,Level 1,Not Suspended,2023-11-22 10:09:09 PST
FPC PENSACOLA,468,Level 1,Not Suspended,2023-11-26 15:03:19 PST
FPC PENSACOLA,482,Level 1,Not Suspended,2023-11-27 12:26:41 PST
FPC PENSACOLA,482,Level 1,Not Suspended,2023-11-28 10:38:14 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2023-11-30 10:30:51 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2023-12-01 11:40:13 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2023-12-03 11:04:57 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2023-12-04 15:02:36 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2023-12-05 07:48:10 PST
FPC PENSACOLA,492,Level 1,Not Suspended,2023-12-07 17:08:39 PST
FPC PENSACOLA,492,Level 1,Not Suspended,2023-12-08 21:02:36 PST
FPC PENSACOLA,492,Level 1,Not Suspended,2023-12-11 09:04:12 PST
FPC PENSACOLA,492,Level 1,Not Suspended,2023-12-12 16:46:46 PST
FPC PENSACOLA,492,Level 1,Not Suspended,2023-12-13 11:04:27 PST
FPC PENSACOLA,489,Level 1,Not Suspended,2023-12-18 07:12:54 PST
FPC PENSACOLA,489,Level 1,Not Suspended,2023-12-20 09:18:07 PST
FPC PENSACOLA,489,Level 1,Not Suspended,2023-12-22 08:23:39 PST
FPC PENSACOLA,489,Level 1,Not Suspended,2023-12-27 10:27:11 PST
FPC PENSACOLA,489,Level 1,Not Suspended,2023-12-28 11:49:41 PST
FPC PENSACOLA,489,Level 1,Not Suspended,2023-12-29 10:58:00 PST
FPC PENSACOLA,489,Level 1,Not Suspended,2023-12-29 11:39:32 PST
FPC PENSACOLA,482,Level 1,Not Suspended,2024-01-02 10:37:43 PST
FPC PENSACOLA,482,Level 1,Not Suspended,2024-01-03 10:03:56 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2024-01-04 10:29:42 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2024-01-05 10:31:07 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2024-01-07 18:23:43 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2024-01-08 10:51:27 PST
FPC PENSACOLA,483,Level 1,Not Suspended,2024-01-09 10:31:51 PST
FPC PENSACOLA,483,No Longer Available,Not Suspended,2024-01-11 12:30:14 PST
FPC PENSACOLA,483,No Longer Available,Not Suspended,2024-01-13 13:04:26 PST
FPC PENSACOLA,484,No Longer Available,Not Suspended,2024-01-16 10:32:31 PST
FPC PENSACOLA,484,No Longer Available,Not Suspended,2024-01-17 10:30:43 PST
FPC PENSACOLA,484,No Longer Available,Not Suspended,2024-01-18 10:34:21 PST
FPC PENSACOLA,473,No Longer Available,Not Suspended,2024-01-19 10:44:44 PST
FPC PENSACOLA,473,No Longer Available,Not Suspended,2024-01-22 10:26:41 PST
FPC PENSACOLA,473,No Longer Available,Not Suspended,2024-01-23 10:28:20 PST
FPC PENSACOLA,473,No Longer Available,Not Suspended,2024-01-24 09:22:05 PST
FPC PENSACOLA,474,No Longer Available,Not Suspended,2024-01-25 11:51:27 PST
FPC PENSACOLA,474,No Longer Available,Not Suspended,2024-01-26 10:32:46 PST
FPC PENSACOLA,474,No Longer Available,Not Suspended,2024-01-27 14:57:28 PST
FPC PENSACOLA,474,No Longer Available,Not Suspended,2024-01-28 20:40:29 PST
FPC PENSACOLA,474,No Longer Available,Not Suspended,2024-01-29 10:03:22 PST
FPC PENSACOLA,474,No Longer Available,Not Suspended,2024-01-30 14:29:49 PST
FPC PENSACOLA,474,No Longer Available,Not Suspended,2024-02-01 14:22:45 PST
