title,population,operation_level,visiting_status,datetime_of_data
FPC YANKTON,,Level 1,Not Suspended,2023-09-27 10:37:41 PDT
FPC YANKTON,410.0,Level 1,Not Suspended,2023-09-27 11:21:49 PDT
FPC YANKTON,410.0,Level 1,Not Suspended,2023-09-27 12:24:33 PDT
FPC YANKTON,410.0,Level 1,Not Suspended,2023-09-27 16:10:29 PDT
FPC YANKTON,410.0,Level 1,Not Suspended,2023-09-27 18:48:22 PDT
FPC YANKTON,410.0,Level 1,Not Suspended,2023-09-28 07:13:23 PDT
FPC YANKTON,410.0,Level 1,Not Suspended,2023-09-28 10:22:33 PDT
FPC YANKTON,412.0,Level 1,Not Suspended,2023-09-28 16:33:57 PDT
FPC YANKTON,412.0,Level 1,Not Suspended,2023-10-02 14:41:14 PDT
FPC YANKTON,413.0,Level 1,Not Suspended,2023-10-22 11:48:27 PDT
FPC YANKTON,412.0,Level 1,Not Suspended,2023-11-03 16:25:18 PDT
FPC YANKTON,412.0,Level 1,Not Suspended,2023-11-10 11:03:39 PST
FPC YANKTON,410.0,Level 1,Not Suspended,2023-11-12 09:45:25 PST
FPC YANKTON,410.0,Level 1,Not Suspended,2023-11-13 09:52:17 PST
FPC YANKTON,410.0,Level 1,Not Suspended,2023-11-15 09:55:06 PST
FPC YANKTON,436.0,Level 1,Not Suspended,2023-11-21 11:36:03 PST
FPC YANKTON,436.0,Level 1,Not Suspended,2023-11-22 10:17:30 PST
FPC YANKTON,436.0,Level 1,Not Suspended,2023-11-26 15:11:41 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-11-27 12:35:00 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-11-28 10:46:50 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-11-30 10:39:11 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-01 11:48:42 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-03 11:13:22 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-04 15:10:55 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-05 07:56:33 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-07 17:17:14 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-08 21:10:53 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-11 09:12:48 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-12 16:55:06 PST
FPC YANKTON,432.0,Level 1,Not Suspended,2023-12-13 11:12:44 PST
FPC YANKTON,430.0,Level 1,Not Suspended,2023-12-18 07:21:12 PST
FPC YANKTON,430.0,Level 1,Not Suspended,2023-12-20 09:26:25 PST
FPC YANKTON,430.0,Level 1,Not Suspended,2023-12-22 08:32:02 PST
FPC YANKTON,430.0,Level 1,Not Suspended,2023-12-27 10:35:31 PST
FPC YANKTON,430.0,Level 1,Not Suspended,2023-12-28 11:58:02 PST
FPC YANKTON,430.0,Level 1,Not Suspended,2023-12-29 11:06:25 PST
FPC YANKTON,430.0,Level 1,Not Suspended,2023-12-29 11:47:51 PST
FPC YANKTON,419.0,Level 1,Not Suspended,2024-01-02 10:46:11 PST
FPC YANKTON,419.0,Level 1,Not Suspended,2024-01-03 10:12:15 PST
FPC YANKTON,411.0,Level 1,Not Suspended,2024-01-04 10:38:03 PST
FPC YANKTON,411.0,Level 1,Not Suspended,2024-01-05 10:39:30 PST
FPC YANKTON,411.0,Level 1,Not Suspended,2024-01-07 18:32:05 PST
FPC YANKTON,411.0,Level 1,Not Suspended,2024-01-08 10:59:44 PST
FPC YANKTON,411.0,Level 1,Not Suspended,2024-01-09 10:40:12 PST
FPC YANKTON,411.0,No Longer Available,Not Suspended,2024-01-11 12:38:38 PST
FPC YANKTON,411.0,No Longer Available,Not Suspended,2024-01-13 13:12:44 PST
FPC YANKTON,421.0,No Longer Available,Not Suspended,2024-01-16 10:41:01 PST
FPC YANKTON,421.0,No Longer Available,Not Suspended,2024-01-17 10:39:10 PST
FPC YANKTON,421.0,No Longer Available,Not Suspended,2024-01-18 10:42:49 PST
FPC YANKTON,428.0,No Longer Available,Not Suspended,2024-01-19 10:53:11 PST
FPC YANKTON,428.0,No Longer Available,Not Suspended,2024-01-22 10:35:09 PST
FPC YANKTON,428.0,No Longer Available,Not Suspended,2024-01-23 10:36:44 PST
FPC YANKTON,428.0,No Longer Available,Not Suspended,2024-01-24 09:30:29 PST
FPC YANKTON,433.0,No Longer Available,Not Suspended,2024-01-25 11:59:57 PST
FPC YANKTON,433.0,No Longer Available,Not Suspended,2024-01-26 10:41:07 PST
FPC YANKTON,433.0,No Longer Available,Not Suspended,2024-01-27 15:06:02 PST
FPC YANKTON,433.0,No Longer Available,Not Suspended,2024-01-28 20:48:53 PST
FPC YANKTON,433.0,No Longer Available,Not Suspended,2024-01-29 10:11:43 PST
FPC YANKTON,433.0,No Longer Available,Not Suspended,2024-01-30 14:38:28 PST
FPC YANKTON,433.0,No Longer Available,Not Suspended,2024-02-01 14:31:11 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-02-02 23:24:42 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-02-03 09:48:36 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-02-03 19:54:08 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-02-04 13:02:40 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-02-05 11:44:38 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-02-06 14:45:15 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-02-07 19:38:07 PST
FPC YANKTON,423.0,No Longer Available,Not Suspended,2024-02-08 14:32:01 PST
FPC YANKTON,423.0,No Longer Available,Not Suspended,2024-02-09 10:39:04 PST
FPC YANKTON,423.0,No Longer Available,Not Suspended,2024-02-10 18:10:44 PST
FPC YANKTON,423.0,No Longer Available,Not Suspended,2024-02-11 11:22:24 PST
FPC YANKTON,423.0,No Longer Available,Not Suspended,2024-02-12 09:48:49 PST
FPC YANKTON,423.0,No Longer Available,Not Suspended,2024-02-13 11:01:48 PST
FPC YANKTON,418.0,No Longer Available,Not Suspended,2024-02-16 10:48:53 PST
FPC YANKTON,418.0,No Longer Available,Not Suspended,2024-02-18 15:14:18 PST
FPC YANKTON,418.0,No Longer Available,Not Suspended,2024-02-19 08:21:15 PST
FPC YANKTON,418.0,No Longer Available,Not Suspended,2024-02-20 10:44:07 PST
FPC YANKTON,435.0,No Longer Available,Not Suspended,2024-02-23 13:01:20 PST
FPC YANKTON,435.0,No Longer Available,Not Suspended,2024-02-24 11:57:41 PST
FPC YANKTON,435.0,No Longer Available,Not Suspended,2024-02-26 18:46:59 PST
FPC YANKTON,435.0,No Longer Available,Not Suspended,2024-02-27 07:34:25 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-03-01 10:42:04 PST
FPC YANKTON,430.0,No Longer Available,Not Suspended,2024-03-03 21:31:48 PST
FPC YANKTON,414.0,No Longer Available,Not Suspended,2024-03-19 10:28:48 PDT
FPC YANKTON,414.0,No Longer Available,Not Suspended,2024-03-20 10:31:11 PDT
FPC YANKTON,414.0,No Longer Available,Not Suspended,2024-03-21 10:36:34 PDT
