title,population,operation_level,visiting_status,datetime_of_data
FTC OKLAHOMA CITY,1378,Level 1,Not Suspended,2023-09-27 10:32:47 PDT
FTC OKLAHOMA CITY,1378,Level 1,Not Suspended,2023-09-27 11:16:53 PDT
FTC OKLAHOMA CITY,1378,Level 1,Not Suspended,2023-09-27 12:14:37 PDT
FTC OKLAHOMA CITY,1378,Level 1,Not Suspended,2023-09-27 16:00:42 PDT
FTC OKLAHOMA CITY,1378,Level 1,Not Suspended,2023-09-27 18:39:05 PDT
FTC OKLAHOMA CITY,1378,Level 1,Not Suspended,2023-09-28 07:03:59 PDT
FTC OKLAHOMA CITY,1378,Level 1,Not Suspended,2023-09-28 10:13:11 PDT
FTC OKLAHOMA CITY,1400,Level 1,Not Suspended,2023-09-28 16:24:34 PDT
FTC OKLAHOMA CITY,1400,Level 1,Not Suspended,2023-10-02 14:31:51 PDT
FTC OKLAHOMA CITY,1243,Level 1,Not Suspended,2023-10-22 11:39:07 PDT
FTC OKLAHOMA CITY,1288,Level 1,Not Suspended,2023-11-03 16:15:59 PDT
FTC OKLAHOMA CITY,1288,Level 1,Not Suspended,2023-11-10 10:54:13 PST
FTC OKLAHOMA CITY,1369,Level 1,Not Suspended,2023-11-12 09:36:05 PST
FTC OKLAHOMA CITY,1369,Level 1,Not Suspended,2023-11-13 09:42:53 PST
FTC OKLAHOMA CITY,1369,Level 1,Not Suspended,2023-11-15 09:45:42 PST
FTC OKLAHOMA CITY,1364,Level 1,Not Suspended,2023-11-21 11:26:38 PST
FTC OKLAHOMA CITY,1364,Level 1,Not Suspended,2023-11-22 10:08:06 PST
FTC OKLAHOMA CITY,1364,Level 1,Not Suspended,2023-11-26 15:02:17 PST
FTC OKLAHOMA CITY,1342,Level 1,Not Suspended,2023-11-27 12:25:39 PST
FTC OKLAHOMA CITY,1342,Level 1,Not Suspended,2023-11-28 10:37:12 PST
FTC OKLAHOMA CITY,1320,Level 1,Not Suspended,2023-11-30 10:29:48 PST
FTC OKLAHOMA CITY,1320,Level 1,Not Suspended,2023-12-01 11:39:12 PST
FTC OKLAHOMA CITY,1320,Level 1,Not Suspended,2023-12-03 11:03:54 PST
FTC OKLAHOMA CITY,1320,Level 1,Not Suspended,2023-12-04 15:01:33 PST
FTC OKLAHOMA CITY,1320,Level 1,Not Suspended,2023-12-05 07:47:07 PST
FTC OKLAHOMA CITY,1373,Level 1,Not Suspended,2023-12-07 17:07:33 PST
FTC OKLAHOMA CITY,1373,Level 1,Not Suspended,2023-12-08 21:01:35 PST
FTC OKLAHOMA CITY,1373,Level 1,Not Suspended,2023-12-11 09:03:04 PST
FTC OKLAHOMA CITY,1373,Level 1,Not Suspended,2023-12-12 16:45:44 PST
FTC OKLAHOMA CITY,1373,Level 1,Not Suspended,2023-12-13 11:03:25 PST
FTC OKLAHOMA CITY,1509,Level 1,Not Suspended,2023-12-18 07:11:52 PST
FTC OKLAHOMA CITY,1509,Level 1,Not Suspended,2023-12-20 09:17:05 PST
FTC OKLAHOMA CITY,1509,Level 1,Not Suspended,2023-12-22 08:22:36 PST
FTC OKLAHOMA CITY,1509,Level 1,Not Suspended,2023-12-27 10:26:09 PST
FTC OKLAHOMA CITY,1509,Level 1,Not Suspended,2023-12-28 11:48:39 PST
FTC OKLAHOMA CITY,1509,Level 1,Not Suspended,2023-12-29 10:56:55 PST
FTC OKLAHOMA CITY,1509,Level 1,Not Suspended,2023-12-29 11:38:30 PST
FTC OKLAHOMA CITY,1301,Level 1,Not Suspended,2024-01-02 10:36:40 PST
FTC OKLAHOMA CITY,1301,Level 1,Not Suspended,2024-01-03 10:02:54 PST
FTC OKLAHOMA CITY,1297,Level 1,Not Suspended,2024-01-04 10:28:38 PST
FTC OKLAHOMA CITY,1297,Level 1,Not Suspended,2024-01-05 10:30:03 PST
FTC OKLAHOMA CITY,1297,Level 1,Not Suspended,2024-01-07 18:22:41 PST
FTC OKLAHOMA CITY,1297,Level 1,Not Suspended,2024-01-08 10:50:26 PST
FTC OKLAHOMA CITY,1297,Level 1,Not Suspended,2024-01-09 10:30:48 PST
FTC OKLAHOMA CITY,1297,No Longer Available,Not Suspended,2024-01-11 12:29:10 PST
FTC OKLAHOMA CITY,1297,No Longer Available,Not Suspended,2024-01-13 13:03:23 PST
FTC OKLAHOMA CITY,1213,No Longer Available,Not Suspended,2024-01-16 10:31:28 PST
FTC OKLAHOMA CITY,1213,No Longer Available,Not Suspended,2024-01-17 10:29:40 PST
FTC OKLAHOMA CITY,1213,No Longer Available,Not Suspended,2024-01-18 10:33:18 PST
FTC OKLAHOMA CITY,1149,No Longer Available,Not Suspended,2024-01-19 10:43:42 PST
FTC OKLAHOMA CITY,1149,No Longer Available,Not Suspended,2024-01-22 10:25:38 PST
FTC OKLAHOMA CITY,1149,No Longer Available,Not Suspended,2024-01-23 10:27:15 PST
FTC OKLAHOMA CITY,1149,No Longer Available,Not Suspended,2024-01-24 09:21:02 PST
FTC OKLAHOMA CITY,1051,No Longer Available,Not Suspended,2024-01-25 11:50:23 PST
FTC OKLAHOMA CITY,1051,No Longer Available,Not Suspended,2024-01-26 10:31:43 PST
FTC OKLAHOMA CITY,1051,No Longer Available,Not Suspended,2024-01-27 14:56:25 PST
FTC OKLAHOMA CITY,1051,No Longer Available,Not Suspended,2024-01-28 20:39:27 PST
FTC OKLAHOMA CITY,1051,No Longer Available,Not Suspended,2024-01-29 10:02:19 PST
FTC OKLAHOMA CITY,1051,No Longer Available,Not Suspended,2024-01-30 14:28:44 PST
FTC OKLAHOMA CITY,1051,No Longer Available,Not Suspended,2024-02-01 14:21:42 PST
FTC OKLAHOMA CITY,1157,No Longer Available,Not Suspended,2024-02-02 23:15:08 PST
FTC OKLAHOMA CITY,1157,No Longer Available,Not Suspended,2024-02-03 09:38:55 PST
FTC OKLAHOMA CITY,1157,No Longer Available,Not Suspended,2024-02-03 19:44:22 PST
FTC OKLAHOMA CITY,1157,No Longer Available,Not Suspended,2024-02-04 12:52:58 PST
FTC OKLAHOMA CITY,1157,No Longer Available,Not Suspended,2024-02-05 11:35:12 PST
FTC OKLAHOMA CITY,1157,No Longer Available,Not Suspended,2024-02-06 14:35:39 PST
FTC OKLAHOMA CITY,1157,No Longer Available,Not Suspended,2024-02-07 19:28:22 PST
FTC OKLAHOMA CITY,1168,No Longer Available,Not Suspended,2024-02-08 14:22:31 PST
FTC OKLAHOMA CITY,1168,No Longer Available,Not Suspended,2024-02-09 10:29:35 PST
FTC OKLAHOMA CITY,1168,No Longer Available,Not Suspended,2024-02-10 18:01:10 PST
FTC OKLAHOMA CITY,1168,No Longer Available,Not Suspended,2024-02-11 11:12:40 PST
FTC OKLAHOMA CITY,1168,No Longer Available,Not Suspended,2024-02-12 09:38:54 PST
FTC OKLAHOMA CITY,1168,No Longer Available,Not Suspended,2024-02-13 10:52:13 PST
FTC OKLAHOMA CITY,1327,No Longer Available,Not Suspended,2024-02-16 10:39:20 PST
FTC OKLAHOMA CITY,1327,No Longer Available,Not Suspended,2024-02-18 15:04:34 PST
FTC OKLAHOMA CITY,1327,No Longer Available,Not Suspended,2024-02-19 08:11:33 PST
FTC OKLAHOMA CITY,1327,No Longer Available,Not Suspended,2024-02-20 10:34:27 PST
FTC OKLAHOMA CITY,1422,No Longer Available,Not Suspended,2024-02-23 12:51:48 PST
FTC OKLAHOMA CITY,1422,No Longer Available,Not Suspended,2024-02-24 11:47:39 PST
FTC OKLAHOMA CITY,1422,No Longer Available,Not Suspended,2024-02-26 18:37:06 PST
FTC OKLAHOMA CITY,1422,No Longer Available,Not Suspended,2024-02-27 07:24:45 PST
FTC OKLAHOMA CITY,1430,No Longer Available,Not Suspended,2024-03-01 10:32:37 PST
FTC OKLAHOMA CITY,1430,No Longer Available,Not Suspended,2024-03-03 21:21:39 PST
FTC OKLAHOMA CITY,1411,No Longer Available,Not Suspended,2024-03-19 10:19:03 PDT
FTC OKLAHOMA CITY,1411,No Longer Available,Not Suspended,2024-03-20 10:21:36 PDT
FTC OKLAHOMA CITY,1411,No Longer Available,Not Suspended,2024-03-21 10:26:19 PDT
