title,population,operation_level,visiting_status,datetime_of_data
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-27 10:25:03 PDT
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-27 11:09:04 PDT
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-27 11:59:04 PDT
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-27 15:45:13 PDT
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-27 18:24:26 PDT
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-28 06:49:12 PDT
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-28 09:58:22 PDT
MCC CHICAGO,516,Level 1,Not Suspended,2023-09-28 16:09:46 PDT
MCC CHICAGO,516,Level 1,Not Suspended,2023-10-02 14:17:03 PDT
MCC CHICAGO,520,Level 1,Not Suspended,2023-10-22 11:24:10 PDT
MCC CHICAGO,509,Level 1,Not Suspended,2023-11-03 16:01:13 PDT
MCC CHICAGO,509,Level 1,Not Suspended,2023-11-10 10:39:25 PST
MCC CHICAGO,493,Level 1,Not Suspended,2023-11-12 09:21:22 PST
MCC CHICAGO,493,Level 1,Not Suspended,2023-11-13 09:27:58 PST
MCC CHICAGO,493,Level 1,Not Suspended,2023-11-15 09:30:59 PST
MCC CHICAGO,503,Level 1,Not Suspended,2023-11-21 11:11:38 PST
MCC CHICAGO,503,Level 1,Not Suspended,2023-11-22 09:53:21 PST
MCC CHICAGO,503,Level 1,Not Suspended,2023-11-26 14:47:29 PST
MCC CHICAGO,488,Level 1,Not Suspended,2023-11-27 12:10:59 PST
MCC CHICAGO,488,Level 1,Not Suspended,2023-11-28 10:22:11 PST
MCC CHICAGO,482,Level 1,Not Suspended,2023-11-30 10:15:01 PST
MCC CHICAGO,482,Level 1,Not Suspended,2023-12-01 11:24:09 PST
MCC CHICAGO,482,Level 1,Not Suspended,2023-12-03 10:49:05 PST
MCC CHICAGO,482,Level 1,Not Suspended,2023-12-04 14:46:46 PST
MCC CHICAGO,482,Level 1,Not Suspended,2023-12-05 07:32:12 PST
MCC CHICAGO,494,Level 1,Not Suspended,2023-12-07 16:51:50 PST
MCC CHICAGO,494,Level 1,Not Suspended,2023-12-08 20:46:47 PST
MCC CHICAGO,494,Level 1,Not Suspended,2023-12-11 08:48:10 PST
MCC CHICAGO,494,Level 1,Not Suspended,2023-12-12 16:31:02 PST
MCC CHICAGO,494,Level 1,Not Suspended,2023-12-13 10:48:47 PST
MCC CHICAGO,497,Level 1,Not Suspended,2023-12-18 06:57:04 PST
MCC CHICAGO,497,Level 1,Not Suspended,2023-12-20 09:02:24 PST
MCC CHICAGO,497,Level 1,Not Suspended,2023-12-22 08:07:47 PST
MCC CHICAGO,497,Level 1,Not Suspended,2023-12-27 10:11:26 PST
MCC CHICAGO,497,Level 1,Not Suspended,2023-12-28 11:33:50 PST
MCC CHICAGO,497,Level 1,Not Suspended,2023-12-29 10:42:11 PST
MCC CHICAGO,497,Level 1,Not Suspended,2023-12-29 11:23:47 PST
MCC CHICAGO,496,Level 1,Not Suspended,2024-01-02 10:21:47 PST
MCC CHICAGO,496,Level 1,Not Suspended,2024-01-03 09:48:09 PST
MCC CHICAGO,492,Level 1,Not Suspended,2024-01-04 10:13:52 PST
MCC CHICAGO,492,Level 1,Not Suspended,2024-01-05 10:15:11 PST
MCC CHICAGO,492,Level 1,Not Suspended,2024-01-07 18:07:58 PST
MCC CHICAGO,492,Level 1,Not Suspended,2024-01-08 10:35:45 PST
MCC CHICAGO,492,Level 1,Not Suspended,2024-01-09 10:15:53 PST
MCC CHICAGO,492,No Longer Available,Not Suspended,2024-01-11 12:14:19 PST
MCC CHICAGO,492,No Longer Available,Not Suspended,2024-01-13 12:48:30 PST
MCC CHICAGO,525,No Longer Available,Not Suspended,2024-01-16 10:16:23 PST
MCC CHICAGO,525,No Longer Available,Not Suspended,2024-01-17 10:14:45 PST
MCC CHICAGO,525,No Longer Available,Not Suspended,2024-01-18 10:18:17 PST
MCC CHICAGO,512,No Longer Available,Not Suspended,2024-01-19 10:28:43 PST
MCC CHICAGO,512,No Longer Available,Not Suspended,2024-01-22 10:10:50 PST
MCC CHICAGO,512,No Longer Available,Not Suspended,2024-01-23 10:12:17 PST
MCC CHICAGO,512,No Longer Available,Not Suspended,2024-01-24 09:06:12 PST
MCC CHICAGO,517,No Longer Available,Not Suspended,2024-01-25 11:35:33 PST
MCC CHICAGO,517,No Longer Available,Not Suspended,2024-01-26 10:16:48 PST
MCC CHICAGO,517,No Longer Available,Not Suspended,2024-01-27 14:41:19 PST
MCC CHICAGO,517,No Longer Available,Not Suspended,2024-01-28 20:24:34 PST
MCC CHICAGO,517,No Longer Available,Not Suspended,2024-01-29 09:47:31 PST
MCC CHICAGO,517,No Longer Available,Not Suspended,2024-01-30 14:13:32 PST
MCC CHICAGO,517,No Longer Available,Not Suspended,2024-02-01 14:06:50 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-02 23:00:12 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-03 09:23:52 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-03 19:29:14 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-04 12:37:53 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-05 11:20:25 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-06 14:20:36 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-07 19:13:17 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-08 14:07:31 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-09 10:14:41 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-10 17:45:49 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-11 10:57:48 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-12 09:23:28 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-13 10:37:11 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-16 10:24:24 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-18 14:49:30 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-19 07:56:24 PST
MCC CHICAGO,518,No Longer Available,Not Suspended,2024-02-20 10:19:18 PST
MCC CHICAGO,484,No Longer Available,Not Suspended,2024-02-23 12:36:47 PST
MCC CHICAGO,484,No Longer Available,Not Suspended,2024-02-24 11:32:16 PST
MCC CHICAGO,484,No Longer Available,Not Suspended,2024-02-26 18:21:53 PST
MCC CHICAGO,484,No Longer Available,Not Suspended,2024-02-27 07:09:37 PST
MCC CHICAGO,493,No Longer Available,Not Suspended,2024-03-01 10:17:46 PST
MCC CHICAGO,493,No Longer Available,Not Suspended,2024-03-03 21:06:04 PST
MCC CHICAGO,523,No Longer Available,Not Suspended,2024-03-19 10:03:57 PDT
MCC CHICAGO,523,No Longer Available,Not Suspended,2024-03-20 10:06:32 PDT
MCC CHICAGO,523,No Longer Available,Not Suspended,2024-03-21 10:10:24 PDT
