title,population,operation_level,visiting_status,datetime_of_data
MCC SAN DIEGO,713,Level 1,Not Suspended,2023-09-27 10:34:40 PDT
MCC SAN DIEGO,713,Level 1,Not Suspended,2023-09-27 11:18:46 PDT
MCC SAN DIEGO,713,Level 1,Not Suspended,2023-09-27 12:18:29 PDT
MCC SAN DIEGO,713,Level 1,Not Suspended,2023-09-27 16:04:30 PDT
MCC SAN DIEGO,713,Level 1,Not Suspended,2023-09-27 18:42:41 PDT
MCC SAN DIEGO,713,Level 1,Not Suspended,2023-09-28 07:07:38 PDT
MCC SAN DIEGO,713,Level 1,Not Suspended,2023-09-28 10:16:51 PDT
MCC SAN DIEGO,703,Level 1,Not Suspended,2023-09-28 16:28:12 PDT
MCC SAN DIEGO,703,Level 1,Not Suspended,2023-10-02 14:35:31 PDT
MCC SAN DIEGO,680,Level 1,Not Suspended,2023-10-22 11:42:44 PDT
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-11-03 16:19:36 PDT
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-11-10 10:57:54 PST
MCC SAN DIEGO,670,Level 1,Not Suspended,2023-11-12 09:39:42 PST
MCC SAN DIEGO,670,Level 1,Not Suspended,2023-11-13 09:46:31 PST
MCC SAN DIEGO,670,Level 1,Not Suspended,2023-11-15 09:49:20 PST
MCC SAN DIEGO,677,Level 1,Not Suspended,2023-11-21 11:30:17 PST
MCC SAN DIEGO,677,Level 1,Not Suspended,2023-11-22 10:11:45 PST
MCC SAN DIEGO,677,Level 1,Not Suspended,2023-11-26 15:05:55 PST
MCC SAN DIEGO,639,Level 1,Not Suspended,2023-11-27 12:29:16 PST
MCC SAN DIEGO,639,Level 1,Not Suspended,2023-11-28 10:40:51 PST
MCC SAN DIEGO,648,Level 1,Not Suspended,2023-11-30 10:33:26 PST
MCC SAN DIEGO,648,Level 1,Not Suspended,2023-12-01 11:42:52 PST
MCC SAN DIEGO,648,Level 1,Not Suspended,2023-12-03 11:07:32 PST
MCC SAN DIEGO,648,Level 1,Not Suspended,2023-12-04 15:05:12 PST
MCC SAN DIEGO,648,Level 1,Not Suspended,2023-12-05 07:50:46 PST
MCC SAN DIEGO,724,Level 1,Not Suspended,2023-12-07 17:11:16 PST
MCC SAN DIEGO,724,Level 1,Not Suspended,2023-12-08 21:05:10 PST
MCC SAN DIEGO,724,Level 1,Not Suspended,2023-12-11 09:06:52 PST
MCC SAN DIEGO,724,Level 1,Not Suspended,2023-12-12 16:49:22 PST
MCC SAN DIEGO,724,Level 1,Not Suspended,2023-12-13 11:07:01 PST
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-12-18 07:15:28 PST
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-12-20 09:20:42 PST
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-12-22 08:26:16 PST
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-12-27 10:29:46 PST
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-12-28 11:52:14 PST
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-12-29 11:00:42 PST
MCC SAN DIEGO,674,Level 1,Not Suspended,2023-12-29 11:42:07 PST
MCC SAN DIEGO,678,Level 1,Not Suspended,2024-01-02 10:40:23 PST
MCC SAN DIEGO,678,Level 1,Not Suspended,2024-01-03 10:06:31 PST
MCC SAN DIEGO,699,Level 1,Not Suspended,2024-01-04 10:32:16 PST
MCC SAN DIEGO,699,Level 1,Not Suspended,2024-01-05 10:33:44 PST
MCC SAN DIEGO,699,Level 1,Not Suspended,2024-01-07 18:26:18 PST
MCC SAN DIEGO,699,Level 1,Not Suspended,2024-01-08 10:54:02 PST
MCC SAN DIEGO,699,Level 1,Not Suspended,2024-01-09 10:34:27 PST
MCC SAN DIEGO,699,No Longer Available,Not Suspended,2024-01-11 12:32:51 PST
MCC SAN DIEGO,699,No Longer Available,Not Suspended,2024-01-13 13:07:03 PST
MCC SAN DIEGO,715,No Longer Available,Not Suspended,2024-01-16 10:35:11 PST
MCC SAN DIEGO,715,No Longer Available,Not Suspended,2024-01-17 10:33:19 PST
MCC SAN DIEGO,715,No Longer Available,Not Suspended,2024-01-18 10:37:01 PST
MCC SAN DIEGO,706,No Longer Available,Not Suspended,2024-01-19 10:47:23 PST
MCC SAN DIEGO,706,No Longer Available,Not Suspended,2024-01-22 10:29:16 PST
MCC SAN DIEGO,706,No Longer Available,Not Suspended,2024-01-23 10:30:56 PST
MCC SAN DIEGO,706,No Longer Available,Not Suspended,2024-01-24 09:24:41 PST
MCC SAN DIEGO,669,No Longer Available,Not Suspended,2024-01-25 11:54:03 PST
MCC SAN DIEGO,669,No Longer Available,Not Suspended,2024-01-26 10:35:22 PST
MCC SAN DIEGO,669,No Longer Available,Not Suspended,2024-01-27 15:00:07 PST
MCC SAN DIEGO,669,No Longer Available,Not Suspended,2024-01-28 20:43:07 PST
MCC SAN DIEGO,669,No Longer Available,Not Suspended,2024-01-29 10:05:58 PST
MCC SAN DIEGO,669,No Longer Available,Not Suspended,2024-01-30 14:32:29 PST
MCC SAN DIEGO,669,No Longer Available,Not Suspended,2024-02-01 14:25:22 PST
MCC SAN DIEGO,635,No Longer Available,Not Suspended,2024-02-02 23:18:49 PST
MCC SAN DIEGO,635,No Longer Available,Not Suspended,2024-02-03 09:42:39 PST
MCC SAN DIEGO,635,No Longer Available,Not Suspended,2024-02-03 19:48:07 PST
MCC SAN DIEGO,635,No Longer Available,Not Suspended,2024-02-04 12:56:40 PST
MCC SAN DIEGO,635,No Longer Available,Not Suspended,2024-02-05 11:38:51 PST
MCC SAN DIEGO,635,No Longer Available,Not Suspended,2024-02-06 14:39:22 PST
MCC SAN DIEGO,635,No Longer Available,Not Suspended,2024-02-07 19:32:08 PST
MCC SAN DIEGO,630,No Longer Available,Not Suspended,2024-02-08 14:26:11 PST
MCC SAN DIEGO,630,No Longer Available,Not Suspended,2024-02-09 10:33:15 PST
MCC SAN DIEGO,630,No Longer Available,Not Suspended,2024-02-10 18:04:53 PST
MCC SAN DIEGO,630,No Longer Available,Not Suspended,2024-02-11 11:16:27 PST
