title,population,operation_level,visiting_status,datetime_of_data
MCFP SPRINGFIELD,940,No Longer Available,Not Suspended,2024-02-16 10:44:39 PST
MCFP SPRINGFIELD,940,No Longer Available,Not Suspended,2024-02-20 10:39:46 PST
MCFP SPRINGFIELD,940,No Longer Available,Not Suspended,2024-02-18 15:09:49 PST
MCFP SPRINGFIELD,940,No Longer Available,Not Suspended,2024-02-19 08:16:53 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-27 07:30:05 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-26 18:42:38 PST
MCFP SPRINGFIELD,963,No Longer Available,Not Suspended,2024-03-01 10:37:53 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-13 10:57:31 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-23 12:57:07 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-24 11:53:06 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-08 14:27:46 PST
MCFP SPRINGFIELD,963,No Longer Available,Not Suspended,2024-03-03 21:27:13 PST
MCFP SPRINGFIELD,975,No Longer Available,Not Suspended,2024-03-19 10:24:28 PDT
MCFP SPRINGFIELD,941,No Longer Available,Not Suspended,2024-02-07 19:33:45 PST
MCFP SPRINGFIELD,975,No Longer Available,Not Suspended,2024-03-21 10:32:06 PDT
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-09 10:34:49 PST
MCFP SPRINGFIELD,945,No Longer Available,Not Suspended,2024-01-19 10:48:56 PST
MCFP SPRINGFIELD,975,No Longer Available,Not Suspended,2024-03-20 10:26:56 PDT
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-02-01 14:26:56 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-10 18:06:29 PST
MCFP SPRINGFIELD,941,No Longer Available,Not Suspended,2024-02-02 23:20:24 PST
MCFP SPRINGFIELD,941,No Longer Available,Not Suspended,2024-02-03 19:49:45 PST
MCFP SPRINGFIELD,941,No Longer Available,Not Suspended,2024-02-06 14:40:58 PST
MCFP SPRINGFIELD,945,No Longer Available,Not Suspended,2024-01-23 10:32:31 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-12 09:44:22 PST
MCFP SPRINGFIELD,945,No Longer Available,Not Suspended,2024-01-22 10:30:56 PST
MCFP SPRINGFIELD,945,No Longer Available,Not Suspended,2024-01-24 09:26:15 PST
MCFP SPRINGFIELD,941,No Longer Available,Not Suspended,2024-02-03 09:44:15 PST
MCFP SPRINGFIELD,941,No Longer Available,Not Suspended,2024-02-05 11:40:25 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-30 14:34:05 PST
MCFP SPRINGFIELD,935,No Longer Available,Not Suspended,2024-02-11 11:18:03 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-28 20:44:40 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-26 10:36:56 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-27 15:01:43 PST
MCFP SPRINGFIELD,946,No Longer Available,Not Suspended,2024-01-11 12:34:24 PST
MCFP SPRINGFIELD,941,No Longer Available,Not Suspended,2024-02-04 12:58:15 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-18 10:38:36 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-29 10:07:31 PST
MCFP SPRINGFIELD,946,No Longer Available,Not Suspended,2024-01-13 13:08:35 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-17 10:34:56 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-16 10:36:47 PST
MCFP SPRINGFIELD,937,No Longer Available,Not Suspended,2024-01-25 11:55:37 PST
MCFP SPRINGFIELD,948,Level 1,Not Suspended,2023-10-22 11:44:18 PDT
MCFP SPRINGFIELD,976,Level 1,Not Suspended,2023-09-28 16:29:46 PDT
MCFP SPRINGFIELD,973,Level 1,Not Suspended,2023-09-28 07:09:12 PDT
MCFP SPRINGFIELD,973,Level 1,Not Suspended,2023-09-27 18:44:13 PDT
MCFP SPRINGFIELD,973,Level 1,Not Suspended,2023-09-27 16:06:07 PDT
MCFP SPRINGFIELD,949,Level 1,Not Suspended,2023-11-03 16:21:09 PDT
MCFP SPRINGFIELD,976,Level 1,Not Suspended,2023-10-02 14:37:04 PDT
MCFP SPRINGFIELD,939,Level 1,Not Suspended,2023-12-13 11:08:33 PST
MCFP SPRINGFIELD,973,Level 1,Not Suspended,2023-09-27 12:20:10 PDT
MCFP SPRINGFIELD,973,Level 1,Not Suspended,2023-09-28 10:18:25 PDT
MCFP SPRINGFIELD,953,Level 1,Not Suspended,2023-11-15 09:50:53 PST
MCFP SPRINGFIELD,939,Level 1,Not Suspended,2023-12-12 16:50:57 PST
MCFP SPRINGFIELD,973,Level 1,Not Suspended,2023-09-27 11:19:35 PDT
MCFP SPRINGFIELD,939,Level 1,Not Suspended,2023-12-11 09:08:30 PST
MCFP SPRINGFIELD,953,Level 1,Not Suspended,2023-11-12 09:41:16 PST
MCFP SPRINGFIELD,945,Level 1,Not Suspended,2023-12-20 09:22:16 PST
MCFP SPRINGFIELD,939,Level 1,Not Suspended,2023-12-08 21:06:43 PST
MCFP SPRINGFIELD,953,Level 1,Not Suspended,2023-11-13 09:48:06 PST
MCFP SPRINGFIELD,945,Level 1,Not Suspended,2023-12-29 11:43:41 PST
MCFP SPRINGFIELD,945,Level 1,Not Suspended,2023-12-29 11:02:14 PST
MCFP SPRINGFIELD,946,Level 1,Not Suspended,2024-01-08 10:55:35 PST
MCFP SPRINGFIELD,946,Level 1,Not Suspended,2024-01-09 10:36:00 PST
MCFP SPRINGFIELD,960,Level 1,Not Suspended,2023-11-21 11:31:51 PST
MCFP SPRINGFIELD,945,Level 1,Not Suspended,2023-12-22 08:27:51 PST
MCFP SPRINGFIELD,939,Level 1,Not Suspended,2023-12-07 17:12:50 PST
MCFP SPRINGFIELD,945,Level 1,Not Suspended,2023-12-28 11:53:47 PST
MCFP SPRINGFIELD,948,Level 1,Not Suspended,2024-01-02 10:41:57 PST
MCFP SPRINGFIELD,949,Level 1,Not Suspended,2023-11-10 10:59:27 PST
MCFP SPRINGFIELD,945,Level 1,Not Suspended,2023-12-18 07:17:02 PST
MCFP SPRINGFIELD,954,Level 1,Not Suspended,2023-11-27 12:30:49 PST
MCFP SPRINGFIELD,954,Level 1,Not Suspended,2023-11-28 10:42:29 PST
MCFP SPRINGFIELD,960,Level 1,Not Suspended,2023-11-22 10:13:20 PST
MCFP SPRINGFIELD,945,Level 1,Not Suspended,2023-12-27 10:31:22 PST
MCFP SPRINGFIELD,946,Level 1,Not Suspended,2024-01-05 10:35:18 PST
MCFP SPRINGFIELD,946,Level 1,Not Suspended,2024-01-04 10:33:51 PST
MCFP SPRINGFIELD,960,Level 1,Not Suspended,2023-11-26 15:07:29 PST
MCFP SPRINGFIELD,948,Level 1,Not Suspended,2024-01-03 10:08:06 PST
MCFP SPRINGFIELD,946,Level 1,Not Suspended,2024-01-07 18:27:53 PST
