title,population,operation_level,visiting_status,datetime_of_data
MDC BROOKLYN,1443,Level 1,Not Suspended,2023-09-27 10:23:59 PDT
MDC BROOKLYN,1443,Level 1,Not Suspended,2023-09-27 11:07:58 PDT
MDC BROOKLYN,1443,Level 1,Not Suspended,2023-09-27 11:56:54 PDT
MDC BROOKLYN,1443,Level 1,Not Suspended,2023-09-27 15:43:04 PDT
MDC BROOKLYN,1443,Level 1,Not Suspended,2023-09-27 18:22:23 PDT
MDC BROOKLYN,1443,Level 1,Not Suspended,2023-09-28 06:47:08 PDT
MDC BROOKLYN,1443,Level 1,Not Suspended,2023-09-28 09:56:16 PDT
MDC BROOKLYN,1436,Level 1,Not Suspended,2023-09-28 16:07:42 PDT
MDC BROOKLYN,1436,Level 1,Not Suspended,2023-10-02 14:14:58 PDT
MDC BROOKLYN,1497,Level 1,Not Suspended,2023-10-22 11:22:06 PDT
MDC BROOKLYN,1592,Level 1,Not Suspended,2023-11-03 15:59:09 PDT
MDC BROOKLYN,1592,Level 1,Not Suspended,2023-11-10 10:37:21 PST
MDC BROOKLYN,1579,Level 1,Not Suspended,2023-11-12 09:19:19 PST
MDC BROOKLYN,1579,Level 1,Not Suspended,2023-11-13 09:25:52 PST
MDC BROOKLYN,1579,Level 1,Not Suspended,2023-11-15 09:28:56 PST
MDC BROOKLYN,1616,Level 1,Not Suspended,2023-11-21 11:09:34 PST
MDC BROOKLYN,1616,Level 1,Not Suspended,2023-11-22 09:51:17 PST
MDC BROOKLYN,1616,Level 1,Not Suspended,2023-11-26 14:45:26 PST
MDC BROOKLYN,1609,Level 1,Not Suspended,2023-11-27 12:08:54 PST
MDC BROOKLYN,1609,Level 1,Not Suspended,2023-11-28 10:20:07 PST
MDC BROOKLYN,1599,Level 1,Not Suspended,2023-11-30 10:12:56 PST
MDC BROOKLYN,1599,Level 1,Not Suspended,2023-12-01 11:22:05 PST
MDC BROOKLYN,1599,Level 1,Not Suspended,2023-12-03 10:47:01 PST
MDC BROOKLYN,1599,Level 1,Not Suspended,2023-12-04 14:44:42 PST
MDC BROOKLYN,1599,Level 1,Not Suspended,2023-12-05 07:30:06 PST
MDC BROOKLYN,1584,Level 1,Not Suspended,2023-12-07 16:49:44 PST
MDC BROOKLYN,1584,Level 1,Not Suspended,2023-12-08 20:44:44 PST
MDC BROOKLYN,1584,Level 1,Not Suspended,2023-12-11 08:46:04 PST
MDC BROOKLYN,1584,Level 1,Not Suspended,2023-12-12 16:28:58 PST
MDC BROOKLYN,1584,Level 1,Not Suspended,2023-12-13 10:46:44 PST
MDC BROOKLYN,1544,Level 1,Suspended,2023-12-18 06:55:01 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2023-12-20 09:00:21 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2023-12-22 08:05:43 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2023-12-27 10:09:23 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2023-12-28 11:31:47 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2023-12-29 10:40:07 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2023-12-29 11:21:44 PST
MDC BROOKLYN,1539,Level 1,Not Suspended,2024-01-02 10:19:43 PST
MDC BROOKLYN,1539,Level 1,Not Suspended,2024-01-03 09:46:04 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2024-01-04 10:11:48 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2024-01-05 10:13:06 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2024-01-07 18:05:55 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2024-01-08 10:33:42 PST
MDC BROOKLYN,1544,Level 1,Not Suspended,2024-01-09 10:13:47 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-01-11 12:12:13 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-01-13 12:46:27 PST
MDC BROOKLYN,1550,No Longer Available,Not Suspended,2024-01-16 10:14:18 PST
MDC BROOKLYN,1550,No Longer Available,Not Suspended,2024-01-17 10:12:41 PST
MDC BROOKLYN,1550,No Longer Available,Not Suspended,2024-01-18 10:16:11 PST
MDC BROOKLYN,1532,No Longer Available,Not Suspended,2024-01-19 10:26:39 PST
MDC BROOKLYN,1532,No Longer Available,Not Suspended,2024-01-22 10:08:47 PST
MDC BROOKLYN,1532,No Longer Available,Not Suspended,2024-01-23 10:10:11 PST
MDC BROOKLYN,1532,No Longer Available,Not Suspended,2024-01-24 09:04:09 PST
MDC BROOKLYN,1499,No Longer Available,Not Suspended,2024-01-25 11:33:30 PST
MDC BROOKLYN,1499,No Longer Available,Not Suspended,2024-01-26 10:14:44 PST
MDC BROOKLYN,1499,No Longer Available,Not Suspended,2024-01-27 14:39:12 PST
MDC BROOKLYN,1499,No Longer Available,Not Suspended,2024-01-28 20:22:31 PST
MDC BROOKLYN,1499,No Longer Available,Not Suspended,2024-01-29 09:45:27 PST
MDC BROOKLYN,1499,No Longer Available,Not Suspended,2024-01-30 14:11:27 PST
MDC BROOKLYN,1499,No Longer Available,Not Suspended,2024-02-01 14:04:45 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-02-02 22:58:07 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-02-03 09:21:48 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-02-03 19:27:08 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-02-04 12:35:48 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-02-05 11:18:20 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-02-06 14:18:31 PST
MDC BROOKLYN,1544,No Longer Available,Not Suspended,2024-02-07 19:11:12 PST
MDC BROOKLYN,1524,No Longer Available,Not Suspended,2024-02-08 14:05:26 PST
MDC BROOKLYN,1524,No Longer Available,Not Suspended,2024-02-09 10:12:36 PST
MDC BROOKLYN,1524,No Longer Available,Not Suspended,2024-02-10 17:43:42 PST
MDC BROOKLYN,1524,No Longer Available,Not Suspended,2024-02-11 10:55:43 PST
MDC BROOKLYN,1524,No Longer Available,Not Suspended,2024-02-12 09:21:16 PST
MDC BROOKLYN,1524,No Longer Available,Not Suspended,2024-02-13 10:35:05 PST
MDC BROOKLYN,1417,No Longer Available,Not Suspended,2024-02-16 10:22:18 PST
MDC BROOKLYN,1417,No Longer Available,Not Suspended,2024-02-18 14:47:24 PST
MDC BROOKLYN,1417,No Longer Available,Not Suspended,2024-02-19 07:54:17 PST
MDC BROOKLYN,1417,No Longer Available,Not Suspended,2024-02-20 10:17:13 PST
MDC BROOKLYN,1373,No Longer Available,Not Suspended,2024-02-23 12:34:42 PST
MDC BROOKLYN,1373,No Longer Available,Not Suspended,2024-02-24 11:30:11 PST
MDC BROOKLYN,1373,No Longer Available,Not Suspended,2024-02-26 18:19:49 PST
MDC BROOKLYN,1373,No Longer Available,Not Suspended,2024-02-27 07:07:31 PST
MDC BROOKLYN,1376,No Longer Available,Not Suspended,2024-03-01 10:15:42 PST
MDC BROOKLYN,1376,No Longer Available,Not Suspended,2024-03-03 21:03:59 PST
MDC BROOKLYN,1346,No Longer Available,Not Suspended,2024-03-19 10:01:52 PDT
MDC BROOKLYN,1346,No Longer Available,Not Suspended,2024-03-20 10:04:27 PDT
MDC BROOKLYN,1346,No Longer Available,Not Suspended,2024-03-21 10:08:16 PDT
