title,population,operation_level,visiting_status,datetime_of_data
MDC GUAYNABO,,Level 1,Suspended,2023-09-27 10:28:27 PDT
MDC GUAYNABO,1193.0,Level 1,Suspended,2023-09-27 11:12:31 PDT
MDC GUAYNABO,1193.0,Level 1,Suspended,2023-09-27 12:05:53 PDT
MDC GUAYNABO,1193.0,Level 1,Suspended,2023-09-27 15:52:01 PDT
MDC GUAYNABO,1193.0,Level 1,Suspended,2023-09-27 18:30:51 PDT
MDC GUAYNABO,1193.0,Level 1,Suspended,2023-09-28 06:55:41 PDT
MDC GUAYNABO,1193.0,Level 1,Suspended,2023-09-28 10:04:53 PDT
MDC GUAYNABO,1219.0,Level 1,Suspended,2023-09-28 16:16:15 PDT
MDC GUAYNABO,1219.0,Level 1,Suspended,2023-10-02 14:23:31 PDT
MDC GUAYNABO,1167.0,Level 1,Suspended,2023-10-22 11:30:49 PDT
MDC GUAYNABO,1176.0,Level 1,Suspended,2023-11-03 16:07:42 PDT
MDC GUAYNABO,1176.0,Level 1,Suspended,2023-11-10 10:45:53 PST
MDC GUAYNABO,1181.0,Level 1,Suspended,2023-11-12 09:27:49 PST
MDC GUAYNABO,1181.0,Level 1,Suspended,2023-11-13 09:34:29 PST
MDC GUAYNABO,1181.0,Level 1,Suspended,2023-11-15 09:37:25 PST
MDC GUAYNABO,1184.0,Level 1,Suspended,2023-11-21 11:18:11 PST
MDC GUAYNABO,1184.0,Level 1,Suspended,2023-11-22 09:59:48 PST
MDC GUAYNABO,1184.0,Level 1,Suspended,2023-11-26 14:53:57 PST
MDC GUAYNABO,1183.0,Level 1,Suspended,2023-11-27 12:17:24 PST
MDC GUAYNABO,1183.0,Level 1,Suspended,2023-11-28 10:28:45 PST
MDC GUAYNABO,1170.0,Level 1,Suspended,2023-11-30 10:21:30 PST
MDC GUAYNABO,1170.0,Level 1,Suspended,2023-12-01 11:30:52 PST
MDC GUAYNABO,1170.0,Level 1,Suspended,2023-12-03 10:55:36 PST
MDC GUAYNABO,1170.0,Level 1,Suspended,2023-12-04 14:53:15 PST
MDC GUAYNABO,1170.0,Level 1,Suspended,2023-12-05 07:38:45 PST
MDC GUAYNABO,1174.0,Level 1,Suspended,2023-12-07 16:58:44 PST
MDC GUAYNABO,1174.0,Level 1,Suspended,2023-12-08 20:53:12 PST
MDC GUAYNABO,1174.0,Level 1,Suspended,2023-12-11 08:54:35 PST
MDC GUAYNABO,1174.0,Level 1,Suspended,2023-12-12 16:37:29 PST
MDC GUAYNABO,1174.0,Level 1,Suspended,2023-12-13 10:55:12 PST
MDC GUAYNABO,1197.0,Level 1,Suspended,2023-12-18 07:03:31 PST
MDC GUAYNABO,1197.0,Level 1,Suspended,2023-12-20 09:08:49 PST
MDC GUAYNABO,1197.0,Level 1,Suspended,2023-12-22 08:14:17 PST
MDC GUAYNABO,1197.0,Level 1,Suspended,2023-12-27 10:17:51 PST
MDC GUAYNABO,1197.0,Level 1,Suspended,2023-12-28 11:40:16 PST
MDC GUAYNABO,1197.0,Level 1,Suspended,2023-12-29 10:48:38 PST
MDC GUAYNABO,1197.0,Level 1,Suspended,2023-12-29 11:30:13 PST
MDC GUAYNABO,1163.0,Level 1,Suspended,2024-01-02 10:28:19 PST
MDC GUAYNABO,1163.0,Level 1,Suspended,2024-01-03 09:54:36 PST
MDC GUAYNABO,1164.0,Level 1,Suspended,2024-01-04 10:20:19 PST
MDC GUAYNABO,1164.0,Level 1,Suspended,2024-01-05 10:21:41 PST
MDC GUAYNABO,1164.0,Level 1,Suspended,2024-01-07 18:14:26 PST
MDC GUAYNABO,1164.0,Level 1,Suspended,2024-01-08 10:42:12 PST
MDC GUAYNABO,1164.0,Level 1,Suspended,2024-01-09 10:22:21 PST
MDC GUAYNABO,1164.0,No Longer Available,Suspended,2024-01-11 12:20:49 PST
MDC GUAYNABO,1164.0,No Longer Available,Suspended,2024-01-13 12:55:04 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-16 10:22:56 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-17 10:21:13 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-18 10:24:52 PST
MDC GUAYNABO,1156.0,No Longer Available,Suspended,2024-01-19 10:35:14 PST
MDC GUAYNABO,1156.0,No Longer Available,Suspended,2024-01-22 10:17:18 PST
MDC GUAYNABO,1156.0,No Longer Available,Suspended,2024-01-23 10:18:51 PST
MDC GUAYNABO,1156.0,No Longer Available,Suspended,2024-01-24 09:12:39 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-25 11:42:03 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-26 10:23:17 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-27 14:47:51 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-28 20:31:02 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-29 09:53:59 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-01-30 14:20:05 PST
MDC GUAYNABO,1152.0,No Longer Available,Suspended,2024-02-01 14:13:17 PST
MDC GUAYNABO,1151.0,No Longer Available,Suspended,2024-02-02 23:06:41 PST
MDC GUAYNABO,1151.0,No Longer Available,Suspended,2024-02-03 09:30:23 PST
MDC GUAYNABO,1151.0,No Longer Available,Suspended,2024-02-03 19:35:49 PST
MDC GUAYNABO,1151.0,No Longer Available,Suspended,2024-02-04 12:44:23 PST
MDC GUAYNABO,1151.0,No Longer Available,Suspended,2024-02-05 11:26:53 PST
MDC GUAYNABO,1151.0,No Longer Available,Suspended,2024-02-06 14:27:09 PST
MDC GUAYNABO,1151.0,No Longer Available,Suspended,2024-02-07 19:19:44 PST
MDC GUAYNABO,1161.0,No Longer Available,Suspended,2024-02-08 14:14:03 PST
MDC GUAYNABO,1161.0,No Longer Available,Suspended,2024-02-09 10:21:10 PST
