title,population,operation_level,visiting_status,datetime_of_data
MDC LOS ANGELES,,Level 1,Not Suspended,2023-09-27 10:30:29 PDT
MDC LOS ANGELES,602.0,Level 1,Not Suspended,2023-09-27 11:14:32 PDT
MDC LOS ANGELES,602.0,Level 1,Not Suspended,2023-09-27 12:10:00 PDT
MDC LOS ANGELES,602.0,Level 1,Not Suspended,2023-09-27 15:56:05 PDT
MDC LOS ANGELES,602.0,Level 1,Not Suspended,2023-09-27 18:34:44 PDT
MDC LOS ANGELES,602.0,Level 1,Not Suspended,2023-09-28 06:59:35 PDT
MDC LOS ANGELES,602.0,Level 1,Not Suspended,2023-09-28 10:08:47 PDT
MDC LOS ANGELES,600.0,Level 1,Not Suspended,2023-09-28 16:20:09 PDT
MDC LOS ANGELES,600.0,Level 1,Not Suspended,2023-10-02 14:27:26 PDT
MDC LOS ANGELES,608.0,Level 1,Not Suspended,2023-10-22 11:34:43 PDT
MDC LOS ANGELES,607.0,Level 1,Not Suspended,2023-11-03 16:11:35 PDT
MDC LOS ANGELES,607.0,Level 1,Not Suspended,2023-11-10 10:49:48 PST
MDC LOS ANGELES,626.0,Level 1,Not Suspended,2023-11-12 09:31:41 PST
MDC LOS ANGELES,626.0,Level 1,Not Suspended,2023-11-13 09:38:25 PST
MDC LOS ANGELES,626.0,Level 1,Not Suspended,2023-11-15 09:41:18 PST
MDC LOS ANGELES,632.0,Level 1,Not Suspended,2023-11-21 11:22:08 PST
MDC LOS ANGELES,632.0,Level 1,Not Suspended,2023-11-22 10:03:42 PST
MDC LOS ANGELES,632.0,Level 1,Not Suspended,2023-11-26 14:57:51 PST
MDC LOS ANGELES,634.0,Level 1,Not Suspended,2023-11-27 12:21:15 PST
MDC LOS ANGELES,634.0,Level 1,Not Suspended,2023-11-28 10:32:45 PST
MDC LOS ANGELES,635.0,Level 1,Not Suspended,2023-11-30 10:25:24 PST
MDC LOS ANGELES,635.0,Level 1,Not Suspended,2023-12-01 11:34:47 PST
MDC LOS ANGELES,635.0,Level 1,Not Suspended,2023-12-03 10:59:30 PST
MDC LOS ANGELES,635.0,Level 1,Not Suspended,2023-12-04 14:57:08 PST
MDC LOS ANGELES,635.0,Level 1,Not Suspended,2023-12-05 07:42:41 PST
MDC LOS ANGELES,633.0,Level 1,Not Suspended,2023-12-07 17:02:53 PST
MDC LOS ANGELES,633.0,Level 1,Not Suspended,2023-12-08 20:57:10 PST
MDC LOS ANGELES,633.0,Level 1,Not Suspended,2023-12-11 08:58:30 PST
MDC LOS ANGELES,633.0,Level 1,Not Suspended,2023-12-12 16:41:22 PST
MDC LOS ANGELES,633.0,Level 1,Not Suspended,2023-12-13 10:59:04 PST
MDC LOS ANGELES,621.0,Level 1,Not Suspended,2023-12-18 07:07:26 PST
MDC LOS ANGELES,621.0,Level 1,Not Suspended,2023-12-20 09:12:43 PST
MDC LOS ANGELES,621.0,Level 1,Not Suspended,2023-12-22 08:18:11 PST
MDC LOS ANGELES,621.0,Level 1,Not Suspended,2023-12-27 10:21:45 PST
MDC LOS ANGELES,621.0,Level 1,Not Suspended,2023-12-28 11:44:10 PST
MDC LOS ANGELES,621.0,Level 1,Not Suspended,2023-12-29 10:52:32 PST
MDC LOS ANGELES,621.0,Level 1,Not Suspended,2023-12-29 11:34:05 PST
MDC LOS ANGELES,598.0,Level 1,Not Suspended,2024-01-02 10:32:14 PST
MDC LOS ANGELES,598.0,Level 1,Not Suspended,2024-01-03 09:58:31 PST
MDC LOS ANGELES,591.0,Level 1,Not Suspended,2024-01-04 10:24:15 PST
MDC LOS ANGELES,591.0,Level 1,Not Suspended,2024-01-05 10:25:39 PST
MDC LOS ANGELES,591.0,Level 1,Not Suspended,2024-01-07 18:18:19 PST
MDC LOS ANGELES,591.0,Level 1,Not Suspended,2024-01-08 10:46:04 PST
MDC LOS ANGELES,591.0,Level 1,Not Suspended,2024-01-09 10:26:17 PST
MDC LOS ANGELES,591.0,No Longer Available,Not Suspended,2024-01-11 12:24:44 PST
MDC LOS ANGELES,591.0,No Longer Available,Not Suspended,2024-01-13 12:59:00 PST
MDC LOS ANGELES,603.0,No Longer Available,Not Suspended,2024-01-16 10:26:57 PST
MDC LOS ANGELES,603.0,No Longer Available,Not Suspended,2024-01-17 10:25:12 PST
MDC LOS ANGELES,603.0,No Longer Available,Not Suspended,2024-01-18 10:28:51 PST
MDC LOS ANGELES,605.0,No Longer Available,Not Suspended,2024-01-19 10:39:11 PST
MDC LOS ANGELES,605.0,No Longer Available,Not Suspended,2024-01-22 10:21:14 PST
MDC LOS ANGELES,605.0,No Longer Available,Not Suspended,2024-01-23 10:22:48 PST
MDC LOS ANGELES,605.0,No Longer Available,Not Suspended,2024-01-24 09:16:36 PST
MDC LOS ANGELES,601.0,No Longer Available,Not Suspended,2024-01-25 11:45:57 PST
MDC LOS ANGELES,601.0,No Longer Available,Not Suspended,2024-01-26 10:27:14 PST
MDC LOS ANGELES,601.0,No Longer Available,Not Suspended,2024-01-27 14:51:51 PST
MDC LOS ANGELES,601.0,No Longer Available,Not Suspended,2024-01-28 20:34:59 PST
MDC LOS ANGELES,601.0,No Longer Available,Not Suspended,2024-01-29 09:57:54 PST
MDC LOS ANGELES,601.0,No Longer Available,Not Suspended,2024-01-30 14:24:10 PST
MDC LOS ANGELES,601.0,No Longer Available,Not Suspended,2024-02-01 14:17:11 PST
MDC LOS ANGELES,596.0,No Longer Available,Not Suspended,2024-02-02 23:10:39 PST
MDC LOS ANGELES,596.0,No Longer Available,Not Suspended,2024-02-03 09:34:24 PST
MDC LOS ANGELES,596.0,No Longer Available,Not Suspended,2024-02-03 19:39:48 PST
MDC LOS ANGELES,596.0,No Longer Available,Not Suspended,2024-02-04 12:48:21 PST
MDC LOS ANGELES,596.0,No Longer Available,Not Suspended,2024-02-05 11:30:46 PST
MDC LOS ANGELES,596.0,No Longer Available,Not Suspended,2024-02-06 14:31:06 PST
MDC LOS ANGELES,596.0,No Longer Available,Not Suspended,2024-02-07 19:23:50 PST
MDC LOS ANGELES,604.0,No Longer Available,Not Suspended,2024-02-08 14:17:59 PST
MDC LOS ANGELES,604.0,No Longer Available,Not Suspended,2024-02-09 10:25:06 PST
MDC LOS ANGELES,604.0,No Longer Available,Not Suspended,2024-02-10 17:56:23 PST
MDC LOS ANGELES,604.0,No Longer Available,Not Suspended,2024-02-11 11:08:14 PST
MDC LOS ANGELES,604.0,No Longer Available,Not Suspended,2024-02-12 09:34:18 PST
MDC LOS ANGELES,604.0,No Longer Available,Not Suspended,2024-02-13 10:47:40 PST
MDC LOS ANGELES,624.0,No Longer Available,Not Suspended,2024-02-16 10:34:52 PST
MDC LOS ANGELES,624.0,No Longer Available,Not Suspended,2024-02-18 15:00:03 PST
MDC LOS ANGELES,624.0,No Longer Available,Not Suspended,2024-02-19 08:06:59 PST
MDC LOS ANGELES,624.0,No Longer Available,Not Suspended,2024-02-20 10:29:50 PST
MDC LOS ANGELES,636.0,No Longer Available,Not Suspended,2024-02-23 12:47:18 PST
MDC LOS ANGELES,636.0,No Longer Available,Not Suspended,2024-02-24 11:43:07 PST
MDC LOS ANGELES,636.0,No Longer Available,Not Suspended,2024-02-26 18:32:20 PST
MDC LOS ANGELES,636.0,No Longer Available,Not Suspended,2024-02-27 07:20:12 PST
MDC LOS ANGELES,625.0,No Longer Available,Not Suspended,2024-03-01 10:28:11 PST
MDC LOS ANGELES,625.0,No Longer Available,Not Suspended,2024-03-03 21:16:45 PST
MDC LOS ANGELES,616.0,No Longer Available,Not Suspended,2024-03-19 10:14:31 PDT
MDC LOS ANGELES,616.0,No Longer Available,Not Suspended,2024-03-20 10:17:02 PDT
MDC LOS ANGELES,616.0,No Longer Available,Not Suspended,2024-03-21 10:21:28 PDT
