title,population,operation_level,visiting_status,datetime_of_data
USP ALLENWOOD,277,No Longer Available,Not Suspended,2024-02-16 10:18:52 PST
USP ALLENWOOD,277,No Longer Available,Not Suspended,2024-02-20 10:13:49 PST
USP ALLENWOOD,277,No Longer Available,Not Suspended,2024-02-18 14:44:01 PST
USP ALLENWOOD,277,No Longer Available,Not Suspended,2024-02-19 07:50:53 PST
USP ALLENWOOD,293,No Longer Available,Not Suspended,2024-02-27 07:04:07 PST
USP ALLENWOOD,293,No Longer Available,Not Suspended,2024-02-26 18:16:27 PST
USP ALLENWOOD,283,No Longer Available,Not Suspended,2024-03-01 10:12:19 PST
USP ALLENWOOD,278,No Longer Available,Not Suspended,2024-02-13 10:31:41 PST
USP ALLENWOOD,293,No Longer Available,Not Suspended,2024-02-23 12:31:20 PST
USP ALLENWOOD,293,No Longer Available,Not Suspended,2024-02-24 11:26:46 PST
USP ALLENWOOD,278,No Longer Available,Not Suspended,2024-02-08 14:02:04 PST
USP ALLENWOOD,283,No Longer Available,Not Suspended,2024-03-03 21:00:35 PST
USP ALLENWOOD,285,No Longer Available,Not Suspended,2024-03-19 09:58:26 PDT
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-07 19:07:48 PST
USP ALLENWOOD,285,No Longer Available,Not Suspended,2024-03-21 10:04:52 PDT
USP ALLENWOOD,278,No Longer Available,Not Suspended,2024-02-09 10:09:13 PST
USP ALLENWOOD,289,No Longer Available,Not Suspended,2024-01-19 10:23:18 PST
USP ALLENWOOD,285,No Longer Available,Not Suspended,2024-03-20 10:01:03 PDT
USP ALLENWOOD,287,No Longer Available,Not Suspended,2024-02-01 14:01:23 PST
USP ALLENWOOD,278,No Longer Available,Not Suspended,2024-02-10 17:40:15 PST
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-02 22:54:44 PST
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-03 19:23:44 PST
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-06 14:15:05 PST
USP ALLENWOOD,289,No Longer Available,Not Suspended,2024-01-23 10:06:48 PST
USP ALLENWOOD,278,No Longer Available,Not Suspended,2024-02-12 09:17:44 PST
USP ALLENWOOD,289,No Longer Available,Not Suspended,2024-01-22 10:05:25 PST
USP ALLENWOOD,289,No Longer Available,Not Suspended,2024-01-24 09:00:45 PST
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-03 09:18:24 PST
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-05 11:14:59 PST
USP ALLENWOOD,287,No Longer Available,Not Suspended,2024-01-30 14:08:03 PST
USP ALLENWOOD,278,No Longer Available,Not Suspended,2024-02-11 10:52:19 PST
USP ALLENWOOD,287,No Longer Available,Not Suspended,2024-01-28 20:19:10 PST
USP ALLENWOOD,287,No Longer Available,Not Suspended,2024-01-26 10:11:21 PST
USP ALLENWOOD,287,No Longer Available,Not Suspended,2024-01-27 14:35:48 PST
USP ALLENWOOD,304,No Longer Available,Not Suspended,2024-01-11 12:08:50 PST
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-04 12:32:25 PST
USP ALLENWOOD,303,No Longer Available,Not Suspended,2024-01-18 10:12:50 PST
USP ALLENWOOD,287,No Longer Available,Not Suspended,2024-01-29 09:42:06 PST
USP ALLENWOOD,304,No Longer Available,Not Suspended,2024-01-13 12:43:06 PST
USP ALLENWOOD,303,No Longer Available,Not Suspended,2024-01-17 10:09:20 PST
USP ALLENWOOD,303,No Longer Available,Not Suspended,2024-01-16 10:10:53 PST
USP ALLENWOOD,287,No Longer Available,Not Suspended,2024-01-25 11:30:08 PST
USP ALLENWOOD,293,Level 1,Not Suspended,2023-10-22 11:18:46 PDT
USP ALLENWOOD,306,Level 1,Not Suspended,2023-09-28 16:04:21 PDT
USP ALLENWOOD,324,Level 1,Not Suspended,2023-09-28 06:43:46 PDT
USP ALLENWOOD,324,Level 1,Not Suspended,2023-09-27 18:19:03 PDT
USP ALLENWOOD,324,Level 1,Not Suspended,2023-09-27 15:39:32 PDT
USP ALLENWOOD,294,Level 1,Not Suspended,2023-11-03 15:55:47 PDT
USP ALLENWOOD,306,Level 1,Not Suspended,2023-10-02 14:11:36 PDT
USP ALLENWOOD,291,Level 1,Not Suspended,2023-12-13 10:43:24 PST
