title,population,operation_level,visiting_status,datetime_of_data
USP ATLANTA,,Level 1,Not Suspended,2023-09-27 10:22:30 PDT
USP ATLANTA,1847.0,Level 1,Not Suspended,2023-09-27 11:06:29 PDT
USP ATLANTA,1847.0,Level 1,Not Suspended,2023-09-27 11:53:46 PDT
USP ATLANTA,1847.0,Level 1,Not Suspended,2023-09-27 15:40:05 PDT
USP ATLANTA,1847.0,Level 1,Not Suspended,2023-09-27 18:19:34 PDT
USP ATLANTA,1847.0,Level 1,Not Suspended,2023-09-28 06:44:17 PDT
USP ATLANTA,1847.0,Level 1,Not Suspended,2023-09-28 09:53:24 PDT
USP ATLANTA,1858.0,Level 1,Not Suspended,2023-09-28 16:04:52 PDT
USP ATLANTA,1858.0,Level 1,Not Suspended,2023-10-02 14:12:07 PDT
USP ATLANTA,1901.0,Level 1,Not Suspended,2023-10-22 11:19:17 PDT
USP ATLANTA,1934.0,Level 1,Not Suspended,2023-11-03 15:56:18 PDT
USP ATLANTA,1934.0,Level 1,Not Suspended,2023-11-10 10:34:31 PST
USP ATLANTA,1857.0,Level 1,Not Suspended,2023-11-12 09:16:29 PST
USP ATLANTA,1857.0,Level 1,Not Suspended,2023-11-13 09:23:01 PST
USP ATLANTA,1857.0,Level 1,Not Suspended,2023-11-15 09:26:01 PST
USP ATLANTA,1850.0,Level 1,Not Suspended,2023-11-21 11:06:41 PST
USP ATLANTA,1850.0,Level 1,Not Suspended,2023-11-22 09:48:27 PST
USP ATLANTA,1850.0,Level 1,Not Suspended,2023-11-26 14:42:35 PST
USP ATLANTA,1874.0,Level 1,Not Suspended,2023-11-27 12:06:05 PST
USP ATLANTA,1874.0,Level 1,Not Suspended,2023-11-28 10:17:14 PST
USP ATLANTA,1923.0,Level 1,Not Suspended,2023-11-30 10:10:06 PST
USP ATLANTA,1923.0,Level 1,Not Suspended,2023-12-01 11:19:14 PST
USP ATLANTA,1923.0,Level 1,Not Suspended,2023-12-03 10:44:11 PST
USP ATLANTA,1923.0,Level 1,Not Suspended,2023-12-04 14:41:51 PST
USP ATLANTA,1923.0,Level 1,Not Suspended,2023-12-05 07:27:14 PST
USP ATLANTA,1859.0,Level 1,Not Suspended,2023-12-07 16:46:52 PST
USP ATLANTA,1859.0,Level 1,Not Suspended,2023-12-08 20:41:54 PST
USP ATLANTA,1859.0,Level 1,Not Suspended,2023-12-11 08:43:15 PST
USP ATLANTA,1859.0,Level 1,Not Suspended,2023-12-12 16:26:08 PST
USP ATLANTA,1859.0,Level 1,Not Suspended,2023-12-13 10:43:55 PST
USP ATLANTA,1887.0,Level 1,Not Suspended,2023-12-18 06:52:11 PST
USP ATLANTA,1887.0,Level 1,Not Suspended,2023-12-20 08:57:31 PST
USP ATLANTA,1887.0,Level 1,Not Suspended,2023-12-22 08:02:52 PST
USP ATLANTA,1887.0,Level 1,Not Suspended,2023-12-27 10:06:33 PST
USP ATLANTA,1887.0,Level 1,Not Suspended,2023-12-28 11:28:58 PST
USP ATLANTA,1887.0,Level 1,Not Suspended,2023-12-29 10:37:17 PST
USP ATLANTA,1887.0,Level 1,Not Suspended,2023-12-29 11:18:54 PST
USP ATLANTA,1835.0,Level 1,Not Suspended,2024-01-02 10:16:53 PST
USP ATLANTA,1835.0,Level 1,Not Suspended,2024-01-03 09:43:11 PST
USP ATLANTA,1794.0,Level 1,Not Suspended,2024-01-04 10:08:58 PST
USP ATLANTA,1794.0,Level 1,Not Suspended,2024-01-05 10:10:13 PST
USP ATLANTA,1794.0,Level 1,Not Suspended,2024-01-07 18:03:05 PST
USP ATLANTA,1794.0,Level 1,Not Suspended,2024-01-08 10:30:53 PST
USP ATLANTA,1794.0,Level 1,Not Suspended,2024-01-09 10:10:56 PST
USP ATLANTA,1794.0,No Longer Available,Not Suspended,2024-01-11 12:09:20 PST
USP ATLANTA,1794.0,No Longer Available,Not Suspended,2024-01-13 12:43:37 PST
USP ATLANTA,1805.0,No Longer Available,Not Suspended,2024-01-16 10:11:25 PST
USP ATLANTA,1805.0,No Longer Available,Not Suspended,2024-01-17 10:09:50 PST
USP ATLANTA,1805.0,No Longer Available,Not Suspended,2024-01-18 10:13:21 PST
USP ATLANTA,1663.0,No Longer Available,Not Suspended,2024-01-19 10:23:49 PST
USP ATLANTA,1663.0,No Longer Available,Not Suspended,2024-01-22 10:05:56 PST
USP ATLANTA,1663.0,No Longer Available,Not Suspended,2024-01-23 10:07:20 PST
USP ATLANTA,1663.0,No Longer Available,Not Suspended,2024-01-24 09:01:16 PST
USP ATLANTA,1678.0,No Longer Available,Not Suspended,2024-01-25 11:30:39 PST
USP ATLANTA,1678.0,No Longer Available,Not Suspended,2024-01-26 10:11:52 PST
USP ATLANTA,1678.0,No Longer Available,Not Suspended,2024-01-27 14:36:19 PST
USP ATLANTA,1678.0,No Longer Available,Not Suspended,2024-01-28 20:19:41 PST
USP ATLANTA,1678.0,No Longer Available,Not Suspended,2024-01-29 09:42:37 PST
USP ATLANTA,1678.0,No Longer Available,Not Suspended,2024-01-30 14:08:34 PST
USP ATLANTA,1678.0,No Longer Available,Not Suspended,2024-02-01 14:01:54 PST
USP ATLANTA,1672.0,No Longer Available,Not Suspended,2024-02-02 22:55:15 PST
USP ATLANTA,1672.0,No Longer Available,Not Suspended,2024-02-03 09:18:55 PST
USP ATLANTA,1672.0,No Longer Available,Not Suspended,2024-02-03 19:24:15 PST
USP ATLANTA,1672.0,No Longer Available,Not Suspended,2024-02-04 12:32:56 PST
USP ATLANTA,1672.0,No Longer Available,Not Suspended,2024-02-05 11:15:30 PST
