title,population,operation_level,visiting_status,datetime_of_data
USP ATWATER,"1,163",No Longer Available,Not Suspended,2024-02-16 10:19:40 PST
USP ATWATER,"1,163",No Longer Available,Not Suspended,2024-02-20 10:14:36 PST
USP ATWATER,"1,163",No Longer Available,Not Suspended,2024-02-18 14:44:47 PST
USP ATWATER,"1,163",No Longer Available,Not Suspended,2024-02-19 07:51:40 PST
USP ATWATER,"1,164",No Longer Available,Not Suspended,2024-02-27 07:04:54 PST
USP ATWATER,"1,164",No Longer Available,Not Suspended,2024-02-26 18:17:14 PST
USP ATWATER,"1,169",No Longer Available,Not Suspended,2024-03-01 10:13:05 PST
USP ATWATER,"1,183",No Longer Available,Not Suspended,2024-02-13 10:32:28 PST
USP ATWATER,"1,164",No Longer Available,Not Suspended,2024-02-23 12:32:07 PST
USP ATWATER,"1,164",No Longer Available,Not Suspended,2024-02-24 11:27:35 PST
USP ATWATER,"1,183",No Longer Available,Suspended,2024-02-08 14:02:50 PST
USP ATWATER,"1,169",No Longer Available,Not Suspended,2024-03-03 21:01:22 PST
USP ATWATER,"1,162",No Longer Available,Not Suspended,2024-03-19 09:59:13 PDT
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-07 19:08:36 PST
USP ATWATER,"1,162",No Longer Available,Not Suspended,2024-03-21 10:05:39 PDT
USP ATWATER,"1,183",No Longer Available,Suspended,2024-02-09 10:09:59 PST
USP ATWATER,"1,184",No Longer Available,Not Suspended,2024-01-19 10:24:05 PST
USP ATWATER,"1,162",No Longer Available,Not Suspended,2024-03-20 10:01:50 PDT
USP ATWATER,"1,180",No Longer Available,Suspended,2024-02-01 14:02:10 PST
USP ATWATER,"1,183",No Longer Available,Not Suspended,2024-02-10 17:41:02 PST
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-02 22:55:31 PST
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-03 19:24:31 PST
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-06 14:15:53 PST
USP ATWATER,"1,184",No Longer Available,Not Suspended,2024-01-23 10:07:35 PST
USP ATWATER,"1,183",No Longer Available,Not Suspended,2024-02-12 09:18:35 PST
USP ATWATER,"1,184",No Longer Available,Not Suspended,2024-01-22 10:06:11 PST
USP ATWATER,"1,184",No Longer Available,Not Suspended,2024-01-24 09:01:32 PST
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-03 09:19:11 PST
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-05 11:15:45 PST
USP ATWATER,"1,180",No Longer Available,Not Suspended,2024-01-30 14:08:50 PST
USP ATWATER,"1,183",No Longer Available,Not Suspended,2024-02-11 10:53:06 PST
USP ATWATER,"1,180",No Longer Available,Not Suspended,2024-01-28 20:19:56 PST
USP ATWATER,"1,180",No Longer Available,Not Suspended,2024-01-26 10:12:08 PST
USP ATWATER,"1,180",No Longer Available,Not Suspended,2024-01-27 14:36:35 PST
USP ATWATER,"1,174",No Longer Available,Not Suspended,2024-01-11 12:09:36 PST
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-04 12:33:12 PST
USP ATWATER,"1,176",No Longer Available,Not Suspended,2024-01-18 10:13:37 PST
USP ATWATER,"1,180",No Longer Available,Not Suspended,2024-01-29 09:42:52 PST
USP ATWATER,"1,174",No Longer Available,Not Suspended,2024-01-13 12:43:52 PST
USP ATWATER,"1,176",No Longer Available,Not Suspended,2024-01-17 10:10:06 PST
USP ATWATER,"1,176",No Longer Available,Not Suspended,2024-01-16 10:11:41 PST
USP ATWATER,"1,180",No Longer Available,Not Suspended,2024-01-25 11:30:55 PST
USP ATWATER,"1,129",Level 1,Not Suspended,2023-10-22 11:19:32 PDT
USP ATWATER,"1,143",Level 1,Not Suspended,2023-09-28 16:05:07 PDT
USP ATWATER,"1,166",Level 1,Not Suspended,2023-09-28 06:44:32 PDT
USP ATWATER,"1,166",Level 1,Not Suspended,2023-09-27 18:19:49 PDT
USP ATWATER,"1,166",Level 1,Not Suspended,2023-09-27 15:40:21 PDT
USP ATWATER,"1,121",Level 1,Not Suspended,2023-11-03 15:56:33 PDT
USP ATWATER,"1,143",Level 1,Not Suspended,2023-10-02 14:12:22 PDT
USP ATWATER,"1,163",Level 1,Not Suspended,2023-12-13 10:44:10 PST
USP ATWATER,"1,166",Level 1,Not Suspended,2023-09-27 11:54:03 PDT
USP ATWATER,"1,166",Level 1,Not Suspended,2023-09-28 09:53:39 PDT
USP ATWATER,"1,143",Level 1,Not Suspended,2023-11-15 09:26:20 PST
USP ATWATER,"1,163",Level 1,Not Suspended,2023-12-12 16:26:24 PST
USP ATWATER,"1,166",Level 1,Not Suspended,2023-09-27 11:06:37 PDT
USP ATWATER,"1,163",Level 1,Not Suspended,2023-12-11 08:43:30 PST
USP ATWATER,"1,143",Level 1,Not Suspended,2023-11-12 09:16:45 PST
USP ATWATER,"1,159",Level 1,Not Suspended,2023-12-20 08:57:47 PST
USP ATWATER,"1,163",Level 1,Not Suspended,2023-12-08 20:42:09 PST
USP ATWATER,"1,143",Level 1,Not Suspended,2023-11-13 09:23:16 PST
USP ATWATER,"1,159",Level 1,Not Suspended,2023-12-29 11:19:10 PST
USP ATWATER,"1,159",Level 1,Not Suspended,2023-12-29 10:37:32 PST
USP ATWATER,"1,174",Level 1,Not Suspended,2024-01-08 10:31:08 PST
