title,population,operation_level,visiting_status,datetime_of_data
USP BEAUMONT,1138,Level 1,Not Suspended,2023-09-27 10:23:11 PDT
USP BEAUMONT,1138,Level 1,Not Suspended,2023-09-27 11:07:09 PDT
USP BEAUMONT,1138,Level 1,Not Suspended,2023-09-27 11:55:11 PDT
USP BEAUMONT,1138,Level 1,Not Suspended,2023-09-27 15:41:26 PDT
USP BEAUMONT,1138,Level 1,Not Suspended,2023-09-27 18:20:51 PDT
USP BEAUMONT,1138,Level 1,Not Suspended,2023-09-28 06:45:35 PDT
USP BEAUMONT,1138,Level 1,Not Suspended,2023-09-28 09:54:42 PDT
USP BEAUMONT,1132,Level 1,Not Suspended,2023-09-28 16:06:09 PDT
USP BEAUMONT,1132,Level 1,Not Suspended,2023-10-02 14:13:25 PDT
USP BEAUMONT,1104,Level 1,Not Suspended,2023-10-22 11:20:34 PDT
USP BEAUMONT,1063,Level 1,Not Suspended,2023-11-03 15:57:35 PDT
USP BEAUMONT,1063,Level 1,Not Suspended,2023-11-10 10:35:48 PST
USP BEAUMONT,1042,Level 1,Not Suspended,2023-11-12 09:17:46 PST
USP BEAUMONT,1042,Level 1,Not Suspended,2023-11-13 09:24:19 PST
USP BEAUMONT,1042,Level 1,Not Suspended,2023-11-15 09:27:23 PST
USP BEAUMONT,1036,Level 1,Not Suspended,2023-11-21 11:08:00 PST
USP BEAUMONT,1036,Level 1,Not Suspended,2023-11-22 09:49:45 PST
USP BEAUMONT,1036,Level 1,Not Suspended,2023-11-26 14:43:52 PST
USP BEAUMONT,1043,Level 1,Suspended,2023-11-27 12:07:22 PST
USP BEAUMONT,1043,Level 1,Suspended,2023-11-28 10:18:35 PST
USP BEAUMONT,1041,Level 1,Suspended,2023-11-30 10:11:23 PST
USP BEAUMONT,1041,Level 1,Suspended,2023-12-01 11:20:31 PST
USP BEAUMONT,1041,Level 1,Suspended,2023-12-03 10:45:28 PST
USP BEAUMONT,1041,Level 1,Suspended,2023-12-04 14:43:08 PST
USP BEAUMONT,1041,Level 1,Suspended,2023-12-05 07:28:33 PST
USP BEAUMONT,1045,Level 1,Suspended,2023-12-07 16:48:10 PST
USP BEAUMONT,1045,Level 1,Suspended,2023-12-08 20:43:11 PST
USP BEAUMONT,1045,Level 1,Suspended,2023-12-11 08:44:32 PST
USP BEAUMONT,1045,Level 1,Suspended,2023-12-12 16:27:25 PST
USP BEAUMONT,1045,Level 1,Suspended,2023-12-13 10:45:12 PST
USP BEAUMONT,1078,Level 1,Suspended,2023-12-18 06:53:28 PST
USP BEAUMONT,1078,Level 1,Suspended,2023-12-20 08:58:48 PST
USP BEAUMONT,1078,Level 1,Suspended,2023-12-22 08:04:10 PST
USP BEAUMONT,1078,Level 1,Suspended,2023-12-27 10:07:50 PST
USP BEAUMONT,1078,Level 1,Suspended,2023-12-28 11:30:15 PST
USP BEAUMONT,1078,Level 1,Suspended,2023-12-29 10:38:34 PST
USP BEAUMONT,1078,Level 1,Suspended,2023-12-29 11:20:11 PST
USP BEAUMONT,1085,Level 1,Not Suspended,2024-01-02 10:18:11 PST
USP BEAUMONT,1085,Level 1,Not Suspended,2024-01-03 09:44:29 PST
USP BEAUMONT,1118,Level 1,Not Suspended,2024-01-04 10:10:16 PST
USP BEAUMONT,1118,Level 1,Not Suspended,2024-01-05 10:11:32 PST
USP BEAUMONT,1118,Level 1,Not Suspended,2024-01-07 18:04:22 PST
USP BEAUMONT,1118,Level 1,Not Suspended,2024-01-08 10:32:10 PST
USP BEAUMONT,1118,Level 1,Not Suspended,2024-01-09 10:12:14 PST
USP BEAUMONT,1118,No Longer Available,Not Suspended,2024-01-11 12:10:38 PST
USP BEAUMONT,1118,No Longer Available,Not Suspended,2024-01-13 12:44:54 PST
USP BEAUMONT,1104,No Longer Available,Not Suspended,2024-01-16 10:12:43 PST
USP BEAUMONT,1104,No Longer Available,Not Suspended,2024-01-17 10:11:08 PST
USP BEAUMONT,1104,No Longer Available,Not Suspended,2024-01-18 10:14:39 PST
USP BEAUMONT,1158,No Longer Available,Not Suspended,2024-01-19 10:25:07 PST
USP BEAUMONT,1158,No Longer Available,Not Suspended,2024-01-22 10:07:13 PST
USP BEAUMONT,1158,No Longer Available,Not Suspended,2024-01-23 10:08:37 PST
USP BEAUMONT,1158,No Longer Available,Not Suspended,2024-01-24 09:02:36 PST
USP BEAUMONT,1149,No Longer Available,Not Suspended,2024-01-25 11:31:57 PST
USP BEAUMONT,1149,No Longer Available,Not Suspended,2024-01-26 10:13:10 PST
USP BEAUMONT,1149,No Longer Available,Not Suspended,2024-01-27 14:37:38 PST
USP BEAUMONT,1149,No Longer Available,Not Suspended,2024-01-28 20:20:58 PST
USP BEAUMONT,1149,No Longer Available,Not Suspended,2024-01-29 09:43:54 PST
USP BEAUMONT,1149,No Longer Available,Not Suspended,2024-01-30 14:09:53 PST
USP BEAUMONT,1149,No Longer Available,Not Suspended,2024-02-01 14:03:12 PST
USP BEAUMONT,1142,No Longer Available,Not Suspended,2024-02-02 22:56:34 PST
USP BEAUMONT,1142,No Longer Available,Not Suspended,2024-02-03 09:20:14 PST
USP BEAUMONT,1142,No Longer Available,Not Suspended,2024-02-03 19:25:34 PST
USP BEAUMONT,1142,No Longer Available,Not Suspended,2024-02-04 12:34:14 PST
USP BEAUMONT,1142,No Longer Available,Not Suspended,2024-02-05 11:16:47 PST
USP BEAUMONT,1142,No Longer Available,Not Suspended,2024-02-06 14:16:56 PST
USP BEAUMONT,1142,No Longer Available,Not Suspended,2024-02-07 19:09:38 PST
USP BEAUMONT,1123,No Longer Available,Not Suspended,2024-02-08 14:03:53 PST
USP BEAUMONT,1123,No Longer Available,Not Suspended,2024-02-09 10:11:02 PST
USP BEAUMONT,1123,No Longer Available,Not Suspended,2024-02-10 17:42:08 PST
USP BEAUMONT,1123,No Longer Available,Not Suspended,2024-02-11 10:54:09 PST
USP BEAUMONT,1123,No Longer Available,Not Suspended,2024-02-12 09:19:42 PST
USP BEAUMONT,1123,No Longer Available,Not Suspended,2024-02-13 10:33:31 PST
