title,population,operation_level,visiting_status,datetime_of_data
USP BIG SANDY,1419,Level 1,Suspended,2023-09-27 10:23:43 PDT
USP BIG SANDY,1419,Level 1,Suspended,2023-09-27 11:07:42 PDT
USP BIG SANDY,1419,Level 1,Suspended,2023-09-27 11:56:22 PDT
USP BIG SANDY,1419,Level 1,Suspended,2023-09-27 15:42:31 PDT
USP BIG SANDY,1419,Level 1,Suspended,2023-09-27 18:21:52 PDT
USP BIG SANDY,1419,Level 1,Suspended,2023-09-28 06:46:36 PDT
USP BIG SANDY,1419,Level 1,Suspended,2023-09-28 09:55:45 PDT
USP BIG SANDY,1431,Level 1,Not Suspended,2023-09-28 16:07:11 PDT
USP BIG SANDY,1431,Level 1,Not Suspended,2023-10-02 14:14:27 PDT
USP BIG SANDY,1444,Level 1,Not Suspended,2023-10-22 11:21:35 PDT
USP BIG SANDY,1417,Level 1,Not Suspended,2023-11-03 15:58:38 PDT
USP BIG SANDY,1417,Level 1,Suspended,2023-11-10 10:36:50 PST
USP BIG SANDY,1421,Level 1,Suspended,2023-11-12 09:18:48 PST
USP BIG SANDY,1421,Level 1,Suspended,2023-11-13 09:25:21 PST
USP BIG SANDY,1421,Level 1,Suspended,2023-11-15 09:28:25 PST
USP BIG SANDY,1386,Level 1,Not Suspended,2023-11-21 11:09:02 PST
USP BIG SANDY,1386,Level 1,Not Suspended,2023-11-22 09:50:46 PST
USP BIG SANDY,1386,Level 1,Not Suspended,2023-11-26 14:44:54 PST
USP BIG SANDY,1421,Level 1,Not Suspended,2023-11-27 12:08:24 PST
USP BIG SANDY,1421,Level 1,Not Suspended,2023-11-28 10:19:37 PST
USP BIG SANDY,1385,Level 1,Not Suspended,2023-11-30 10:12:25 PST
USP BIG SANDY,1385,Level 1,Not Suspended,2023-12-01 11:21:33 PST
USP BIG SANDY,1385,Level 1,Not Suspended,2023-12-03 10:46:30 PST
USP BIG SANDY,1385,Level 1,Not Suspended,2023-12-04 14:44:10 PST
USP BIG SANDY,1385,Level 1,Not Suspended,2023-12-05 07:29:35 PST
USP BIG SANDY,1410,Level 1,Not Suspended,2023-12-07 16:49:12 PST
USP BIG SANDY,1410,Level 1,Not Suspended,2023-12-08 20:44:12 PST
USP BIG SANDY,1410,Level 1,Not Suspended,2023-12-11 08:45:33 PST
USP BIG SANDY,1410,Level 1,Not Suspended,2023-12-12 16:28:27 PST
USP BIG SANDY,1410,Level 1,Not Suspended,2023-12-13 10:46:13 PST
USP BIG SANDY,1373,Level 1,Not Suspended,2023-12-18 06:54:30 PST
USP BIG SANDY,1373,Level 1,Not Suspended,2023-12-20 08:59:50 PST
USP BIG SANDY,1373,Level 1,Not Suspended,2023-12-22 08:05:11 PST
USP BIG SANDY,1373,Level 1,Not Suspended,2023-12-27 10:08:52 PST
USP BIG SANDY,1373,Level 1,Not Suspended,2023-12-28 11:31:17 PST
USP BIG SANDY,1373,Level 1,Not Suspended,2023-12-29 10:39:36 PST
USP BIG SANDY,1373,Level 1,Not Suspended,2023-12-29 11:21:13 PST
USP BIG SANDY,1364,Level 1,Not Suspended,2024-01-02 10:19:12 PST
USP BIG SANDY,1364,Level 1,Not Suspended,2024-01-03 09:45:32 PST
USP BIG SANDY,1398,Level 1,Not Suspended,2024-01-04 10:11:17 PST
USP BIG SANDY,1398,Level 1,Not Suspended,2024-01-05 10:12:35 PST
USP BIG SANDY,1398,Level 1,Not Suspended,2024-01-07 18:05:24 PST
USP BIG SANDY,1398,Level 1,Not Suspended,2024-01-08 10:33:11 PST
USP BIG SANDY,1398,Level 1,Not Suspended,2024-01-09 10:13:16 PST
USP BIG SANDY,1398,No Longer Available,Not Suspended,2024-01-11 12:11:42 PST
USP BIG SANDY,1398,No Longer Available,Suspended,2024-01-13 12:45:56 PST
USP BIG SANDY,1367,No Longer Available,Suspended,2024-01-16 10:13:46 PST
USP BIG SANDY,1367,No Longer Available,Suspended,2024-01-17 10:12:09 PST
USP BIG SANDY,1367,No Longer Available,Suspended,2024-01-18 10:15:40 PST
USP BIG SANDY,1402,No Longer Available,Not Suspended,2024-01-19 10:26:08 PST
USP BIG SANDY,1402,No Longer Available,Not Suspended,2024-01-22 10:08:15 PST
USP BIG SANDY,1402,No Longer Available,Not Suspended,2024-01-23 10:09:40 PST
USP BIG SANDY,1402,No Longer Available,Not Suspended,2024-01-24 09:03:38 PST
USP BIG SANDY,1377,No Longer Available,Not Suspended,2024-01-25 11:32:59 PST
USP BIG SANDY,1377,No Longer Available,Not Suspended,2024-01-26 10:14:12 PST
USP BIG SANDY,1377,No Longer Available,Not Suspended,2024-01-27 14:38:41 PST
USP BIG SANDY,1377,No Longer Available,Not Suspended,2024-01-28 20:22:00 PST
USP BIG SANDY,1377,No Longer Available,Not Suspended,2024-01-29 09:44:56 PST
USP BIG SANDY,1377,No Longer Available,Not Suspended,2024-01-30 14:10:56 PST
USP BIG SANDY,1377,No Longer Available,Not Suspended,2024-02-01 14:04:14 PST
USP BIG SANDY,1407,No Longer Available,Not Suspended,2024-02-02 22:57:36 PST
USP BIG SANDY,1407,No Longer Available,Not Suspended,2024-02-03 09:21:16 PST
USP BIG SANDY,1407,No Longer Available,Not Suspended,2024-02-03 19:26:37 PST
USP BIG SANDY,1407,No Longer Available,Not Suspended,2024-02-04 12:35:17 PST
USP BIG SANDY,1407,No Longer Available,Not Suspended,2024-02-05 11:17:49 PST
USP BIG SANDY,1407,No Longer Available,Not Suspended,2024-02-06 14:17:59 PST
USP BIG SANDY,1407,No Longer Available,Not Suspended,2024-02-07 19:10:41 PST
USP BIG SANDY,1367,No Longer Available,Not Suspended,2024-02-08 14:04:55 PST
USP BIG SANDY,1367,No Longer Available,Not Suspended,2024-02-09 10:12:05 PST
USP BIG SANDY,1367,No Longer Available,Not Suspended,2024-02-10 17:43:11 PST
USP BIG SANDY,1367,No Longer Available,Not Suspended,2024-02-11 10:55:12 PST
USP BIG SANDY,1367,No Longer Available,Not Suspended,2024-02-12 09:20:45 PST
USP BIG SANDY,1367,No Longer Available,Not Suspended,2024-02-13 10:34:34 PST
