title,population,operation_level,visiting_status,datetime_of_data
USP CANAAN,1259,Level 1,Not Suspended,2023-09-27 10:24:47 PDT
USP CANAAN,1259,Level 1,Not Suspended,2023-09-27 11:08:47 PDT
USP CANAAN,1259,Level 1,Not Suspended,2023-09-27 11:58:31 PDT
USP CANAAN,1259,Level 1,Not Suspended,2023-09-27 15:44:41 PDT
USP CANAAN,1259,Level 1,Not Suspended,2023-09-27 18:23:56 PDT
USP CANAAN,1259,Level 1,Not Suspended,2023-09-28 06:48:41 PDT
USP CANAAN,1259,Level 1,Suspended,2023-09-28 09:57:50 PDT
USP CANAAN,1249,Level 1,Suspended,2023-09-28 16:09:15 PDT
USP CANAAN,1249,Level 1,Suspended,2023-10-02 14:16:31 PDT
USP CANAAN,1245,Level 1,Not Suspended,2023-10-22 11:23:39 PDT
USP CANAAN,1280,Level 1,Not Suspended,2023-11-03 16:00:42 PDT
USP CANAAN,1280,Level 1,Not Suspended,2023-11-10 10:38:54 PST
USP CANAAN,1276,Level 1,Not Suspended,2023-11-12 09:20:51 PST
USP CANAAN,1276,Level 1,Not Suspended,2023-11-13 09:27:27 PST
USP CANAAN,1276,Level 1,Not Suspended,2023-11-15 09:30:29 PST
USP CANAAN,1283,Level 1,Suspended,2023-11-21 11:11:08 PST
USP CANAAN,1283,Level 1,Suspended,2023-11-22 09:52:50 PST
USP CANAAN,1283,Level 1,Suspended,2023-11-26 14:46:58 PST
USP CANAAN,1271,Level 1,Suspended,2023-11-27 12:10:28 PST
USP CANAAN,1271,Level 1,Suspended,2023-11-28 10:21:41 PST
USP CANAAN,1269,Level 1,Suspended,2023-11-30 10:14:30 PST
USP CANAAN,1269,Level 1,Suspended,2023-12-01 11:23:38 PST
USP CANAAN,1269,Level 1,Suspended,2023-12-03 10:48:34 PST
USP CANAAN,1269,Level 1,Suspended,2023-12-04 14:46:15 PST
USP CANAAN,1269,Level 1,Suspended,2023-12-05 07:31:41 PST
USP CANAAN,1282,Level 1,Suspended,2023-12-07 16:51:19 PST
USP CANAAN,1282,Level 1,Suspended,2023-12-08 20:46:16 PST
USP CANAAN,1282,Level 1,Suspended,2023-12-11 08:47:36 PST
USP CANAAN,1282,Level 1,Suspended,2023-12-12 16:30:31 PST
USP CANAAN,1282,Level 1,Suspended,2023-12-13 10:48:16 PST
USP CANAAN,1279,Level 1,Suspended,2023-12-18 06:56:33 PST
USP CANAAN,1279,Level 1,Suspended,2023-12-20 09:01:53 PST
USP CANAAN,1279,Level 1,Suspended,2023-12-22 08:07:16 PST
USP CANAAN,1279,Level 1,Suspended,2023-12-27 10:10:55 PST
USP CANAAN,1279,Level 1,Suspended,2023-12-28 11:33:20 PST
USP CANAAN,1279,Level 1,Suspended,2023-12-29 10:41:40 PST
USP CANAAN,1279,Level 1,Suspended,2023-12-29 11:23:17 PST
USP CANAAN,1249,Level 1,Suspended,2024-01-02 10:21:16 PST
USP CANAAN,1249,Level 1,Suspended,2024-01-03 09:47:38 PST
USP CANAAN,1259,Level 1,Suspended,2024-01-04 10:13:21 PST
USP CANAAN,1259,Level 1,Suspended,2024-01-05 10:14:40 PST
USP CANAAN,1259,Level 1,Suspended,2024-01-07 18:07:27 PST
USP CANAAN,1259,Level 1,Suspended,2024-01-08 10:35:14 PST
USP CANAAN,1259,Level 1,Suspended,2024-01-09 10:15:22 PST
USP CANAAN,1259,No Longer Available,Suspended,2024-01-11 12:13:48 PST
USP CANAAN,1259,No Longer Available,Suspended,2024-01-13 12:47:59 PST
USP CANAAN,1268,No Longer Available,Suspended,2024-01-16 10:15:52 PST
USP CANAAN,1268,No Longer Available,Suspended,2024-01-17 10:14:14 PST
USP CANAAN,1268,No Longer Available,Suspended,2024-01-18 10:17:45 PST
USP CANAAN,1284,No Longer Available,Suspended,2024-01-19 10:28:12 PST
USP CANAAN,1284,No Longer Available,Suspended,2024-01-22 10:10:20 PST
USP CANAAN,1284,No Longer Available,Suspended,2024-01-23 10:11:46 PST
USP CANAAN,1284,No Longer Available,Suspended,2024-01-24 09:05:41 PST
USP CANAAN,1282,No Longer Available,Suspended,2024-01-25 11:35:02 PST
USP CANAAN,1282,No Longer Available,Suspended,2024-01-26 10:16:17 PST
USP CANAAN,1282,No Longer Available,Suspended,2024-01-27 14:40:47 PST
USP CANAAN,1282,No Longer Available,Suspended,2024-01-28 20:24:04 PST
USP CANAAN,1282,No Longer Available,Suspended,2024-01-29 09:47:00 PST
USP CANAAN,1282,No Longer Available,Suspended,2024-01-30 14:13:01 PST
USP CANAAN,1282,No Longer Available,Suspended,2024-02-01 14:06:19 PST
USP CANAAN,1278,No Longer Available,Suspended,2024-02-02 22:59:41 PST
USP CANAAN,1278,No Longer Available,Suspended,2024-02-03 09:23:21 PST
USP CANAAN,1278,No Longer Available,Suspended,2024-02-03 19:28:43 PST
USP CANAAN,1278,No Longer Available,Suspended,2024-02-04 12:37:22 PST
USP CANAAN,1278,No Longer Available,Suspended,2024-02-05 11:19:54 PST
USP CANAAN,1278,No Longer Available,Suspended,2024-02-06 14:20:05 PST
USP CANAAN,1278,No Longer Available,Suspended,2024-02-07 19:12:46 PST
USP CANAAN,1265,No Longer Available,Suspended,2024-02-08 14:07:00 PST
USP CANAAN,1265,No Longer Available,Suspended,2024-02-09 10:14:10 PST
USP CANAAN,1265,No Longer Available,Suspended,2024-02-10 17:45:17 PST
USP CANAAN,1265,No Longer Available,Suspended,2024-02-11 10:57:17 PST
USP CANAAN,1265,No Longer Available,Suspended,2024-02-12 09:22:57 PST
USP CANAAN,1265,No Longer Available,Suspended,2024-02-13 10:36:40 PST
USP CANAAN,1264,No Longer Available,Not Suspended,2024-02-16 10:23:52 PST
USP CANAAN,1264,No Longer Available,Suspended,2024-02-18 14:48:58 PST
USP CANAAN,1264,No Longer Available,Suspended,2024-02-19 07:55:52 PST
USP CANAAN,1264,No Longer Available,Suspended,2024-02-20 10:18:47 PST
USP CANAAN,1271,No Longer Available,Suspended,2024-02-23 12:36:16 PST
USP CANAAN,1271,No Longer Available,Suspended,2024-02-24 11:31:45 PST
USP CANAAN,1271,No Longer Available,Suspended,2024-02-26 18:21:22 PST
USP CANAAN,1271,No Longer Available,Suspended,2024-02-27 07:09:06 PST
USP CANAAN,1269,No Longer Available,Suspended,2024-03-01 10:17:15 PST
USP CANAAN,1269,No Longer Available,Suspended,2024-03-03 21:05:33 PST
USP CANAAN,1254,No Longer Available,Not Suspended,2024-03-19 10:03:26 PDT
USP CANAAN,1254,No Longer Available,Not Suspended,2024-03-20 10:06:01 PDT
USP CANAAN,1254,No Longer Available,Not Suspended,2024-03-21 10:09:51 PDT
