title,population,operation_level,visiting_status,datetime_of_data
USP COLEMAN I,1445,Level 1,Not Suspended,2023-09-27 10:25:35 PDT
USP COLEMAN I,1445,Level 1,Not Suspended,2023-09-27 11:09:37 PDT
USP COLEMAN I,1445,Level 1,Not Suspended,2023-09-27 12:00:09 PDT
USP COLEMAN I,1445,Level 1,Not Suspended,2023-09-27 15:46:18 PDT
USP COLEMAN I,1445,Level 1,Not Suspended,2023-09-27 18:25:28 PDT
USP COLEMAN I,1445,Level 1,Not Suspended,2023-09-28 06:50:14 PDT
USP COLEMAN I,1445,Level 1,Not Suspended,2023-09-28 09:59:25 PDT
USP COLEMAN I,1463,Level 1,Not Suspended,2023-09-28 16:10:48 PDT
USP COLEMAN I,1463,Level 1,Not Suspended,2023-10-02 14:18:04 PDT
USP COLEMAN I,1439,Level 1,Not Suspended,2023-10-22 11:25:12 PDT
USP COLEMAN I,1434,Level 1,Not Suspended,2023-11-03 16:02:15 PDT
USP COLEMAN I,1434,Level 1,Not Suspended,2023-11-10 10:40:28 PST
USP COLEMAN I,1419,Level 1,Not Suspended,2023-11-12 09:22:23 PST
USP COLEMAN I,1419,Level 1,Not Suspended,2023-11-13 09:29:01 PST
USP COLEMAN I,1419,Level 1,Not Suspended,2023-11-15 09:32:01 PST
USP COLEMAN I,1406,Level 1,Suspended,2023-11-21 11:12:41 PST
USP COLEMAN I,1406,Level 1,Suspended,2023-11-22 09:54:23 PST
USP COLEMAN I,1406,Level 1,Suspended,2023-11-26 14:48:31 PST
USP COLEMAN I,1398,Level 1,Suspended,2023-11-27 12:12:00 PST
USP COLEMAN I,1398,Level 1,Suspended,2023-11-28 10:23:13 PST
USP COLEMAN I,1405,Level 1,Suspended,2023-11-30 10:16:03 PST
USP COLEMAN I,1405,Level 1,Not Suspended,2023-12-01 11:25:17 PST
USP COLEMAN I,1405,Level 1,Not Suspended,2023-12-03 10:50:07 PST
USP COLEMAN I,1405,Level 1,Not Suspended,2023-12-04 14:47:48 PST
USP COLEMAN I,1405,Level 1,Not Suspended,2023-12-05 07:33:15 PST
USP COLEMAN I,1399,Level 1,Not Suspended,2023-12-07 16:52:54 PST
USP COLEMAN I,1399,Level 1,Not Suspended,2023-12-08 20:47:48 PST
USP COLEMAN I,1399,Level 1,Not Suspended,2023-12-11 08:49:12 PST
USP COLEMAN I,1399,Level 1,Not Suspended,2023-12-12 16:32:04 PST
USP COLEMAN I,1399,Level 1,Not Suspended,2023-12-13 10:49:49 PST
USP COLEMAN I,1392,Level 1,Not Suspended,2023-12-18 06:58:06 PST
USP COLEMAN I,1392,Level 1,Not Suspended,2023-12-20 09:03:25 PST
USP COLEMAN I,1392,Level 1,Not Suspended,2023-12-22 08:08:49 PST
USP COLEMAN I,1392,Level 1,Not Suspended,2023-12-27 10:12:27 PST
USP COLEMAN I,1392,Level 1,Not Suspended,2023-12-28 11:34:51 PST
USP COLEMAN I,1392,Level 1,Not Suspended,2023-12-29 10:43:13 PST
USP COLEMAN I,1392,Level 1,Not Suspended,2023-12-29 11:24:49 PST
USP COLEMAN I,1408,Level 1,Not Suspended,2024-01-02 10:22:49 PST
USP COLEMAN I,1408,Level 1,Not Suspended,2024-01-03 09:49:11 PST
USP COLEMAN I,1407,Level 1,Not Suspended,2024-01-04 10:14:53 PST
USP COLEMAN I,1407,Level 1,Not Suspended,2024-01-05 10:16:14 PST
USP COLEMAN I,1407,Level 1,Not Suspended,2024-01-07 18:09:00 PST
USP COLEMAN I,1407,Level 1,Not Suspended,2024-01-08 10:36:47 PST
USP COLEMAN I,1407,Level 1,Not Suspended,2024-01-09 10:16:55 PST
USP COLEMAN I,1407,No Longer Available,Not Suspended,2024-01-11 12:15:21 PST
USP COLEMAN I,1407,No Longer Available,Not Suspended,2024-01-13 12:49:31 PST
USP COLEMAN I,1405,No Longer Available,Not Suspended,2024-01-16 10:17:25 PST
USP COLEMAN I,1405,No Longer Available,Not Suspended,2024-01-17 10:15:47 PST
USP COLEMAN I,1405,No Longer Available,Not Suspended,2024-01-18 10:19:20 PST
USP COLEMAN I,1394,No Longer Available,Not Suspended,2024-01-19 10:29:46 PST
USP COLEMAN I,1394,No Longer Available,Not Suspended,2024-01-22 10:11:52 PST
USP COLEMAN I,1394,No Longer Available,Not Suspended,2024-01-23 10:13:20 PST
USP COLEMAN I,1394,No Longer Available,Not Suspended,2024-01-24 09:07:14 PST
USP COLEMAN I,1419,No Longer Available,Not Suspended,2024-01-25 11:36:35 PST
USP COLEMAN I,1419,No Longer Available,Not Suspended,2024-01-26 10:17:50 PST
USP COLEMAN I,1419,No Longer Available,Not Suspended,2024-01-27 14:42:21 PST
USP COLEMAN I,1419,No Longer Available,Not Suspended,2024-01-28 20:25:36 PST
USP COLEMAN I,1419,No Longer Available,Not Suspended,2024-01-29 09:48:33 PST
USP COLEMAN I,1419,No Longer Available,Not Suspended,2024-01-30 14:14:35 PST
USP COLEMAN I,1419,No Longer Available,Not Suspended,2024-02-01 14:07:52 PST
USP COLEMAN I,1412,No Longer Available,Not Suspended,2024-02-02 23:01:14 PST
USP COLEMAN I,1412,No Longer Available,Not Suspended,2024-02-03 09:24:55 PST
USP COLEMAN I,1412,No Longer Available,Not Suspended,2024-02-03 19:30:17 PST
USP COLEMAN I,1412,No Longer Available,Not Suspended,2024-02-04 12:38:55 PST
USP COLEMAN I,1412,No Longer Available,Not Suspended,2024-02-05 11:21:27 PST
USP COLEMAN I,1412,No Longer Available,Not Suspended,2024-02-06 14:21:38 PST
USP COLEMAN I,1412,No Longer Available,Not Suspended,2024-02-07 19:14:19 PST
USP COLEMAN I,1402,No Longer Available,Not Suspended,2024-02-08 14:08:34 PST
USP COLEMAN I,1402,No Longer Available,Not Suspended,2024-02-09 10:15:44 PST
USP COLEMAN I,1402,No Longer Available,Not Suspended,2024-02-10 17:46:52 PST
USP COLEMAN I,1402,No Longer Available,Not Suspended,2024-02-11 10:58:50 PST
USP COLEMAN I,1402,No Longer Available,Not Suspended,2024-02-12 09:24:32 PST
USP COLEMAN I,1402,No Longer Available,Not Suspended,2024-02-13 10:38:13 PST
USP COLEMAN I,1413,No Longer Available,Not Suspended,2024-02-16 10:25:27 PST
USP COLEMAN I,1413,No Longer Available,Not Suspended,2024-02-18 14:50:33 PST
USP COLEMAN I,1413,No Longer Available,Not Suspended,2024-02-19 07:57:27 PST
USP COLEMAN I,1413,No Longer Available,Not Suspended,2024-02-20 10:20:21 PST
USP COLEMAN I,1399,No Longer Available,Not Suspended,2024-02-23 12:37:49 PST
USP COLEMAN I,1399,No Longer Available,Not Suspended,2024-02-24 11:33:18 PST
