title,population,operation_level,visiting_status,datetime_of_data
USP FLORENCE ADMAX,322,No Longer Available,Not Suspended,2024-02-16 10:28:50 PST
USP FLORENCE ADMAX,322,No Longer Available,Not Suspended,2024-02-20 10:23:46 PST
USP FLORENCE ADMAX,322,No Longer Available,Not Suspended,2024-02-18 14:53:58 PST
USP FLORENCE ADMAX,322,No Longer Available,Not Suspended,2024-02-19 08:00:51 PST
USP FLORENCE ADMAX,325,No Longer Available,Not Suspended,2024-02-27 07:14:05 PST
USP FLORENCE ADMAX,325,No Longer Available,Not Suspended,2024-02-26 18:26:18 PST
USP FLORENCE ADMAX,324,No Longer Available,Not Suspended,2024-03-01 10:22:10 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-02-13 10:41:37 PST
USP FLORENCE ADMAX,325,No Longer Available,Not Suspended,2024-02-23 12:41:13 PST
USP FLORENCE ADMAX,325,No Longer Available,Not Suspended,2024-02-24 11:36:45 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-02-08 14:11:58 PST
USP FLORENCE ADMAX,324,No Longer Available,Not Suspended,2024-03-03 21:10:31 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-03-19 10:08:26 PDT
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-07 19:17:40 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-03-21 10:14:57 PDT
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-02-09 10:19:06 PST
USP FLORENCE ADMAX,335,No Longer Available,Not Suspended,2024-01-19 10:33:08 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-03-20 10:10:59 PDT
USP FLORENCE ADMAX,329,No Longer Available,Not Suspended,2024-02-01 14:11:13 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-02-10 17:50:16 PST
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-02 23:04:37 PST
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-03 19:33:43 PST
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-06 14:25:03 PST
USP FLORENCE ADMAX,335,No Longer Available,Not Suspended,2024-01-23 10:16:43 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-02-12 09:28:03 PST
USP FLORENCE ADMAX,335,No Longer Available,Not Suspended,2024-01-22 10:15:13 PST
USP FLORENCE ADMAX,335,No Longer Available,Not Suspended,2024-01-24 09:10:35 PST
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-03 09:28:18 PST
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-05 11:24:49 PST
USP FLORENCE ADMAX,329,No Longer Available,Not Suspended,2024-01-30 14:18:00 PST
USP FLORENCE ADMAX,327,No Longer Available,Not Suspended,2024-02-11 11:02:12 PST
USP FLORENCE ADMAX,329,No Longer Available,Not Suspended,2024-01-28 20:28:58 PST
USP FLORENCE ADMAX,329,No Longer Available,Not Suspended,2024-01-26 10:21:12 PST
USP FLORENCE ADMAX,329,No Longer Available,Not Suspended,2024-01-27 14:45:45 PST
USP FLORENCE ADMAX,334,No Longer Available,Not Suspended,2024-01-11 12:18:44 PST
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-04 12:42:17 PST
USP FLORENCE ADMAX,337,No Longer Available,Not Suspended,2024-01-18 10:22:45 PST
USP FLORENCE ADMAX,329,No Longer Available,Not Suspended,2024-01-29 09:51:54 PST
USP FLORENCE ADMAX,334,No Longer Available,Not Suspended,2024-01-13 12:52:58 PST
USP FLORENCE ADMAX,337,No Longer Available,Not Suspended,2024-01-17 10:19:09 PST
USP FLORENCE ADMAX,337,No Longer Available,Not Suspended,2024-01-16 10:20:50 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-10-22 11:28:33 PDT
USP FLORENCE ADMAX,331,Level 1,Not Suspended,2023-09-28 16:14:10 PDT
USP FLORENCE ADMAX,326,Level 1,Not Suspended,2023-09-28 06:53:36 PDT
USP FLORENCE ADMAX,326,Level 1,Not Suspended,2023-09-27 18:28:48 PDT
USP FLORENCE ADMAX,326,Level 1,Not Suspended,2023-09-27 15:49:50 PDT
USP FLORENCE ADMAX,335,Level 1,Not Suspended,2023-11-03 16:05:37 PDT
USP FLORENCE ADMAX,331,Level 1,Not Suspended,2023-10-02 14:21:27 PDT
USP FLORENCE ADMAX,333,Level 1,Not Suspended,2023-12-13 10:53:09 PST
USP FLORENCE ADMAX,326,Level 1,Not Suspended,2023-09-27 12:03:41 PDT
USP FLORENCE ADMAX,326,Level 1,Not Suspended,2023-09-28 10:02:49 PDT
USP FLORENCE ADMAX,331,Level 1,Not Suspended,2023-11-15 09:35:21 PST
USP FLORENCE ADMAX,333,Level 1,Not Suspended,2023-12-12 16:35:25 PST
USP FLORENCE ADMAX,326,Level 1,Not Suspended,2023-09-27 11:11:23 PDT
USP FLORENCE ADMAX,333,Level 1,Not Suspended,2023-12-11 08:52:32 PST
USP FLORENCE ADMAX,331,Level 1,Not Suspended,2023-11-12 09:25:45 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-12-20 09:06:46 PST
USP FLORENCE ADMAX,333,Level 1,Not Suspended,2023-12-08 20:51:09 PST
USP FLORENCE ADMAX,331,Level 1,Not Suspended,2023-11-13 09:32:25 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-12-29 11:28:09 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-12-29 10:46:34 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2024-01-08 10:40:08 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2024-01-09 10:20:17 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-11-21 11:16:04 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-12-22 08:12:12 PST
USP FLORENCE ADMAX,333,Level 1,Not Suspended,2023-12-07 16:56:28 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-12-28 11:38:12 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2024-01-02 10:26:14 PST
USP FLORENCE ADMAX,335,Level 1,Not Suspended,2023-11-10 10:43:50 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-12-18 07:01:28 PST
USP FLORENCE ADMAX,331,Level 1,Not Suspended,2023-11-27 12:15:21 PST
USP FLORENCE ADMAX,331,Level 1,Not Suspended,2023-11-28 10:26:35 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-11-22 09:57:44 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2023-12-27 10:15:48 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2024-01-05 10:19:36 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2024-01-04 10:18:15 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-11-26 14:51:52 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2024-01-03 09:52:32 PST
USP FLORENCE ADMAX,334,Level 1,Not Suspended,2024-01-07 18:12:20 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-12-01 11:28:48 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-11-30 10:19:24 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-12-04 14:51:11 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-12-05 07:36:40 PST
USP FLORENCE ADMAX,332,Level 1,Not Suspended,2023-12-03 10:53:31 PST
USP FLORENCE ADMAX,326,Level 1,Not Suspended,2023-09-27 10:27:21 PDT
