title,population,operation_level,visiting_status,datetime_of_data
USP FLORENCE - HIGH,892,No Longer Available,Suspended,2024-02-16 10:29:06 PST
USP FLORENCE - HIGH,892,No Longer Available,Suspended,2024-02-20 10:24:02 PST
USP FLORENCE - HIGH,892,No Longer Available,Suspended,2024-02-18 14:54:14 PST
USP FLORENCE - HIGH,892,No Longer Available,Suspended,2024-02-19 08:01:07 PST
USP FLORENCE - HIGH,887,No Longer Available,Not Suspended,2024-02-27 07:14:21 PST
USP FLORENCE - HIGH,887,No Longer Available,Not Suspended,2024-02-26 18:26:34 PST
USP FLORENCE - HIGH,900,No Longer Available,Not Suspended,2024-03-01 10:22:25 PST
USP FLORENCE - HIGH,884,No Longer Available,Suspended,2024-02-13 10:41:53 PST
USP FLORENCE - HIGH,887,No Longer Available,Suspended,2024-02-23 12:41:29 PST
USP FLORENCE - HIGH,887,No Longer Available,Suspended,2024-02-24 11:37:01 PST
USP FLORENCE - HIGH,884,No Longer Available,Suspended,2024-02-08 14:12:14 PST
USP FLORENCE - HIGH,900,No Longer Available,Not Suspended,2024-03-03 21:10:47 PST
USP FLORENCE - HIGH,861,No Longer Available,Not Suspended,2024-03-19 10:08:42 PDT
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-07 19:17:56 PST
USP FLORENCE - HIGH,861,No Longer Available,Not Suspended,2024-03-21 10:15:13 PDT
USP FLORENCE - HIGH,884,No Longer Available,Suspended,2024-02-09 10:19:21 PST
USP FLORENCE - HIGH,912,No Longer Available,Suspended,2024-01-19 10:33:25 PST
USP FLORENCE - HIGH,861,No Longer Available,Not Suspended,2024-03-20 10:11:15 PDT
USP FLORENCE - HIGH,930,No Longer Available,Suspended,2024-02-01 14:11:29 PST
USP FLORENCE - HIGH,884,No Longer Available,Suspended,2024-02-10 17:50:32 PST
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-02 23:04:53 PST
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-03 19:33:59 PST
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-06 14:25:18 PST
USP FLORENCE - HIGH,912,No Longer Available,Suspended,2024-01-23 10:16:59 PST
USP FLORENCE - HIGH,884,No Longer Available,Suspended,2024-02-12 09:28:21 PST
USP FLORENCE - HIGH,912,No Longer Available,Suspended,2024-01-22 10:15:28 PST
USP FLORENCE - HIGH,912,No Longer Available,Suspended,2024-01-24 09:10:50 PST
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-03 09:28:34 PST
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-05 11:25:04 PST
USP FLORENCE - HIGH,930,No Longer Available,Suspended,2024-01-30 14:18:16 PST
USP FLORENCE - HIGH,884,No Longer Available,Suspended,2024-02-11 11:02:28 PST
USP FLORENCE - HIGH,930,No Longer Available,Suspended,2024-01-28 20:29:13 PST
USP FLORENCE - HIGH,930,No Longer Available,Suspended,2024-01-26 10:21:27 PST
USP FLORENCE - HIGH,930,No Longer Available,Suspended,2024-01-27 14:46:01 PST
USP FLORENCE - HIGH,923,No Longer Available,Suspended,2024-01-11 12:19:00 PST
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-04 12:42:33 PST
USP FLORENCE - HIGH,917,No Longer Available,Suspended,2024-01-18 10:23:01 PST
USP FLORENCE - HIGH,930,No Longer Available,Suspended,2024-01-29 09:52:10 PST
USP FLORENCE - HIGH,923,No Longer Available,Suspended,2024-01-13 12:53:14 PST
USP FLORENCE - HIGH,917,No Longer Available,Suspended,2024-01-17 10:19:24 PST
USP FLORENCE - HIGH,917,No Longer Available,Suspended,2024-01-16 10:21:06 PST
USP FLORENCE - HIGH,930,No Longer Available,Suspended,2024-01-25 11:40:14 PST
USP FLORENCE - HIGH,966,Level 1,Not Suspended,2023-10-22 11:28:48 PDT
USP FLORENCE - HIGH,979,Level 1,Not Suspended,2023-09-28 16:14:26 PDT
USP FLORENCE - HIGH,957,Level 1,Not Suspended,2023-09-28 06:53:52 PDT
USP FLORENCE - HIGH,957,Level 1,Not Suspended,2023-09-27 18:29:04 PDT
USP FLORENCE - HIGH,957,Level 1,Not Suspended,2023-09-27 15:50:06 PDT
USP FLORENCE - HIGH,959,Level 1,Not Suspended,2023-11-03 16:05:53 PDT
USP FLORENCE - HIGH,979,Level 1,Not Suspended,2023-10-02 14:21:43 PDT
USP FLORENCE - HIGH,970,Level 1,Not Suspended,2023-12-13 10:53:24 PST
USP FLORENCE - HIGH,957,Level 1,Not Suspended,2023-09-27 12:03:57 PDT
USP FLORENCE - HIGH,957,Level 1,Not Suspended,2023-09-28 10:03:04 PDT
USP FLORENCE - HIGH,962,Level 1,Suspended,2023-11-15 09:35:36 PST
USP FLORENCE - HIGH,970,Level 1,Not Suspended,2023-12-12 16:35:40 PST
USP FLORENCE - HIGH,957,Level 1,Not Suspended,2023-09-27 11:11:31 PDT
USP FLORENCE - HIGH,970,Level 1,Not Suspended,2023-12-11 08:52:47 PST
USP FLORENCE - HIGH,962,Level 1,Suspended,2023-11-12 09:26:00 PST
USP FLORENCE - HIGH,962,Level 1,Not Suspended,2023-12-20 09:07:01 PST
USP FLORENCE - HIGH,970,Level 1,Not Suspended,2023-12-08 20:51:24 PST
USP FLORENCE - HIGH,962,Level 1,Suspended,2023-11-13 09:32:40 PST
USP FLORENCE - HIGH,962,Level 1,Suspended,2023-12-29 11:28:25 PST
USP FLORENCE - HIGH,962,Level 1,Suspended,2023-12-29 10:46:50 PST
USP FLORENCE - HIGH,923,Level 1,Suspended,2024-01-08 10:40:23 PST
USP FLORENCE - HIGH,923,Level 1,Suspended,2024-01-09 10:20:33 PST
USP FLORENCE - HIGH,954,Level 1,Suspended,2023-11-21 11:16:20 PST
USP FLORENCE - HIGH,962,Level 1,Not Suspended,2023-12-22 08:12:28 PST
USP FLORENCE - HIGH,970,Level 1,Not Suspended,2023-12-07 16:56:45 PST
USP FLORENCE - HIGH,962,Level 1,Suspended,2023-12-28 11:38:27 PST
USP FLORENCE - HIGH,956,Level 1,Suspended,2024-01-02 10:26:30 PST
USP FLORENCE - HIGH,959,Level 1,Suspended,2023-11-10 10:44:05 PST
USP FLORENCE - HIGH,962,Level 1,Not Suspended,2023-12-18 07:01:43 PST
USP FLORENCE - HIGH,960,Level 1,Suspended,2023-11-27 12:15:37 PST
USP FLORENCE - HIGH,960,Level 1,Suspended,2023-11-28 10:26:51 PST
USP FLORENCE - HIGH,954,Level 1,Suspended,2023-11-22 09:58:00 PST
USP FLORENCE - HIGH,962,Level 1,Suspended,2023-12-27 10:16:03 PST
USP FLORENCE - HIGH,923,Level 1,Suspended,2024-01-05 10:19:52 PST
USP FLORENCE - HIGH,923,Level 1,Suspended,2024-01-04 10:18:31 PST
USP FLORENCE - HIGH,954,Level 1,Suspended,2023-11-26 14:52:08 PST
USP FLORENCE - HIGH,956,Level 1,Suspended,2024-01-03 09:52:48 PST
USP FLORENCE - HIGH,923,Level 1,Suspended,2024-01-07 18:12:37 PST
USP FLORENCE - HIGH,956,Level 1,Not Suspended,2023-12-01 11:29:04 PST
USP FLORENCE - HIGH,956,Level 1,Not Suspended,2023-11-30 10:19:41 PST
USP FLORENCE - HIGH,956,Level 1,Not Suspended,2023-12-04 14:51:26 PST
USP FLORENCE - HIGH,956,Level 1,Not Suspended,2023-12-05 07:36:55 PST
USP FLORENCE - HIGH,956,Level 1,Not Suspended,2023-12-03 10:53:46 PST
USP FLORENCE - HIGH,,Level 1,Not Suspended,2023-09-27 10:27:29 PDT
