title,population,operation_level,visiting_status,datetime_of_data
USP HAZELTON,"1,387",No Longer Available,Not Suspended,2024-02-16 10:31:26 PST
USP HAZELTON,"1,387",No Longer Available,Not Suspended,2024-02-20 10:26:23 PST
USP HAZELTON,"1,387",No Longer Available,Not Suspended,2024-02-18 14:56:36 PST
USP HAZELTON,"1,387",No Longer Available,Not Suspended,2024-02-19 08:03:28 PST
USP HAZELTON,"1,414",No Longer Available,Not Suspended,2024-02-27 07:16:43 PST
USP HAZELTON,"1,414",No Longer Available,Not Suspended,2024-02-26 18:28:54 PST
USP HAZELTON,"1,392",No Longer Available,Suspended,2024-03-01 10:24:45 PST
USP HAZELTON,"1,394",No Longer Available,Not Suspended,2024-02-13 10:44:15 PST
USP HAZELTON,"1,414",No Longer Available,Not Suspended,2024-02-23 12:43:49 PST
USP HAZELTON,"1,414",No Longer Available,Not Suspended,2024-02-24 11:39:30 PST
USP HAZELTON,"1,394",No Longer Available,Not Suspended,2024-02-08 14:14:34 PST
USP HAZELTON,"1,392",No Longer Available,Suspended,2024-03-03 21:13:11 PST
USP HAZELTON,"1,414",No Longer Available,Suspended,2024-03-19 10:11:07 PDT
USP HAZELTON,"1,427",No Longer Available,Not Suspended,2024-02-07 19:20:15 PST
USP HAZELTON,"1,414",No Longer Available,Suspended,2024-03-21 10:17:44 PDT
USP HAZELTON,"1,394",No Longer Available,Not Suspended,2024-02-09 10:21:41 PST
USP HAZELTON,"1,436",No Longer Available,Not Suspended,2024-01-19 10:35:45 PST
USP HAZELTON,"1,414",No Longer Available,Suspended,2024-03-20 10:13:36 PDT
USP HAZELTON,"1,434",No Longer Available,Not Suspended,2024-02-01 14:13:48 PST
USP HAZELTON,"1,394",No Longer Available,Not Suspended,2024-02-10 17:52:53 PST
USP HAZELTON,"1,427",No Longer Available,Not Suspended,2024-02-02 23:07:12 PST
USP HAZELTON,"1,427",No Longer Available,Not Suspended,2024-02-03 19:36:20 PST
USP HAZELTON,"1,427",No Longer Available,Not Suspended,2024-02-06 14:27:40 PST
USP HAZELTON,"1,436",No Longer Available,Not Suspended,2024-01-23 10:19:22 PST
USP HAZELTON,"1,394",No Longer Available,Not Suspended,2024-02-12 09:30:43 PST
USP HAZELTON,"1,436",No Longer Available,Not Suspended,2024-01-22 10:17:49 PST
USP HAZELTON,"1,436",No Longer Available,Not Suspended,2024-01-24 09:13:10 PST
USP HAZELTON,"1,427",No Longer Available,Not Suspended,2024-02-03 09:30:55 PST
USP HAZELTON,"1,427",No Longer Available,Not Suspended,2024-02-05 11:27:24 PST
USP HAZELTON,"1,434",No Longer Available,Not Suspended,2024-01-30 14:20:37 PST
USP HAZELTON,"1,394",No Longer Available,Not Suspended,2024-02-11 11:04:48 PST
USP HAZELTON,"1,434",No Longer Available,Not Suspended,2024-01-28 20:31:32 PST
USP HAZELTON,"1,434",No Longer Available,Not Suspended,2024-01-26 10:23:48 PST
USP HAZELTON,"1,434",No Longer Available,Not Suspended,2024-01-27 14:48:23 PST
USP HAZELTON,"1,468",No Longer Available,Not Suspended,2024-01-11 12:21:19 PST
USP HAZELTON,"1,427",No Longer Available,Not Suspended,2024-02-04 12:44:54 PST
USP HAZELTON,"1,449",No Longer Available,Not Suspended,2024-01-18 10:25:23 PST
USP HAZELTON,"1,434",No Longer Available,Not Suspended,2024-01-29 09:54:29 PST
USP HAZELTON,"1,468",No Longer Available,Not Suspended,2024-01-13 12:55:35 PST
USP HAZELTON,"1,449",No Longer Available,Not Suspended,2024-01-17 10:21:45 PST
USP HAZELTON,"1,449",No Longer Available,Not Suspended,2024-01-16 10:23:27 PST
USP HAZELTON,"1,434",No Longer Available,Not Suspended,2024-01-25 11:42:34 PST
USP HAZELTON,"1,627",Level 1,Not Suspended,2023-10-22 11:31:20 PDT
USP HAZELTON,"1,670",Level 1,Not Suspended,2023-09-28 16:16:46 PDT
USP HAZELTON,"1,671",Level 1,Not Suspended,2023-09-28 06:56:12 PDT
USP HAZELTON,"1,671",Level 1,Not Suspended,2023-09-27 18:31:22 PDT
USP HAZELTON,"1,671",Level 1,Not Suspended,2023-09-27 15:52:34 PDT
USP HAZELTON,"1,602",Level 1,Not Suspended,2023-11-03 16:08:12 PDT
USP HAZELTON,"1,670",Level 1,Not Suspended,2023-10-02 14:24:03 PDT
USP HAZELTON,"1,513",Level 1,Not Suspended,2023-12-13 10:55:43 PST
USP HAZELTON,"1,671",Level 1,Not Suspended,2023-09-27 12:06:25 PDT
USP HAZELTON,"1,671",Level 1,Not Suspended,2023-09-28 10:05:24 PDT
USP HAZELTON,"1,608",Level 1,Suspended,2023-11-15 09:37:55 PST
