title,population,operation_level,visiting_status,datetime_of_data
USP LEAVENWORTH,"1,968",No Longer Available,Not Suspended,2024-02-16 10:33:03 PST
USP LEAVENWORTH,"1,968",No Longer Available,Not Suspended,2024-02-20 10:28:00 PST
USP LEAVENWORTH,"1,968",No Longer Available,Not Suspended,2024-02-18 14:58:13 PST
USP LEAVENWORTH,"1,968",No Longer Available,Not Suspended,2024-02-19 08:05:06 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-27 07:18:20 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-26 18:30:30 PST
USP LEAVENWORTH,"1,921",No Longer Available,Suspended,2024-03-01 10:26:21 PST
USP LEAVENWORTH,"1,977",No Longer Available,Not Suspended,2024-02-13 10:45:49 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-23 12:45:25 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-24 11:41:17 PST
USP LEAVENWORTH,"1,977",No Longer Available,Not Suspended,2024-02-08 14:16:09 PST
USP LEAVENWORTH,"1,921",No Longer Available,Suspended,2024-03-03 21:14:49 PST
USP LEAVENWORTH,"1,844",No Longer Available,Suspended,2024-03-19 10:12:41 PDT
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-07 19:21:52 PST
USP LEAVENWORTH,"1,844",No Longer Available,Suspended,2024-03-21 10:19:27 PDT
USP LEAVENWORTH,"1,977",No Longer Available,Not Suspended,2024-02-09 10:23:17 PST
USP LEAVENWORTH,"1,948",No Longer Available,Not Suspended,2024-01-19 10:37:21 PST
USP LEAVENWORTH,"1,844",No Longer Available,Suspended,2024-03-20 10:15:13 PDT
USP LEAVENWORTH,"1,963",No Longer Available,Not Suspended,2024-02-01 14:15:22 PST
USP LEAVENWORTH,"1,977",No Longer Available,Not Suspended,2024-02-10 17:54:31 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-02 23:08:47 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-03 19:37:57 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-06 14:29:17 PST
USP LEAVENWORTH,"1,948",No Longer Available,Not Suspended,2024-01-23 10:20:57 PST
USP LEAVENWORTH,"1,977",No Longer Available,Not Suspended,2024-02-12 09:32:23 PST
USP LEAVENWORTH,"1,948",No Longer Available,Not Suspended,2024-01-22 10:19:24 PST
USP LEAVENWORTH,"1,948",No Longer Available,Not Suspended,2024-01-24 09:14:44 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-03 09:32:30 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-05 11:28:57 PST
USP LEAVENWORTH,"1,963",No Longer Available,Not Suspended,2024-01-30 14:22:14 PST
USP LEAVENWORTH,"1,977",No Longer Available,Not Suspended,2024-02-11 11:06:23 PST
USP LEAVENWORTH,"1,963",No Longer Available,Not Suspended,2024-01-28 20:33:07 PST
USP LEAVENWORTH,"1,963",No Longer Available,Not Suspended,2024-01-26 10:25:23 PST
USP LEAVENWORTH,"1,963",No Longer Available,Not Suspended,2024-01-27 14:49:59 PST
USP LEAVENWORTH,"1,968",No Longer Available,Not Suspended,2024-01-11 12:22:54 PST
USP LEAVENWORTH,"1,979",No Longer Available,Not Suspended,2024-02-04 12:46:31 PST
USP LEAVENWORTH,"1,933",No Longer Available,Not Suspended,2024-01-18 10:27:00 PST
USP LEAVENWORTH,"1,963",No Longer Available,Not Suspended,2024-01-29 09:56:04 PST
USP LEAVENWORTH,"1,968",No Longer Available,Not Suspended,2024-01-13 12:57:11 PST
USP LEAVENWORTH,"1,933",No Longer Available,Not Suspended,2024-01-17 10:23:21 PST
USP LEAVENWORTH,"1,933",No Longer Available,Not Suspended,2024-01-16 10:25:04 PST
USP LEAVENWORTH,"1,963",No Longer Available,Not Suspended,2024-01-25 11:44:08 PST
USP LEAVENWORTH,"1,929",Level 1,Not Suspended,2023-10-22 11:32:53 PDT
USP LEAVENWORTH,"1,815",Level 1,Not Suspended,2023-09-28 16:18:20 PDT
USP LEAVENWORTH,"1,789",Level 1,Not Suspended,2023-09-28 06:57:46 PDT
USP LEAVENWORTH,"1,789",Level 1,Not Suspended,2023-09-27 18:32:55 PDT
USP LEAVENWORTH,"1,789",Level 1,Not Suspended,2023-09-27 15:54:12 PDT
USP LEAVENWORTH,"1,943",Level 1,Not Suspended,2023-11-03 16:09:46 PDT
USP LEAVENWORTH,"1,815",Level 1,Not Suspended,2023-10-02 14:25:37 PDT
USP LEAVENWORTH,"1,992",Level 1,Not Suspended,2023-12-13 10:57:16 PST
USP LEAVENWORTH,"1,789",Level 1,Not Suspended,2023-09-27 12:08:07 PDT
USP LEAVENWORTH,"1,789",Level 1,Not Suspended,2023-09-28 10:06:58 PDT
USP LEAVENWORTH,"1,961",Level 1,Not Suspended,2023-11-15 09:39:30 PST
USP LEAVENWORTH,"1,992",Level 1,Not Suspended,2023-12-12 16:39:34 PST
USP LEAVENWORTH,"1,789",Level 1,Not Suspended,2023-09-27 11:13:35 PDT
USP LEAVENWORTH,"1,992",Level 1,Not Suspended,2023-12-11 08:56:38 PST
USP LEAVENWORTH,"1,961",Level 1,Not Suspended,2023-11-12 09:29:53 PST
USP LEAVENWORTH,"1,967",Level 1,Not Suspended,2023-12-20 09:10:52 PST
USP LEAVENWORTH,"1,992",Level 1,Not Suspended,2023-12-08 20:55:18 PST
USP LEAVENWORTH,"1,961",Level 1,Not Suspended,2023-11-13 09:36:35 PST
USP LEAVENWORTH,"1,967",Level 1,Not Suspended,2023-12-29 11:32:16 PST
USP LEAVENWORTH,"1,967",Level 1,Not Suspended,2023-12-29 10:50:43 PST
USP LEAVENWORTH,"1,968",Level 1,Not Suspended,2024-01-08 10:44:16 PST
USP LEAVENWORTH,"1,968",Level 1,Not Suspended,2024-01-09 10:24:27 PST
USP LEAVENWORTH,"1,983",Level 1,Not Suspended,2023-11-21 11:20:18 PST
USP LEAVENWORTH,"1,967",Level 1,Not Suspended,2023-12-22 08:16:22 PST
