title,population,operation_level,visiting_status,datetime_of_data
USP LEE,"1,423",No Longer Available,Not Suspended,2024-02-16 10:33:19 PST
USP LEE,"1,423",No Longer Available,Not Suspended,2024-02-20 10:28:15 PST
USP LEE,"1,423",No Longer Available,Not Suspended,2024-02-18 14:58:29 PST
USP LEE,"1,423",No Longer Available,Not Suspended,2024-02-19 08:05:22 PST
USP LEE,"1,420",No Longer Available,Not Suspended,2024-02-27 07:18:37 PST
USP LEE,"1,420",No Longer Available,Not Suspended,2024-02-26 18:30:47 PST
USP LEE,"1,409",No Longer Available,Suspended,2024-03-01 10:26:37 PST
USP LEE,"1,433",No Longer Available,Not Suspended,2024-02-13 10:46:05 PST
USP LEE,"1,420",No Longer Available,Not Suspended,2024-02-23 12:45:40 PST
USP LEE,"1,420",No Longer Available,Not Suspended,2024-02-24 11:41:32 PST
USP LEE,"1,433",No Longer Available,Not Suspended,2024-02-08 14:16:25 PST
USP LEE,"1,409",No Longer Available,Suspended,2024-03-03 21:15:04 PST
USP LEE,"1,392",No Longer Available,Not Suspended,2024-03-19 10:12:57 PDT
USP LEE,"1,451",No Longer Available,Not Suspended,2024-02-07 19:22:08 PST
USP LEE,"1,392",No Longer Available,Not Suspended,2024-03-21 10:19:43 PDT
USP LEE,"1,433",No Longer Available,Not Suspended,2024-02-09 10:23:33 PST
USP LEE,"1,457",No Longer Available,Not Suspended,2024-01-19 10:37:37 PST
USP LEE,"1,392",No Longer Available,Not Suspended,2024-03-20 10:15:29 PDT
USP LEE,"1,460",No Longer Available,Not Suspended,2024-02-01 14:15:38 PST
USP LEE,"1,433",No Longer Available,Not Suspended,2024-02-10 17:54:46 PST
USP LEE,"1,451",No Longer Available,Not Suspended,2024-02-02 23:09:03 PST
USP LEE,"1,451",No Longer Available,Not Suspended,2024-02-03 19:38:13 PST
USP LEE,"1,451",No Longer Available,Not Suspended,2024-02-06 14:29:32 PST
USP LEE,"1,457",No Longer Available,Not Suspended,2024-01-23 10:21:14 PST
USP LEE,"1,433",No Longer Available,Not Suspended,2024-02-12 09:32:40 PST
USP LEE,"1,457",No Longer Available,Not Suspended,2024-01-22 10:19:40 PST
USP LEE,"1,457",No Longer Available,Not Suspended,2024-01-24 09:14:59 PST
USP LEE,"1,451",No Longer Available,Not Suspended,2024-02-03 09:32:47 PST
USP LEE,"1,451",No Longer Available,Not Suspended,2024-02-05 11:29:12 PST
USP LEE,"1,460",No Longer Available,Not Suspended,2024-01-30 14:22:30 PST
USP LEE,"1,433",No Longer Available,Not Suspended,2024-02-11 11:06:39 PST
USP LEE,"1,460",No Longer Available,Not Suspended,2024-01-28 20:33:23 PST
USP LEE,"1,460",No Longer Available,Not Suspended,2024-01-26 10:25:39 PST
USP LEE,"1,460",No Longer Available,Not Suspended,2024-01-27 14:50:15 PST
USP LEE,"1,480",No Longer Available,Not Suspended,2024-01-11 12:23:10 PST
USP LEE,"1,451",No Longer Available,Not Suspended,2024-02-04 12:46:47 PST
USP LEE,"1,466",No Longer Available,Not Suspended,2024-01-18 10:27:16 PST
USP LEE,"1,460",No Longer Available,Not Suspended,2024-01-29 09:56:20 PST
USP LEE,"1,480",No Longer Available,Not Suspended,2024-01-13 12:57:27 PST
USP LEE,"1,466",No Longer Available,Not Suspended,2024-01-17 10:23:38 PST
USP LEE,"1,466",No Longer Available,Not Suspended,2024-01-16 10:25:21 PST
USP LEE,"1,460",No Longer Available,Not Suspended,2024-01-25 11:44:23 PST
USP LEE,"1,537",Level 1,Not Suspended,2023-10-22 11:33:08 PDT
USP LEE,"1,535",Level 1,Not Suspended,2023-09-28 16:18:36 PDT
USP LEE,"1,541",Level 1,Not Suspended,2023-09-28 06:58:02 PDT
USP LEE,"1,541",Level 1,Not Suspended,2023-09-27 18:33:11 PDT
USP LEE,"1,541",Level 1,Not Suspended,2023-09-27 15:54:28 PDT
USP LEE,"1,524",Level 1,Not Suspended,2023-11-03 16:10:01 PDT
USP LEE,"1,535",Level 1,Not Suspended,2023-10-02 14:25:52 PDT
USP LEE,"1,506",Level 1,Not Suspended,2023-12-13 10:57:31 PST
USP LEE,"1,541",Level 1,Not Suspended,2023-09-27 12:08:23 PDT
USP LEE,"1,541",Level 1,Not Suspended,2023-09-28 10:07:14 PDT
USP LEE,"1,517",Level 1,Not Suspended,2023-11-15 09:39:46 PST
USP LEE,"1,506",Level 1,Not Suspended,2023-12-12 16:39:50 PST
USP LEE,"1,541",Level 1,Not Suspended,2023-09-27 11:13:43 PDT
USP LEE,"1,506",Level 1,Not Suspended,2023-12-11 08:56:55 PST
USP LEE,"1,517",Level 1,Not Suspended,2023-11-12 09:30:08 PST
USP LEE,"1,488",Level 1,Not Suspended,2023-12-20 09:11:09 PST
USP LEE,"1,506",Level 1,Not Suspended,2023-12-08 20:55:35 PST
USP LEE,"1,517",Level 1,Not Suspended,2023-11-13 09:36:52 PST
USP LEE,"1,488",Level 1,Not Suspended,2023-12-29 11:32:32 PST
USP LEE,"1,488",Level 1,Not Suspended,2023-12-29 10:50:58 PST
USP LEE,"1,480",Level 1,Not Suspended,2024-01-08 10:44:31 PST
USP LEE,"1,480",Level 1,Not Suspended,2024-01-09 10:24:44 PST
USP LEE,"1,525",Level 1,Not Suspended,2023-11-21 11:20:34 PST
USP LEE,"1,488",Level 1,Not Suspended,2023-12-22 08:16:38 PST
USP LEE,"1,506",Level 1,Not Suspended,2023-12-07 17:01:16 PST
USP LEE,"1,488",Level 1,Not Suspended,2023-12-28 11:42:35 PST
USP LEE,"1,452",Level 1,Not Suspended,2024-01-02 10:30:40 PST
USP LEE,"1,524",Level 1,Not Suspended,2023-11-10 10:48:14 PST
USP LEE,"1,488",Level 1,Not Suspended,2023-12-18 07:05:52 PST
USP LEE,"1,516",Level 1,Not Suspended,2023-11-27 12:19:43 PST
