title,population,operation_level,visiting_status,datetime_of_data
USP LEWISBURG,,Level 1,Not Suspended,2023-09-27 10:29:48 PDT
USP LEWISBURG,1042.0,Level 1,Not Suspended,2023-09-27 11:13:51 PDT
USP LEWISBURG,1042.0,Level 1,Not Suspended,2023-09-27 12:08:40 PDT
USP LEWISBURG,1042.0,Level 1,Not Suspended,2023-09-27 15:54:45 PDT
USP LEWISBURG,1042.0,Level 1,Not Suspended,2023-09-27 18:33:26 PDT
USP LEWISBURG,1042.0,Level 1,Not Suspended,2023-09-28 06:58:17 PDT
USP LEWISBURG,1042.0,Level 1,Not Suspended,2023-09-28 10:07:29 PDT
USP LEWISBURG,1016.0,Level 1,Not Suspended,2023-09-28 16:18:52 PDT
USP LEWISBURG,1016.0,Level 1,Not Suspended,2023-10-02 14:26:08 PDT
USP LEWISBURG,1016.0,Level 1,Not Suspended,2023-10-22 11:33:24 PDT
USP LEWISBURG,988.0,Level 1,Not Suspended,2023-11-03 16:10:17 PDT
USP LEWISBURG,988.0,Level 1,Not Suspended,2023-11-10 10:48:29 PST
USP LEWISBURG,949.0,Level 1,Not Suspended,2023-11-12 09:30:24 PST
USP LEWISBURG,949.0,Level 1,Not Suspended,2023-11-13 09:37:08 PST
USP LEWISBURG,949.0,Level 1,Not Suspended,2023-11-15 09:40:01 PST
USP LEWISBURG,1000.0,Level 1,Not Suspended,2023-11-21 11:20:50 PST
USP LEWISBURG,1000.0,Level 1,Not Suspended,2023-11-22 10:02:24 PST
USP LEWISBURG,1000.0,Level 1,Not Suspended,2023-11-26 14:56:33 PST
USP LEWISBURG,951.0,Level 1,Not Suspended,2023-11-27 12:19:58 PST
USP LEWISBURG,951.0,Level 1,Not Suspended,2023-11-28 10:31:26 PST
USP LEWISBURG,957.0,Level 1,Not Suspended,2023-11-30 10:24:06 PST
USP LEWISBURG,957.0,Level 1,Not Suspended,2023-12-01 11:33:29 PST
USP LEWISBURG,957.0,Level 1,Not Suspended,2023-12-03 10:58:11 PST
USP LEWISBURG,957.0,Level 1,Not Suspended,2023-12-04 14:55:51 PST
USP LEWISBURG,957.0,Level 1,Not Suspended,2023-12-05 07:41:21 PST
USP LEWISBURG,980.0,Level 1,Not Suspended,2023-12-07 17:01:32 PST
USP LEWISBURG,980.0,Level 1,Not Suspended,2023-12-08 20:55:51 PST
USP LEWISBURG,980.0,Level 1,Not Suspended,2023-12-11 08:57:10 PST
USP LEWISBURG,980.0,Level 1,Not Suspended,2023-12-12 16:40:05 PST
USP LEWISBURG,980.0,Level 1,Not Suspended,2023-12-13 10:57:47 PST
USP LEWISBURG,971.0,Level 1,Not Suspended,2023-12-18 07:06:08 PST
USP LEWISBURG,971.0,Level 1,Not Suspended,2023-12-20 09:11:25 PST
USP LEWISBURG,971.0,Level 1,Not Suspended,2023-12-22 08:16:54 PST
USP LEWISBURG,971.0,Level 1,Not Suspended,2023-12-27 10:20:27 PST
USP LEWISBURG,971.0,Level 1,Not Suspended,2023-12-28 11:42:51 PST
USP LEWISBURG,971.0,Level 1,Not Suspended,2023-12-29 10:51:14 PST
USP LEWISBURG,971.0,Level 1,Not Suspended,2023-12-29 11:32:47 PST
USP LEWISBURG,1007.0,Level 1,Not Suspended,2024-01-02 10:30:56 PST
USP LEWISBURG,1007.0,Level 1,Not Suspended,2024-01-03 09:57:12 PST
USP LEWISBURG,1065.0,Level 1,Not Suspended,2024-01-04 10:22:56 PST
USP LEWISBURG,1065.0,Level 1,Not Suspended,2024-01-05 10:24:20 PST
USP LEWISBURG,1065.0,Level 1,Not Suspended,2024-01-07 18:17:02 PST
USP LEWISBURG,1065.0,Level 1,Not Suspended,2024-01-08 10:44:47 PST
USP LEWISBURG,1065.0,Level 1,Not Suspended,2024-01-09 10:24:59 PST
USP LEWISBURG,1065.0,No Longer Available,Not Suspended,2024-01-11 12:23:25 PST
USP LEWISBURG,1065.0,No Longer Available,Not Suspended,2024-01-13 12:57:43 PST
USP LEWISBURG,1009.0,No Longer Available,Not Suspended,2024-01-16 10:25:38 PST
USP LEWISBURG,1009.0,No Longer Available,Not Suspended,2024-01-17 10:23:54 PST
USP LEWISBURG,1009.0,No Longer Available,Not Suspended,2024-01-18 10:27:32 PST
USP LEWISBURG,1018.0,No Longer Available,Not Suspended,2024-01-19 10:37:52 PST
USP LEWISBURG,1018.0,No Longer Available,Not Suspended,2024-01-22 10:19:56 PST
USP LEWISBURG,1018.0,No Longer Available,Not Suspended,2024-01-23 10:21:30 PST
USP LEWISBURG,1018.0,No Longer Available,Not Suspended,2024-01-24 09:15:16 PST
USP LEWISBURG,972.0,No Longer Available,Not Suspended,2024-01-25 11:44:39 PST
USP LEWISBURG,972.0,No Longer Available,Not Suspended,2024-01-26 10:25:55 PST
USP LEWISBURG,972.0,No Longer Available,Not Suspended,2024-01-27 14:50:31 PST
USP LEWISBURG,972.0,No Longer Available,Not Suspended,2024-01-28 20:33:38 PST
USP LEWISBURG,972.0,No Longer Available,Not Suspended,2024-01-29 09:56:35 PST
USP LEWISBURG,972.0,No Longer Available,Not Suspended,2024-01-30 14:22:45 PST
USP LEWISBURG,972.0,No Longer Available,Not Suspended,2024-02-01 14:15:54 PST
USP LEWISBURG,965.0,No Longer Available,Not Suspended,2024-02-02 23:09:19 PST
USP LEWISBURG,965.0,No Longer Available,Not Suspended,2024-02-03 09:33:03 PST
USP LEWISBURG,965.0,No Longer Available,Not Suspended,2024-02-03 19:38:28 PST
USP LEWISBURG,965.0,No Longer Available,Not Suspended,2024-02-04 12:47:03 PST
USP LEWISBURG,965.0,No Longer Available,Not Suspended,2024-02-05 11:29:28 PST
USP LEWISBURG,965.0,No Longer Available,Not Suspended,2024-02-06 14:29:48 PST
USP LEWISBURG,965.0,No Longer Available,Not Suspended,2024-02-07 19:22:24 PST
USP LEWISBURG,1034.0,No Longer Available,Not Suspended,2024-02-08 14:16:41 PST
USP LEWISBURG,1034.0,No Longer Available,Not Suspended,2024-02-09 10:23:48 PST
USP LEWISBURG,1034.0,No Longer Available,Not Suspended,2024-02-10 17:55:02 PST
USP LEWISBURG,1034.0,No Longer Available,Not Suspended,2024-02-11 11:06:55 PST
USP LEWISBURG,1034.0,No Longer Available,Not Suspended,2024-02-12 09:32:55 PST
USP LEWISBURG,1034.0,No Longer Available,Not Suspended,2024-02-13 10:46:21 PST
USP LEWISBURG,1146.0,No Longer Available,Not Suspended,2024-02-16 10:33:34 PST
USP LEWISBURG,1146.0,No Longer Available,Not Suspended,2024-02-18 14:58:44 PST
USP LEWISBURG,1146.0,No Longer Available,Not Suspended,2024-02-19 08:05:37 PST
USP LEWISBURG,1146.0,No Longer Available,Not Suspended,2024-02-20 10:28:31 PST
USP LEWISBURG,1116.0,No Longer Available,Not Suspended,2024-02-23 12:45:56 PST
USP LEWISBURG,1116.0,No Longer Available,Not Suspended,2024-02-24 11:41:48 PST
USP LEWISBURG,1116.0,No Longer Available,Not Suspended,2024-02-26 18:31:02 PST
