title,population,operation_level,visiting_status,datetime_of_data
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-16 10:34:21 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-20 10:29:19 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-18 14:59:31 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-19 08:06:27 PST
USP LOMPOC,"2,279",No Longer Available,Not Suspended,2024-02-27 07:19:40 PST
USP LOMPOC,"2,279",No Longer Available,Not Suspended,2024-02-26 18:31:49 PST
USP LOMPOC,"2,269",No Longer Available,Not Suspended,2024-03-01 10:27:40 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-13 10:47:08 PST
USP LOMPOC,"2,279",No Longer Available,Not Suspended,2024-02-23 12:46:45 PST
USP LOMPOC,"2,279",No Longer Available,Not Suspended,2024-02-24 11:42:36 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-08 14:17:28 PST
USP LOMPOC,"2,269",No Longer Available,Not Suspended,2024-03-03 21:16:12 PST
USP LOMPOC,"2,315",No Longer Available,Not Suspended,2024-03-19 10:13:59 PDT
USP LOMPOC,"2,315",No Longer Available,Not Suspended,2024-02-07 19:23:15 PST
USP LOMPOC,"2,315",No Longer Available,Not Suspended,2024-03-21 10:20:53 PDT
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-09 10:24:35 PST
USP LOMPOC,"2,285",No Longer Available,Not Suspended,2024-01-19 10:38:40 PST
USP LOMPOC,"2,315",No Longer Available,Not Suspended,2024-03-20 10:16:30 PDT
USP LOMPOC,"2,329",No Longer Available,Not Suspended,2024-02-01 14:16:40 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-10 17:55:51 PST
USP LOMPOC,"2,315",No Longer Available,Not Suspended,2024-02-02 23:10:06 PST
USP LOMPOC,"2,315",No Longer Available,Not Suspended,2024-02-03 19:39:16 PST
USP LOMPOC,"2,315",No Longer Available,Suspended,2024-02-06 14:30:35 PST
USP LOMPOC,"2,285",No Longer Available,Not Suspended,2024-01-23 10:22:17 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-12 09:33:46 PST
USP LOMPOC,"2,285",No Longer Available,Not Suspended,2024-01-22 10:20:42 PST
USP LOMPOC,"2,285",No Longer Available,Not Suspended,2024-01-24 09:16:04 PST
USP LOMPOC,"2,315",No Longer Available,Not Suspended,2024-02-03 09:33:52 PST
USP LOMPOC,"2,315",No Longer Available,Suspended,2024-02-05 11:30:15 PST
USP LOMPOC,"2,329",No Longer Available,Not Suspended,2024-01-30 14:23:37 PST
USP LOMPOC,"2,288",No Longer Available,Not Suspended,2024-02-11 11:07:43 PST
USP LOMPOC,"2,329",No Longer Available,Not Suspended,2024-01-28 20:34:26 PST
USP LOMPOC,"2,329",No Longer Available,Not Suspended,2024-01-26 10:26:43 PST
USP LOMPOC,"2,329",No Longer Available,Not Suspended,2024-01-27 14:51:18 PST
USP LOMPOC,"2,185",No Longer Available,Not Suspended,2024-01-11 12:24:12 PST
USP LOMPOC,"2,315",No Longer Available,Suspended,2024-02-04 12:47:50 PST
USP LOMPOC,"2,270",No Longer Available,Not Suspended,2024-01-18 10:28:20 PST
USP LOMPOC,"2,329",No Longer Available,Not Suspended,2024-01-29 09:57:22 PST
USP LOMPOC,"2,185",No Longer Available,Not Suspended,2024-01-13 12:58:29 PST
USP LOMPOC,"2,270",No Longer Available,Not Suspended,2024-01-17 10:24:40 PST
USP LOMPOC,"2,270",No Longer Available,Not Suspended,2024-01-16 10:26:26 PST
USP LOMPOC,"2,329",No Longer Available,Not Suspended,2024-01-25 11:45:26 PST
USP LOMPOC,"2,048",Level 1,Not Suspended,2023-10-22 11:34:12 PDT
USP LOMPOC,"2,055",Level 1,Not Suspended,2023-09-28 16:19:38 PDT
USP LOMPOC,"2,016",Level 1,Not Suspended,2023-09-28 06:59:05 PDT
USP LOMPOC,"2,016",Level 1,Not Suspended,2023-09-27 18:34:12 PDT
USP LOMPOC,"2,016",Level 1,Not Suspended,2023-09-27 15:55:33 PDT
USP LOMPOC,"2,058",Level 1,Not Suspended,2023-11-03 16:11:04 PDT
USP LOMPOC,"2,055",Level 1,Not Suspended,2023-10-02 14:26:55 PDT
USP LOMPOC,"2,149",Level 1,Not Suspended,2023-12-13 10:58:33 PST
USP LOMPOC,"2,016",Level 1,Not Suspended,2023-09-27 12:09:28 PDT
USP LOMPOC,"2,016",Level 1,Not Suspended,2023-09-28 10:08:15 PDT
USP LOMPOC,"2,105",Level 1,Not Suspended,2023-11-15 09:40:48 PST
USP LOMPOC,"2,149",Level 1,Not Suspended,2023-12-12 16:40:51 PST
USP LOMPOC,"2,016",Level 1,Not Suspended,2023-09-27 11:14:16 PDT
USP LOMPOC,"2,149",Level 1,Not Suspended,2023-12-11 08:57:56 PST
USP LOMPOC,"2,105",Level 1,Not Suspended,2023-11-12 09:31:10 PST
USP LOMPOC,"2,147",Level 1,Suspended,2023-12-20 09:12:12 PST
USP LOMPOC,"2,149",Level 1,Not Suspended,2023-12-08 20:56:39 PST
USP LOMPOC,"2,105",Level 1,Not Suspended,2023-11-13 09:37:54 PST
USP LOMPOC,"2,147",Level 1,Not Suspended,2023-12-29 11:33:34 PST
USP LOMPOC,"2,147",Level 1,Not Suspended,2023-12-29 10:52:00 PST
USP LOMPOC,"2,185",Level 1,Not Suspended,2024-01-08 10:45:33 PST
USP LOMPOC,"2,185",Level 1,Not Suspended,2024-01-09 10:25:46 PST
USP LOMPOC,"2,157",Level 1,Not Suspended,2023-11-21 11:21:37 PST
USP LOMPOC,"2,147",Level 1,Suspended,2023-12-22 08:17:40 PST
USP LOMPOC,"2,149",Level 1,Not Suspended,2023-12-07 17:02:20 PST
USP LOMPOC,"2,147",Level 1,Not Suspended,2023-12-28 11:43:40 PST
USP LOMPOC,"2,158",Level 1,Not Suspended,2024-01-02 10:31:43 PST
USP LOMPOC,"2,058",Level 1,Not Suspended,2023-11-10 10:49:17 PST
USP LOMPOC,"2,147",Level 1,Suspended,2023-12-18 07:06:55 PST
USP LOMPOC,"2,153",Level 1,Suspended,2023-11-27 12:20:45 PST
USP LOMPOC,"2,153",Level 1,Suspended,2023-11-28 10:32:14 PST
USP LOMPOC,"2,157",Level 1,Suspended,2023-11-22 10:03:11 PST
USP LOMPOC,"2,147",Level 1,Not Suspended,2023-12-27 10:21:14 PST
USP LOMPOC,"2,185",Level 1,Not Suspended,2024-01-05 10:25:07 PST
USP LOMPOC,"2,185",Level 1,Not Suspended,2024-01-04 10:23:44 PST
USP LOMPOC,"2,157",Level 1,Suspended,2023-11-26 14:57:20 PST
USP LOMPOC,"2,158",Level 1,Not Suspended,2024-01-03 09:58:00 PST
USP LOMPOC,"2,185",Level 1,Not Suspended,2024-01-07 18:17:48 PST
USP LOMPOC,"2,161",Level 1,Suspended,2023-12-01 11:34:16 PST
USP LOMPOC,"2,161",Level 1,Suspended,2023-11-30 10:24:53 PST
USP LOMPOC,"2,161",Level 1,Not Suspended,2023-12-04 14:56:37 PST
USP LOMPOC,"2,161",Level 1,Not Suspended,2023-12-05 07:42:09 PST
USP LOMPOC,"2,161",Level 1,Not Suspended,2023-12-03 10:58:58 PST
USP LOMPOC,,Level 1,Not Suspended,2023-09-27 10:30:12 PDT
