title,population,operation_level,visiting_status,datetime_of_data
USP MARION,"1,307",No Longer Available,Not Suspended,2024-02-16 10:35:39 PST
USP MARION,"1,307",No Longer Available,Not Suspended,2024-02-20 10:30:37 PST
USP MARION,"1,307",No Longer Available,Not Suspended,2024-02-18 15:00:50 PST
USP MARION,"1,307",No Longer Available,Not Suspended,2024-02-19 08:07:47 PST
USP MARION,"1,300",No Longer Available,Not Suspended,2024-02-27 07:21:01 PST
USP MARION,"1,300",No Longer Available,Not Suspended,2024-02-26 18:33:15 PST
USP MARION,"1,299",No Longer Available,Not Suspended,2024-03-01 10:28:58 PST
USP MARION,"1,309",No Longer Available,Not Suspended,2024-02-13 10:48:26 PST
USP MARION,"1,300",No Longer Available,Not Suspended,2024-02-23 12:48:06 PST
USP MARION,"1,300",No Longer Available,Not Suspended,2024-02-24 11:43:54 PST
USP MARION,"1,309",No Longer Available,Not Suspended,2024-02-08 14:18:46 PST
USP MARION,"1,299",No Longer Available,Not Suspended,2024-03-03 21:17:38 PST
USP MARION,"1,271",No Longer Available,Not Suspended,2024-03-19 10:15:18 PDT
USP MARION,"1,327",No Longer Available,Not Suspended,2024-02-07 19:24:38 PST
USP MARION,"1,271",No Longer Available,Not Suspended,2024-03-21 10:22:16 PDT
USP MARION,"1,309",No Longer Available,Not Suspended,2024-02-09 10:25:52 PST
USP MARION,"1,318",No Longer Available,Not Suspended,2024-01-19 10:39:57 PST
USP MARION,"1,271",No Longer Available,Not Suspended,2024-03-20 10:17:50 PDT
USP MARION,"1,321",No Longer Available,Not Suspended,2024-02-01 14:18:00 PST
USP MARION,"1,309",No Longer Available,Not Suspended,2024-02-10 17:57:13 PST
USP MARION,"1,327",No Longer Available,Not Suspended,2024-02-02 23:11:27 PST
USP MARION,"1,327",No Longer Available,Not Suspended,2024-02-03 19:40:35 PST
USP MARION,"1,327",No Longer Available,Not Suspended,2024-02-06 14:31:55 PST
USP MARION,"1,318",No Longer Available,Not Suspended,2024-01-23 10:23:35 PST
USP MARION,"1,309",No Longer Available,Not Suspended,2024-02-12 09:35:10 PST
USP MARION,"1,318",No Longer Available,Not Suspended,2024-01-22 10:22:00 PST
USP MARION,"1,318",No Longer Available,Not Suspended,2024-01-24 09:17:23 PST
USP MARION,"1,327",No Longer Available,Not Suspended,2024-02-03 09:35:12 PST
USP MARION,"1,327",No Longer Available,Not Suspended,2024-02-05 11:31:33 PST
USP MARION,"1,321",No Longer Available,Not Suspended,2024-01-30 14:24:57 PST
USP MARION,"1,309",No Longer Available,Not Suspended,2024-02-11 11:09:01 PST
USP MARION,"1,321",No Longer Available,Not Suspended,2024-01-28 20:35:47 PST
USP MARION,"1,321",No Longer Available,Not Suspended,2024-01-26 10:28:03 PST
USP MARION,"1,321",No Longer Available,Not Suspended,2024-01-27 14:52:40 PST
USP MARION,"1,309",No Longer Available,Not Suspended,2024-01-11 12:25:30 PST
USP MARION,"1,327",No Longer Available,Not Suspended,2024-02-04 12:49:08 PST
USP MARION,"1,333",No Longer Available,Not Suspended,2024-01-18 10:29:38 PST
USP MARION,"1,321",No Longer Available,Not Suspended,2024-01-29 09:58:42 PST
USP MARION,"1,309",No Longer Available,Not Suspended,2024-01-13 12:59:47 PST
USP MARION,"1,333",No Longer Available,Not Suspended,2024-01-17 10:25:59 PST
USP MARION,"1,333",No Longer Available,Not Suspended,2024-01-16 10:27:44 PST
USP MARION,"1,321",No Longer Available,Not Suspended,2024-01-25 11:46:44 PST
USP MARION,"1,294",Level 1,Not Suspended,2023-10-22 11:35:29 PDT
USP MARION,"1,308",Level 1,Not Suspended,2023-09-28 16:20:56 PDT
USP MARION,"1,292",Level 1,Not Suspended,2023-09-28 07:00:22 PDT
USP MARION,"1,292",Level 1,Not Suspended,2023-09-27 18:35:30 PDT
USP MARION,"1,292",Level 1,Not Suspended,2023-09-27 15:56:55 PDT
USP MARION,"1,322",Level 1,Not Suspended,2023-11-03 16:12:21 PDT
USP MARION,"1,308",Level 1,Not Suspended,2023-10-02 14:28:13 PDT
USP MARION,"1,313",Level 1,Not Suspended,2023-12-13 10:59:50 PST
USP MARION,"1,292",Level 1,Not Suspended,2023-09-27 12:10:50 PDT
USP MARION,"1,292",Level 1,Not Suspended,2023-09-28 10:09:33 PDT
USP MARION,"1,321",Level 1,Not Suspended,2023-11-15 09:42:05 PST
USP MARION,"1,313",Level 1,Not Suspended,2023-12-12 16:42:08 PST
USP MARION,"1,292",Level 1,Not Suspended,2023-09-27 11:14:57 PDT
USP MARION,"1,313",Level 1,Not Suspended,2023-12-11 08:59:19 PST
USP MARION,"1,321",Level 1,Not Suspended,2023-11-12 09:32:27 PST
USP MARION,"1,318",Level 1,Not Suspended,2023-12-20 09:13:29 PST
USP MARION,"1,313",Level 1,Not Suspended,2023-12-08 20:57:56 PST
USP MARION,"1,321",Level 1,Not Suspended,2023-11-13 09:39:14 PST
USP MARION,"1,318",Level 1,Not Suspended,2023-12-29 11:34:51 PST
USP MARION,"1,318",Level 1,Not Suspended,2023-12-29 10:53:18 PST
USP MARION,"1,309",Level 1,Not Suspended,2024-01-08 10:46:50 PST
USP MARION,"1,309",Level 1,Not Suspended,2024-01-09 10:27:03 PST
USP MARION,"1,312",Level 1,Not Suspended,2023-11-21 11:22:56 PST
