title,population,operation_level,visiting_status,datetime_of_data
USP MCCREARY,,Level 1,Not Suspended,2023-09-27 10:31:02 PDT
USP MCCREARY,1633.0,Level 1,Not Suspended,2023-09-27 11:15:06 PDT
USP MCCREARY,1633.0,Level 1,Not Suspended,2023-09-27 12:11:06 PDT
USP MCCREARY,1633.0,Level 1,Not Suspended,2023-09-27 15:57:12 PDT
USP MCCREARY,1633.0,Level 1,Not Suspended,2023-09-27 18:35:45 PDT
USP MCCREARY,1633.0,Level 1,Not Suspended,2023-09-28 07:00:38 PDT
USP MCCREARY,1633.0,Level 1,Not Suspended,2023-09-28 10:09:48 PDT
USP MCCREARY,1643.0,Level 1,Not Suspended,2023-09-28 16:21:12 PDT
USP MCCREARY,1643.0,Level 1,Not Suspended,2023-10-02 14:28:29 PDT
USP MCCREARY,1626.0,Level 1,Suspended,2023-10-22 11:35:45 PDT
USP MCCREARY,1626.0,Level 1,Suspended,2023-11-03 16:12:36 PDT
USP MCCREARY,1626.0,Level 1,Suspended,2023-11-10 10:50:51 PST
USP MCCREARY,1622.0,Level 1,Suspended,2023-11-12 09:32:43 PST
USP MCCREARY,1622.0,Level 1,Suspended,2023-11-13 09:39:30 PST
USP MCCREARY,1622.0,Level 1,Suspended,2023-11-15 09:42:20 PST
USP MCCREARY,1625.0,Level 1,Suspended,2023-11-21 11:23:11 PST
USP MCCREARY,1625.0,Level 1,Not Suspended,2023-11-22 10:04:44 PST
USP MCCREARY,1625.0,Level 1,Not Suspended,2023-11-26 14:58:53 PST
USP MCCREARY,1620.0,Level 1,Not Suspended,2023-11-27 12:22:17 PST
USP MCCREARY,1620.0,Level 1,Not Suspended,2023-11-28 10:33:48 PST
USP MCCREARY,1639.0,Level 1,Suspended,2023-11-30 10:26:25 PST
USP MCCREARY,1639.0,Level 1,Suspended,2023-12-01 11:35:50 PST
USP MCCREARY,1639.0,Level 1,Suspended,2023-12-03 11:00:32 PST
USP MCCREARY,1639.0,Level 1,Suspended,2023-12-04 14:58:11 PST
USP MCCREARY,1639.0,Level 1,Suspended,2023-12-05 07:43:44 PST
USP MCCREARY,1636.0,Level 1,Suspended,2023-12-07 17:03:58 PST
USP MCCREARY,1636.0,Level 1,Suspended,2023-12-08 20:58:12 PST
USP MCCREARY,1636.0,Level 1,Suspended,2023-12-11 08:59:35 PST
USP MCCREARY,1636.0,Level 1,Suspended,2023-12-12 16:42:24 PST
USP MCCREARY,1636.0,Level 1,Not Suspended,2023-12-13 11:00:05 PST
USP MCCREARY,1607.0,Level 1,Not Suspended,2023-12-18 07:08:28 PST
USP MCCREARY,1607.0,Level 1,Not Suspended,2023-12-20 09:13:44 PST
USP MCCREARY,1607.0,Level 1,Not Suspended,2023-12-22 08:19:13 PST
USP MCCREARY,1607.0,Level 1,Not Suspended,2023-12-27 10:22:47 PST
USP MCCREARY,1607.0,Level 1,Not Suspended,2023-12-28 11:45:12 PST
USP MCCREARY,1607.0,Level 1,Not Suspended,2023-12-29 10:53:33 PST
USP MCCREARY,1607.0,Level 1,Not Suspended,2023-12-29 11:35:06 PST
USP MCCREARY,1579.0,Level 1,Not Suspended,2024-01-02 10:33:16 PST
USP MCCREARY,1579.0,Level 1,Not Suspended,2024-01-03 09:59:33 PST
USP MCCREARY,1574.0,Level 1,Suspended,2024-01-04 10:25:17 PST
USP MCCREARY,1574.0,Level 1,Suspended,2024-01-05 10:26:41 PST
USP MCCREARY,1574.0,Level 1,Suspended,2024-01-07 18:19:20 PST
USP MCCREARY,1574.0,Level 1,Suspended,2024-01-08 10:47:05 PST
USP MCCREARY,1574.0,Level 1,Suspended,2024-01-09 10:27:19 PST
USP MCCREARY,1574.0,No Longer Available,Suspended,2024-01-11 12:25:45 PST
USP MCCREARY,1574.0,No Longer Available,Suspended,2024-01-13 13:00:02 PST
USP MCCREARY,1576.0,No Longer Available,Suspended,2024-01-16 10:28:02 PST
USP MCCREARY,1576.0,No Longer Available,Suspended,2024-01-17 10:26:14 PST
USP MCCREARY,1576.0,No Longer Available,Suspended,2024-01-18 10:29:53 PST
USP MCCREARY,1573.0,No Longer Available,Suspended,2024-01-19 10:40:14 PST
USP MCCREARY,1573.0,No Longer Available,Suspended,2024-01-22 10:22:15 PST
USP MCCREARY,1573.0,No Longer Available,Suspended,2024-01-23 10:23:50 PST
USP MCCREARY,1573.0,No Longer Available,Suspended,2024-01-24 09:17:38 PST
USP MCCREARY,1578.0,No Longer Available,Not Suspended,2024-01-25 11:47:00 PST
USP MCCREARY,1578.0,No Longer Available,Not Suspended,2024-01-26 10:28:19 PST
USP MCCREARY,1578.0,No Longer Available,Not Suspended,2024-01-27 14:52:55 PST
USP MCCREARY,1578.0,No Longer Available,Not Suspended,2024-01-28 20:36:02 PST
USP MCCREARY,1578.0,No Longer Available,Not Suspended,2024-01-29 09:58:57 PST
USP MCCREARY,1578.0,No Longer Available,Not Suspended,2024-01-30 14:25:13 PST
USP MCCREARY,1578.0,No Longer Available,Not Suspended,2024-02-01 14:18:17 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-02 23:11:43 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-03 09:35:28 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-03 19:40:51 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-04 12:49:24 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-05 11:31:48 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-06 14:32:11 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-07 19:24:54 PST
USP MCCREARY,1567.0,No Longer Available,Not Suspended,2024-02-08 14:19:02 PST
USP MCCREARY,1567.0,No Longer Available,Not Suspended,2024-02-09 10:26:08 PST
USP MCCREARY,1567.0,No Longer Available,Not Suspended,2024-02-10 17:57:32 PST
USP MCCREARY,1567.0,No Longer Available,Not Suspended,2024-02-11 11:09:17 PST
USP MCCREARY,1567.0,No Longer Available,Not Suspended,2024-02-12 09:35:25 PST
USP MCCREARY,1567.0,No Longer Available,Not Suspended,2024-02-13 10:48:42 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-16 10:35:54 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-18 15:01:06 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-19 08:08:05 PST
USP MCCREARY,1572.0,No Longer Available,Not Suspended,2024-02-20 10:30:53 PST
USP MCCREARY,1555.0,No Longer Available,Not Suspended,2024-02-23 12:48:21 PST
USP MCCREARY,1555.0,No Longer Available,Not Suspended,2024-02-24 11:44:09 PST
USP MCCREARY,1555.0,No Longer Available,Not Suspended,2024-02-26 18:33:31 PST
USP MCCREARY,1555.0,No Longer Available,Not Suspended,2024-02-27 07:21:17 PST
USP MCCREARY,1535.0,No Longer Available,Not Suspended,2024-03-01 10:29:14 PST
USP MCCREARY,1535.0,No Longer Available,Not Suspended,2024-03-03 21:17:54 PST
USP MCCREARY,1503.0,No Longer Available,Not Suspended,2024-03-19 10:15:34 PDT
USP MCCREARY,1503.0,No Longer Available,Not Suspended,2024-03-20 10:18:06 PDT
USP MCCREARY,1503.0,No Longer Available,Not Suspended,2024-03-21 10:22:31 PDT
