title,population,operation_level,visiting_status,datetime_of_data
USP POLLOCK,"1,100",No Longer Available,Not Suspended,2024-02-16 10:42:00 PST
USP POLLOCK,"1,100",No Longer Available,Not Suspended,2024-02-20 10:37:07 PST
USP POLLOCK,"1,100",No Longer Available,Not Suspended,2024-02-18 15:07:13 PST
USP POLLOCK,"1,100",No Longer Available,Not Suspended,2024-02-19 08:14:13 PST
USP POLLOCK,"1,098",No Longer Available,Suspended,2024-02-27 07:27:25 PST
USP POLLOCK,"1,098",No Longer Available,Suspended,2024-02-26 18:39:52 PST
USP POLLOCK,"1,102",No Longer Available,Not Suspended,2024-03-01 10:35:13 PST
USP POLLOCK,"1,094",No Longer Available,Not Suspended,2024-02-13 10:54:52 PST
USP POLLOCK,"1,098",No Longer Available,Suspended,2024-02-23 12:54:28 PST
USP POLLOCK,"1,098",No Longer Available,Suspended,2024-02-24 11:50:19 PST
USP POLLOCK,"1,094",No Longer Available,Not Suspended,2024-02-08 14:25:09 PST
USP POLLOCK,"1,102",No Longer Available,Not Suspended,2024-03-03 21:24:26 PST
USP POLLOCK,"1,108",No Longer Available,Not Suspended,2024-03-19 10:21:43 PDT
USP POLLOCK,"1,107",No Longer Available,Not Suspended,2024-02-07 19:31:03 PST
USP POLLOCK,"1,108",No Longer Available,Not Suspended,2024-03-21 10:29:11 PDT
USP POLLOCK,"1,094",No Longer Available,Not Suspended,2024-02-09 10:32:12 PST
USP POLLOCK,"1,113",No Longer Available,Not Suspended,2024-01-19 10:46:18 PST
USP POLLOCK,"1,108",No Longer Available,Not Suspended,2024-03-20 10:24:15 PDT
USP POLLOCK,"1,110",No Longer Available,Not Suspended,2024-02-01 14:24:19 PST
USP POLLOCK,"1,094",No Longer Available,Not Suspended,2024-02-10 18:03:50 PST
USP POLLOCK,"1,107",No Longer Available,Not Suspended,2024-02-02 23:17:46 PST
USP POLLOCK,"1,107",No Longer Available,Not Suspended,2024-02-03 19:47:03 PST
USP POLLOCK,"1,107",No Longer Available,Not Suspended,2024-02-06 14:38:19 PST
USP POLLOCK,"1,113",No Longer Available,Not Suspended,2024-01-23 10:29:53 PST
USP POLLOCK,"1,094",No Longer Available,Not Suspended,2024-02-12 09:41:39 PST
USP POLLOCK,"1,113",No Longer Available,Not Suspended,2024-01-22 10:28:15 PST
USP POLLOCK,"1,113",No Longer Available,Not Suspended,2024-01-24 09:23:38 PST
USP POLLOCK,"1,107",No Longer Available,Not Suspended,2024-02-03 09:41:35 PST
USP POLLOCK,"1,107",No Longer Available,Not Suspended,2024-02-05 11:37:48 PST
USP POLLOCK,"1,110",No Longer Available,Not Suspended,2024-01-30 14:31:25 PST
USP POLLOCK,"1,094",No Longer Available,Not Suspended,2024-02-11 11:15:23 PST
USP POLLOCK,"1,110",No Longer Available,Not Suspended,2024-01-28 20:42:04 PST
USP POLLOCK,"1,110",No Longer Available,Not Suspended,2024-01-26 10:34:20 PST
USP POLLOCK,"1,110",No Longer Available,Not Suspended,2024-01-27 14:59:03 PST
USP POLLOCK,"1,057",No Longer Available,Not Suspended,2024-01-11 12:31:48 PST
USP POLLOCK,"1,107",No Longer Available,Not Suspended,2024-02-04 12:55:37 PST
USP POLLOCK,"1,049",No Longer Available,Suspended,2024-01-18 10:35:56 PST
USP POLLOCK,"1,110",No Longer Available,Not Suspended,2024-01-29 10:04:55 PST
USP POLLOCK,"1,057",No Longer Available,Not Suspended,2024-01-13 13:06:01 PST
USP POLLOCK,"1,049",No Longer Available,Suspended,2024-01-17 10:32:17 PST
USP POLLOCK,"1,049",No Longer Available,Not Suspended,2024-01-16 10:34:06 PST
USP POLLOCK,"1,110",No Longer Available,Not Suspended,2024-01-25 11:53:00 PST
USP POLLOCK,"1,093",Level 1,Not Suspended,2023-10-22 11:41:42 PDT
USP POLLOCK,"1,183",Level 1,Not Suspended,2023-09-28 16:27:10 PDT
USP POLLOCK,"1,191",Level 1,Not Suspended,2023-09-28 07:06:36 PDT
USP POLLOCK,"1,191",Level 1,Not Suspended,2023-09-27 18:41:40 PDT
USP POLLOCK,"1,191",Level 1,Not Suspended,2023-09-27 16:03:25 PDT
