title,population,operation_level,visiting_status,datetime_of_data
USP TERRE HAUTE,1153,Level 1,Not Suspended,2023-09-27 10:36:09 PDT
USP TERRE HAUTE,1153,Level 1,Not Suspended,2023-09-27 11:20:16 PDT
USP TERRE HAUTE,1153,Level 1,Not Suspended,2023-09-27 12:21:30 PDT
USP TERRE HAUTE,1153,Level 1,Not Suspended,2023-09-27 16:07:28 PDT
USP TERRE HAUTE,1153,Level 1,Not Suspended,2023-09-27 18:45:32 PDT
USP TERRE HAUTE,1153,Level 1,Not Suspended,2023-09-28 07:10:31 PDT
USP TERRE HAUTE,1153,Level 1,Not Suspended,2023-09-28 10:19:42 PDT
USP TERRE HAUTE,1130,Level 1,Not Suspended,2023-09-28 16:31:04 PDT
USP TERRE HAUTE,1130,Level 1,Not Suspended,2023-10-02 14:38:21 PDT
USP TERRE HAUTE,1095,Level 1,Not Suspended,2023-10-22 11:45:35 PDT
USP TERRE HAUTE,1144,Level 1,Not Suspended,2023-11-03 16:22:26 PDT
USP TERRE HAUTE,1144,Level 1,Not Suspended,2023-11-10 11:00:44 PST
USP TERRE HAUTE,1114,Level 1,Not Suspended,2023-11-12 09:42:33 PST
USP TERRE HAUTE,1114,Level 1,Not Suspended,2023-11-13 09:49:24 PST
USP TERRE HAUTE,1114,Level 1,Not Suspended,2023-11-15 09:52:11 PST
USP TERRE HAUTE,1106,Level 1,Not Suspended,2023-11-21 11:33:09 PST
USP TERRE HAUTE,1106,Level 1,Not Suspended,2023-11-22 10:14:38 PST
USP TERRE HAUTE,1106,Level 1,Not Suspended,2023-11-26 15:08:47 PST
USP TERRE HAUTE,1145,Level 1,Not Suspended,2023-11-27 12:32:07 PST
USP TERRE HAUTE,1145,Level 1,Not Suspended,2023-11-28 10:43:51 PST
USP TERRE HAUTE,1098,Level 1,Not Suspended,2023-11-30 10:36:18 PST
USP TERRE HAUTE,1098,Level 1,Not Suspended,2023-12-01 11:45:44 PST
USP TERRE HAUTE,1098,Level 1,Not Suspended,2023-12-03 11:10:22 PST
USP TERRE HAUTE,1098,Level 1,Not Suspended,2023-12-04 15:08:04 PST
USP TERRE HAUTE,1098,Level 1,Not Suspended,2023-12-05 07:53:39 PST
USP TERRE HAUTE,1136,Level 1,Not Suspended,2023-12-07 17:14:13 PST
USP TERRE HAUTE,1136,Level 1,Not Suspended,2023-12-08 21:08:01 PST
USP TERRE HAUTE,1136,Level 1,Not Suspended,2023-12-11 09:09:51 PST
USP TERRE HAUTE,1136,Level 1,Not Suspended,2023-12-12 16:52:14 PST
USP TERRE HAUTE,1136,Level 1,Not Suspended,2023-12-13 11:09:54 PST
