title,population,operation_level,visiting_status,datetime_of_data
USP THOMSON,"1,369",Level 1,Not Suspended,2023-10-22 11:46:06 PDT
USP THOMSON,"1,312",Level 1,Not Suspended,2023-09-28 16:31:35 PDT
USP THOMSON,"1,297",Level 1,Not Suspended,2023-09-28 07:11:02 PDT
USP THOMSON,"1,297",Level 1,Not Suspended,2023-09-27 18:46:03 PDT
USP THOMSON,"1,297",Level 1,Not Suspended,2023-09-27 16:08:00 PDT
USP THOMSON,"1,424",Level 1,Not Suspended,2023-11-03 16:22:57 PDT
USP THOMSON,"1,312",Level 1,Not Suspended,2023-10-02 14:38:53 PDT
USP THOMSON,"1,297",Level 1,Not Suspended,2023-09-27 12:22:03 PDT
USP THOMSON,"1,297",Level 1,Not Suspended,2023-09-28 10:20:13 PDT
USP THOMSON,"1,484",Level 1,Not Suspended,2023-11-15 09:52:43 PST
USP THOMSON,"1,297",Level 1,Not Suspended,2023-09-27 11:20:32 PDT
USP THOMSON,"1,484",Level 1,Not Suspended,2023-11-12 09:43:04 PST
USP THOMSON,"1,484",Level 1,Not Suspended,2023-11-13 09:49:55 PST
USP THOMSON,"1,521",Level 1,Not Suspended,2023-11-21 11:33:40 PST
USP THOMSON,"1,424",Level 1,Not Suspended,2023-11-10 11:01:15 PST
USP THOMSON,"1,543",Level 1,Not Suspended,2023-11-27 12:32:38 PST
USP THOMSON,"1,543",Level 1,Not Suspended,2023-11-28 10:44:21 PST
USP THOMSON,"1,521",Level 1,Not Suspended,2023-11-22 10:15:09 PST
USP THOMSON,"1,521",Level 1,Not Suspended,2023-11-26 15:09:18 PST
USP THOMSON,"1,297",Level 1,Not Suspended,2023-09-27 10:36:25 PDT
