title,population,operation_level,visiting_status,datetime_of_data
USP TUCSON,"1,342",No Longer Available,Not Suspended,2024-02-16 10:47:17 PST
USP TUCSON,"1,342",No Longer Available,Not Suspended,2024-02-20 10:42:26 PST
USP TUCSON,"1,342",No Longer Available,Not Suspended,2024-02-18 15:12:39 PST
USP TUCSON,"1,342",No Longer Available,Not Suspended,2024-02-19 08:19:34 PST
USP TUCSON,"1,325",No Longer Available,Not Suspended,2024-02-27 07:32:44 PST
USP TUCSON,"1,325",No Longer Available,Not Suspended,2024-02-26 18:45:21 PST
USP TUCSON,"1,320",No Longer Available,Not Suspended,2024-03-01 10:40:28 PST
USP TUCSON,"1,332",No Longer Available,Not Suspended,2024-02-13 11:00:10 PST
USP TUCSON,"1,325",No Longer Available,Not Suspended,2024-02-23 12:59:46 PST
USP TUCSON,"1,325",No Longer Available,Not Suspended,2024-02-24 11:56:02 PST
USP TUCSON,"1,332",No Longer Available,Suspended,2024-02-08 14:30:24 PST
USP TUCSON,"1,320",No Longer Available,Not Suspended,2024-03-03 21:30:05 PST
USP TUCSON,"1,324",No Longer Available,Not Suspended,2024-03-19 10:27:08 PDT
USP TUCSON,"1,334",No Longer Available,Suspended,2024-02-07 19:36:28 PST
USP TUCSON,"1,324",No Longer Available,Not Suspended,2024-03-21 10:34:55 PDT
USP TUCSON,"1,332",No Longer Available,Suspended,2024-02-09 10:37:26 PST
USP TUCSON,"1,354",No Longer Available,Suspended,2024-01-19 10:51:35 PST
USP TUCSON,"1,324",No Longer Available,Not Suspended,2024-03-20 10:29:32 PDT
USP TUCSON,"1,353",No Longer Available,Suspended,2024-02-01 14:29:34 PST
USP TUCSON,"1,332",No Longer Available,Not Suspended,2024-02-10 18:09:09 PST
USP TUCSON,"1,334",No Longer Available,Suspended,2024-02-02 23:23:02 PST
USP TUCSON,"1,334",No Longer Available,Suspended,2024-02-03 19:52:28 PST
USP TUCSON,"1,334",No Longer Available,Suspended,2024-02-06 14:43:36 PST
USP TUCSON,"1,354",No Longer Available,Suspended,2024-01-23 10:35:08 PST
USP TUCSON,"1,332",No Longer Available,Not Suspended,2024-02-12 09:47:09 PST
USP TUCSON,"1,354",No Longer Available,Suspended,2024-01-22 10:33:34 PST
USP TUCSON,"1,354",No Longer Available,Suspended,2024-01-24 09:28:51 PST
USP TUCSON,"1,334",No Longer Available,Suspended,2024-02-03 09:46:55 PST
USP TUCSON,"1,334",No Longer Available,Suspended,2024-02-05 11:43:01 PST
USP TUCSON,"1,353",No Longer Available,Suspended,2024-01-30 14:36:47 PST
USP TUCSON,"1,332",No Longer Available,Not Suspended,2024-02-11 11:20:44 PST
USP TUCSON,"1,353",No Longer Available,Suspended,2024-01-28 20:47:17 PST
USP TUCSON,"1,353",No Longer Available,Suspended,2024-01-26 10:39:33 PST
USP TUCSON,"1,353",No Longer Available,Suspended,2024-01-27 15:04:22 PST
USP TUCSON,"1,357",No Longer Available,Suspended,2024-01-11 12:37:02 PST
USP TUCSON,"1,334",No Longer Available,Suspended,2024-02-04 13:00:52 PST
USP TUCSON,"1,349",No Longer Available,Suspended,2024-01-18 10:41:14 PST
USP TUCSON,"1,353",No Longer Available,Suspended,2024-01-29 10:10:07 PST
USP TUCSON,"1,357",No Longer Available,Suspended,2024-01-13 13:11:10 PST
USP TUCSON,"1,349",No Longer Available,Suspended,2024-01-17 10:37:33 PST
USP TUCSON,"1,349",No Longer Available,Suspended,2024-01-16 10:39:25 PST
USP TUCSON,"1,353",No Longer Available,Suspended,2024-01-25 11:58:15 PST
USP TUCSON,"1,386",Level 1,Suspended,2023-10-22 11:46:53 PDT
USP TUCSON,"1,395",Level 1,Not Suspended,2023-09-28 16:32:22 PDT
USP TUCSON,"1,411",Level 1,Not Suspended,2023-09-28 07:11:49 PDT
USP TUCSON,"1,411",Level 1,Not Suspended,2023-09-27 18:46:49 PDT
USP TUCSON,"1,411",Level 1,Not Suspended,2023-09-27 16:08:51 PDT
USP TUCSON,"1,387",Level 1,Not Suspended,2023-11-03 16:23:44 PDT
USP TUCSON,"1,395",Level 1,Not Suspended,2023-10-02 14:39:40 PDT
USP TUCSON,"1,367",Level 1,Not Suspended,2023-12-13 11:11:10 PST
USP TUCSON,"1,411",Level 1,Not Suspended,2023-09-27 12:22:56 PDT
USP TUCSON,"1,411",Level 1,Not Suspended,2023-09-28 10:20:59 PDT
USP TUCSON,"1,396",Level 1,Not Suspended,2023-11-15 09:53:30 PST
USP TUCSON,"1,367",Level 1,Not Suspended,2023-12-12 16:53:31 PST
USP TUCSON,"1,411",Level 1,Not Suspended,2023-09-27 11:21:00 PDT
USP TUCSON,"1,367",Level 1,Not Suspended,2023-12-11 09:11:13 PST
USP TUCSON,"1,396",Level 1,Not Suspended,2023-11-12 09:43:50 PST
USP TUCSON,"1,362",Level 1,Not Suspended,2023-12-20 09:24:50 PST
USP TUCSON,"1,367",Level 1,Not Suspended,2023-12-08 21:09:19 PST
USP TUCSON,"1,396",Level 1,Not Suspended,2023-11-13 09:50:41 PST
USP TUCSON,"1,362",Level 1,Not Suspended,2023-12-29 11:46:17 PST
USP TUCSON,"1,362",Level 1,Not Suspended,2023-12-29 11:04:52 PST
USP TUCSON,"1,357",Level 1,Suspended,2024-01-08 10:58:10 PST
USP TUCSON,"1,357",Level 1,Suspended,2024-01-09 10:38:37 PST
USP TUCSON,"1,388",Level 1,Suspended,2023-11-21 11:34:27 PST
USP TUCSON,"1,362",Level 1,Not Suspended,2023-12-22 08:30:27 PST
USP TUCSON,"1,367",Level 1,Not Suspended,2023-12-07 17:15:33 PST
USP TUCSON,"1,362",Level 1,Not Suspended,2023-12-28 11:56:27 PST
USP TUCSON,"1,361",Level 1,Not Suspended,2024-01-02 10:44:33 PST
USP TUCSON,"1,387",Level 1,Not Suspended,2023-11-10 11:02:02 PST
USP TUCSON,"1,362",Level 1,Not Suspended,2023-12-18 07:19:38 PST
USP TUCSON,"1,395",Level 1,Suspended,2023-11-27 12:33:25 PST
USP TUCSON,"1,395",Level 1,Suspended,2023-11-28 10:45:12 PST
USP TUCSON,"1,388",Level 1,Suspended,2023-11-22 10:15:55 PST
USP TUCSON,"1,362",Level 1,Not Suspended,2023-12-27 10:33:59 PST
USP TUCSON,"1,357",Level 1,Suspended,2024-01-05 10:37:55 PST
USP TUCSON,"1,357",Level 1,Suspended,2024-01-04 10:36:28 PST
USP TUCSON,"1,388",Level 1,Suspended,2023-11-26 15:10:04 PST
USP TUCSON,"1,361",Level 1,Suspended,2024-01-03 10:10:41 PST
USP TUCSON,"1,357",Level 1,Suspended,2024-01-07 18:30:31 PST
USP TUCSON,"1,392",Level 1,Suspended,2023-12-01 11:47:03 PST
USP TUCSON,"1,392",Level 1,Suspended,2023-11-30 10:37:35 PST
USP TUCSON,"1,392",Level 1,Not Suspended,2023-12-04 15:09:22 PST
USP TUCSON,"1,392",Level 1,Not Suspended,2023-12-05 07:54:58 PST
USP TUCSON,"1,392",Level 1,Not Suspended,2023-12-03 11:11:40 PST
USP TUCSON,,Level 1,Not Suspended,2023-09-27 10:36:52 PDT
