title,population,operation_level,visiting_status,datetime_of_data
USP VICTORVILLE,,Level 1,Suspended,2023-09-27 10:37:17 PDT
USP VICTORVILLE,1117.0,Level 1,Suspended,2023-09-27 11:21:24 PDT
USP VICTORVILLE,1117.0,Level 1,Suspended,2023-09-27 12:23:44 PDT
USP VICTORVILLE,1117.0,Level 1,Suspended,2023-09-27 16:09:40 PDT
USP VICTORVILLE,1117.0,Level 1,Suspended,2023-09-27 18:47:35 PDT
USP VICTORVILLE,1117.0,Level 1,Suspended,2023-09-28 07:12:35 PDT
USP VICTORVILLE,1117.0,Level 1,Suspended,2023-09-28 10:21:46 PDT
USP VICTORVILLE,1150.0,Level 1,Suspended,2023-09-28 16:33:09 PDT
USP VICTORVILLE,1150.0,Level 1,Suspended,2023-10-02 14:40:26 PDT
USP VICTORVILLE,1227.0,Level 1,Not Suspended,2023-10-22 11:47:39 PDT
USP VICTORVILLE,1238.0,Level 1,Suspended,2023-11-03 16:24:30 PDT
USP VICTORVILLE,1238.0,Level 1,Not Suspended,2023-11-10 11:02:49 PST
USP VICTORVILLE,1257.0,Level 1,Not Suspended,2023-11-12 09:44:38 PST
USP VICTORVILLE,1257.0,Level 1,Not Suspended,2023-11-13 09:51:27 PST
USP VICTORVILLE,1257.0,Level 1,Not Suspended,2023-11-15 09:54:17 PST
USP VICTORVILLE,1243.0,Level 1,Suspended,2023-11-21 11:35:17 PST
USP VICTORVILLE,1243.0,Level 1,Suspended,2023-11-22 10:16:41 PST
USP VICTORVILLE,1243.0,Level 1,Not Suspended,2023-11-26 15:10:50 PST
USP VICTORVILLE,1275.0,Level 1,Not Suspended,2023-11-27 12:34:13 PST
USP VICTORVILLE,1275.0,Level 1,Not Suspended,2023-11-28 10:46:01 PST
USP VICTORVILLE,1270.0,Level 1,Not Suspended,2023-11-30 10:38:22 PST
USP VICTORVILLE,1270.0,Level 1,Not Suspended,2023-12-01 11:47:52 PST
USP VICTORVILLE,1270.0,Level 1,Not Suspended,2023-12-03 11:12:26 PST
USP VICTORVILLE,1270.0,Level 1,Not Suspended,2023-12-04 15:10:08 PST
USP VICTORVILLE,1270.0,Level 1,Not Suspended,2023-12-05 07:55:46 PST
USP VICTORVILLE,1232.0,Level 1,Not Suspended,2023-12-07 17:16:21 PST
USP VICTORVILLE,1232.0,Level 1,Not Suspended,2023-12-08 21:10:05 PST
USP VICTORVILLE,1232.0,Level 1,Not Suspended,2023-12-11 09:12:00 PST
USP VICTORVILLE,1232.0,Level 1,Not Suspended,2023-12-12 16:54:18 PST
USP VICTORVILLE,1232.0,Level 1,Not Suspended,2023-12-13 11:11:57 PST
USP VICTORVILLE,1262.0,Level 1,Suspended,2023-12-18 07:20:24 PST
USP VICTORVILLE,1262.0,Level 1,Suspended,2023-12-20 09:25:37 PST
USP VICTORVILLE,1262.0,Level 1,Suspended,2023-12-22 08:31:14 PST
USP VICTORVILLE,1262.0,Level 1,Not Suspended,2023-12-27 10:34:45 PST
USP VICTORVILLE,1262.0,Level 1,Not Suspended,2023-12-28 11:57:14 PST
USP VICTORVILLE,1262.0,Level 1,Not Suspended,2023-12-29 11:05:39 PST
