title,population,operation_level,visiting_status,datetime_of_data
USP YAZOO CITY,,Level 1,Not Suspended,2023-09-27 10:38:05 PDT
USP YAZOO CITY,1528.0,Level 1,Not Suspended,2023-09-27 11:22:14 PDT
USP YAZOO CITY,1528.0,Level 1,Not Suspended,2023-09-27 12:25:21 PDT
USP YAZOO CITY,1528.0,Level 1,Not Suspended,2023-09-27 16:11:17 PDT
USP YAZOO CITY,1528.0,Level 1,Not Suspended,2023-09-27 18:49:09 PDT
USP YAZOO CITY,1528.0,Level 1,Not Suspended,2023-09-28 07:14:10 PDT
USP YAZOO CITY,1528.0,Level 1,Not Suspended,2023-09-28 10:23:20 PDT
USP YAZOO CITY,1503.0,Level 1,Not Suspended,2023-09-28 16:34:44 PDT
USP YAZOO CITY,1503.0,Level 1,Not Suspended,2023-10-02 14:42:00 PDT
USP YAZOO CITY,1551.0,Level 1,Not Suspended,2023-10-22 11:49:14 PDT
USP YAZOO CITY,1539.0,Level 1,Not Suspended,2023-11-03 16:26:05 PDT
USP YAZOO CITY,1539.0,Level 1,Not Suspended,2023-11-10 11:04:26 PST
USP YAZOO CITY,1502.0,Level 1,Not Suspended,2023-11-12 09:46:12 PST
USP YAZOO CITY,1502.0,Level 1,Not Suspended,2023-11-13 09:53:05 PST
USP YAZOO CITY,1502.0,Level 1,Not Suspended,2023-11-15 09:55:52 PST
USP YAZOO CITY,1511.0,Level 1,Not Suspended,2023-11-21 11:36:50 PST
USP YAZOO CITY,1511.0,Level 1,Not Suspended,2023-11-22 10:18:17 PST
USP YAZOO CITY,1511.0,Level 1,Not Suspended,2023-11-26 15:12:28 PST
USP YAZOO CITY,1514.0,Level 1,Not Suspended,2023-11-27 12:35:47 PST
USP YAZOO CITY,1514.0,Level 1,Not Suspended,2023-11-28 10:47:36 PST
USP YAZOO CITY,1522.0,Level 1,Not Suspended,2023-11-30 10:39:57 PST
USP YAZOO CITY,1522.0,Level 1,Not Suspended,2023-12-01 11:49:32 PST
USP YAZOO CITY,1522.0,Level 1,Not Suspended,2023-12-03 11:14:08 PST
USP YAZOO CITY,1522.0,Level 1,Not Suspended,2023-12-04 15:11:42 PST
USP YAZOO CITY,1522.0,Level 1,Not Suspended,2023-12-05 07:57:21 PST
USP YAZOO CITY,1521.0,Level 1,Not Suspended,2023-12-07 17:18:05 PST
USP YAZOO CITY,1521.0,Level 1,Not Suspended,2023-12-08 21:11:40 PST
USP YAZOO CITY,1521.0,Level 1,Not Suspended,2023-12-11 09:13:35 PST
USP YAZOO CITY,1521.0,Level 1,Not Suspended,2023-12-12 16:55:52 PST
USP YAZOO CITY,1521.0,Level 1,Not Suspended,2023-12-13 11:13:34 PST
USP YAZOO CITY,1508.0,Level 1,Not Suspended,2023-12-18 07:22:00 PST
USP YAZOO CITY,1508.0,Level 1,Not Suspended,2023-12-20 09:27:12 PST
USP YAZOO CITY,1508.0,Level 1,Not Suspended,2023-12-22 08:32:49 PST
USP YAZOO CITY,1508.0,Level 1,Not Suspended,2023-12-27 10:36:18 PST
USP YAZOO CITY,1508.0,Level 1,Not Suspended,2023-12-28 11:58:48 PST
USP YAZOO CITY,1508.0,Level 1,Not Suspended,2023-12-29 11:07:12 PST
USP YAZOO CITY,1508.0,Level 1,Not Suspended,2023-12-29 11:48:39 PST
USP YAZOO CITY,1518.0,Level 1,Not Suspended,2024-01-02 10:46:59 PST
USP YAZOO CITY,1518.0,Level 1,Not Suspended,2024-01-03 10:13:01 PST
USP YAZOO CITY,1504.0,Level 1,Not Suspended,2024-01-04 10:38:49 PST
USP YAZOO CITY,1504.0,Level 1,Not Suspended,2024-01-05 10:40:16 PST
USP YAZOO CITY,1504.0,Level 1,Not Suspended,2024-01-07 18:32:52 PST
USP YAZOO CITY,1504.0,Level 1,Not Suspended,2024-01-08 11:00:30 PST
USP YAZOO CITY,1504.0,Level 1,Not Suspended,2024-01-09 10:40:58 PST
USP YAZOO CITY,1504.0,No Longer Available,Not Suspended,2024-01-11 12:39:25 PST
USP YAZOO CITY,1504.0,No Longer Available,Not Suspended,2024-01-13 13:13:30 PST
USP YAZOO CITY,1494.0,No Longer Available,Not Suspended,2024-01-16 10:41:48 PST
USP YAZOO CITY,1494.0,No Longer Available,Not Suspended,2024-01-17 10:39:56 PST
USP YAZOO CITY,1494.0,No Longer Available,Not Suspended,2024-01-18 10:43:36 PST
USP YAZOO CITY,1488.0,No Longer Available,Not Suspended,2024-01-19 10:53:57 PST
USP YAZOO CITY,1488.0,No Longer Available,Not Suspended,2024-01-22 10:35:55 PST
USP YAZOO CITY,1488.0,No Longer Available,Not Suspended,2024-01-23 10:37:30 PST
USP YAZOO CITY,1488.0,No Longer Available,Not Suspended,2024-01-24 09:31:18 PST
USP YAZOO CITY,1508.0,No Longer Available,Not Suspended,2024-01-25 12:00:46 PST
USP YAZOO CITY,1508.0,No Longer Available,Not Suspended,2024-01-26 10:41:54 PST
USP YAZOO CITY,1508.0,No Longer Available,Not Suspended,2024-01-27 15:06:51 PST
USP YAZOO CITY,1508.0,No Longer Available,Not Suspended,2024-01-28 20:49:41 PST
USP YAZOO CITY,1508.0,No Longer Available,Not Suspended,2024-01-29 10:12:31 PST
USP YAZOO CITY,1508.0,No Longer Available,Not Suspended,2024-01-30 14:39:20 PST
USP YAZOO CITY,1508.0,No Longer Available,Not Suspended,2024-02-01 14:32:02 PST
USP YAZOO CITY,1485.0,No Longer Available,Not Suspended,2024-02-02 23:25:29 PST
USP YAZOO CITY,1485.0,No Longer Available,Not Suspended,2024-02-03 09:49:25 PST
USP YAZOO CITY,1485.0,No Longer Available,Not Suspended,2024-02-03 19:54:57 PST
USP YAZOO CITY,1485.0,No Longer Available,Not Suspended,2024-02-04 13:03:28 PST
USP YAZOO CITY,1485.0,No Longer Available,Not Suspended,2024-02-05 11:45:27 PST
USP YAZOO CITY,1485.0,No Longer Available,Not Suspended,2024-02-06 14:46:05 PST
USP YAZOO CITY,1485.0,No Longer Available,Not Suspended,2024-02-07 19:38:58 PST
USP YAZOO CITY,1482.0,No Longer Available,Not Suspended,2024-02-08 14:32:50 PST
USP YAZOO CITY,1482.0,No Longer Available,Not Suspended,2024-02-09 10:39:53 PST
USP YAZOO CITY,1482.0,No Longer Available,Not Suspended,2024-02-10 18:11:31 PST
USP YAZOO CITY,1482.0,No Longer Available,Not Suspended,2024-02-11 11:23:14 PST
USP YAZOO CITY,1482.0,No Longer Available,Not Suspended,2024-02-12 09:49:37 PST
USP YAZOO CITY,1482.0,No Longer Available,Not Suspended,2024-02-13 11:02:37 PST
USP YAZOO CITY,1462.0,No Longer Available,Not Suspended,2024-02-16 10:49:41 PST
USP YAZOO CITY,1462.0,No Longer Available,Not Suspended,2024-02-18 15:15:06 PST
USP YAZOO CITY,1462.0,No Longer Available,Not Suspended,2024-02-19 08:22:04 PST
USP YAZOO CITY,1462.0,No Longer Available,Not Suspended,2024-02-20 10:44:55 PST
USP YAZOO CITY,1473.0,No Longer Available,Not Suspended,2024-02-23 13:02:08 PST
USP YAZOO CITY,1473.0,No Longer Available,Not Suspended,2024-02-24 11:58:31 PST
USP YAZOO CITY,1473.0,No Longer Available,Not Suspended,2024-02-26 18:47:47 PST
USP YAZOO CITY,1473.0,No Longer Available,Not Suspended,2024-02-27 07:35:15 PST
USP YAZOO CITY,1481.0,No Longer Available,Not Suspended,2024-03-01 10:42:51 PST
USP YAZOO CITY,1481.0,No Longer Available,Not Suspended,2024-03-03 21:32:41 PST
USP YAZOO CITY,1492.0,No Longer Available,Not Suspended,2024-03-19 10:29:37 PDT
USP YAZOO CITY,1492.0,No Longer Available,Not Suspended,2024-03-20 10:32:00 PDT
USP YAZOO CITY,1492.0,No Longer Available,Not Suspended,2024-03-21 10:37:22 PDT
