title,population,operation_level,visiting_status,datetime_of_data
FPC ALDERSON,697.0,Level 1,Not Suspended,2023-09-27 10:21:40 PDT
FCI ALICEVILLE,1656.0,Level 1,Not Suspended,2023-09-27 10:21:49 PDT
FCI ALLENWOOD LOW,1049.0,Level 1,Not Suspended,2023-09-27 10:21:58 PDT
FCI ALLENWOOD MEDIUM,1273.0,Level 1,Not Suspended,2023-09-27 10:22:06 PDT
USP ALLENWOOD,324.0,Level 1,Not Suspended,2023-09-27 10:22:14 PDT
FCI ASHLAND,1305.0,Level 1,Not Suspended,2023-09-27 10:22:22 PDT
USP ATLANTA,,Level 1,Not Suspended,2023-09-27 10:22:30 PDT
USP ATWATER,1166.0,Level 1,Not Suspended,2023-09-27 10:22:39 PDT
FCI BASTROP,1098.0,Level 1,Not Suspended,2023-09-27 10:22:47 PDT
FCI BEAUMONT LOW,,Level 1,Not Suspended,2023-09-27 10:22:55 PDT
FCI BEAUMONT MEDIUM,1669.0,Level 1,Not Suspended,2023-09-27 10:23:03 PDT
USP BEAUMONT,1138.0,Level 1,Not Suspended,2023-09-27 10:23:11 PDT
FCI BECKLEY,1680.0,Level 1,Not Suspended,2023-09-27 10:23:19 PDT
FCI BENNETTSVILLE,1623.0,Level 1,Not Suspended,2023-09-27 10:23:27 PDT
FCI BERLIN,839.0,Level 1,Not Suspended,2023-09-27 10:23:35 PDT
USP BIG SANDY,1419.0,Level 1,Suspended,2023-09-27 10:23:43 PDT
FCI BIG SPRING,1101.0,Level 1,Not Suspended,2023-09-27 10:23:51 PDT
MDC BROOKLYN,1443.0,Level 1,Not Suspended,2023-09-27 10:23:59 PDT
FPC BRYAN,682.0,Level 1,Not Suspended,2023-09-27 10:24:07 PDT
FCI BUTNER MEDIUM II,1499.0,Level 1,Not Suspended,2023-09-27 10:24:16 PDT
FCI BUTNER LOW,956.0,Level 1,Not Suspended,2023-09-27 10:24:23 PDT
FCI BUTNER MEDIUM I,851.0,Level 1,Not Suspended,2023-09-27 10:24:31 PDT
FMC BUTNER,854.0,Level 1,Not Suspended,2023-09-27 10:24:39 PDT
USP CANAAN,1259.0,Level 1,Not Suspended,2023-09-27 10:24:47 PDT
FMC CARSWELL,984.0,Level 1,Not Suspended,2023-09-27 10:24:55 PDT
MCC CHICAGO,501.0,Level 1,Not Suspended,2023-09-27 10:25:03 PDT
FCI COLEMAN LOW,2055.0,Level 1,Not Suspended,2023-09-27 10:25:11 PDT
FCI COLEMAN MEDIUM,1562.0,Level 1,Not Suspended,2023-09-27 10:25:19 PDT
USP COLEMAN II,1182.0,Level 1,Not Suspended,2023-09-27 10:25:27 PDT
USP COLEMAN I,1445.0,Level 1,Not Suspended,2023-09-27 10:25:35 PDT
FCI CUMBERLAND,894.0,Level 1,Not Suspended,2023-09-27 10:25:44 PDT
FCI DANBURY,940.0,Level 1,Not Suspended,2023-09-27 10:25:52 PDT
FMC DEVENS,933.0,Level 1,Not Suspended,2023-09-27 10:26:00 PDT
FCI DUBLIN,694.0,Level 1,Not Suspended,2023-09-27 10:26:08 PDT
FPC DULUTH,407.0,Level 1,Not Suspended,2023-09-27 10:26:16 PDT
FCI EDGEFIELD,2009.0,Level 1,Not Suspended,2023-09-27 10:26:24 PDT
FCI EL RENO,1246.0,Level 1,Not Suspended,2023-09-27 10:26:32 PDT
FCI ELKTON,1978.0,Level 1,Not Suspended,2023-09-27 10:26:40 PDT
FCI ENGLEWOOD,950.0,Level 1,Not Suspended,2023-09-27 10:26:49 PDT
FCI ESTILL,60.0,Level 1,Not Suspended,2023-09-27 10:26:57 PDT
FCI FAIRTON,830.0,Level 1,Not Suspended,2023-09-27 10:27:05 PDT
FCI FLORENCE,1272.0,Level 1,Not Suspended,2023-09-27 10:27:13 PDT
