ds,population,title,daily_high_temperature,daily_low_temperature,daily_precipitation,lockdown_percentage,gender_Male,gender_Male and Female,political_affiliation_purple,political_affiliation_red,lockdown_probability
2024-05-22 09:53:34,740.1707498101066,FPC ALDERSON,84.4,58.2,0.0,0.0,0,0,0,1,0.0
2024-05-23 09:53:34,741.8466314639818,FPC ALDERSON,60.0,60.0,0.0,0.0,0,0,0,1,0.001
2024-05-24 09:53:34,741.4002823734475,FPC ALDERSON,60.0,60.0,0.0,0.0,0,0,0,1,0.001
2024-05-25 09:53:34,740.7795582737978,FPC ALDERSON,60.0,60.0,0.0,0.0,0,0,0,1,0.001
2024-05-26 09:53:34,744.8621956410568,FPC ALDERSON,60.0,60.0,0.0,0.0,0,0,0,1,0.001
2024-05-27 09:53:34,745.2604851684268,FPC ALDERSON,60.0,60.0,0.0,0.0,0,0,0,1,0.001
2024-05-28 09:53:34,747.599257032842,FPC ALDERSON,60.0,60.0,0.0,0.0,0,0,0,1,0.001
2024-05-22 09:53:52,1672.1857913810804,FCI ALICEVILLE,89.1,64.8,0.0,0.0,0,0,0,1,0.003
2024-05-23 09:53:52,1672.610788296109,FCI ALICEVILLE,60.0,60.0,0.0,0.0,0,0,0,1,0.009
2024-05-24 09:53:52,1678.1808716570256,FCI ALICEVILLE,60.0,60.0,0.0,0.0,0,0,0,1,0.009
2024-05-25 09:53:52,1680.1989521630528,FCI ALICEVILLE,60.0,60.0,0.0,0.0,0,0,0,1,0.008
2024-05-26 09:53:52,1680.3637400326763,FCI ALICEVILLE,60.0,60.0,0.0,0.0,0,0,0,1,0.008
2024-05-27 09:53:52,1684.6854956604968,FCI ALICEVILLE,60.0,60.0,0.0,0.0,0,0,0,1,0.008
2024-05-28 09:53:52,1685.2319816182883,FCI ALICEVILLE,60.0,60.0,0.0,0.0,0,0,0,1,0.008
2024-05-22 09:54:09,1003.6359134257735,FCI ALLENWOOD LOW,86.1,59.7,4.19,6.6115702479338845,1,0,1,0,0.06
2024-05-23 09:54:09,1002.811732474834,FCI ALLENWOOD LOW,60.0,60.0,0.0,6.6115702479338845,1,0,1,0,0.132
2024-05-24 09:54:09,1004.172945272982,FCI ALLENWOOD LOW,60.0,60.0,0.0,6.6115702479338845,1,0,1,0,0.131
2024-05-25 09:54:09,1003.2226785948245,FCI ALLENWOOD LOW,60.0,60.0,0.0,6.6115702479338845,1,0,1,0,0.131
2024-05-26 09:54:09,1004.2232657071949,FCI ALLENWOOD LOW,60.0,60.0,0.0,6.6115702479338845,1,0,1,0,0.131
2024-05-27 09:54:09,1005.3390631407899,FCI ALLENWOOD LOW,60.0,60.0,0.0,6.6115702479338845,1,0,1,0,0.131
2024-05-28 09:54:09,1005.3891261910474,FCI ALLENWOOD LOW,60.0,60.0,0.0,6.6115702479338845,1,0,1,0,0.131
2024-05-22 09:54:25,1300.9417392041623,FCI ALLENWOOD MEDIUM,86.1,59.7,4.19,33.88429752066116,1,0,1,0,0.434
2024-05-23 09:54:25,1300.356847304254,FCI ALLENWOOD MEDIUM,60.0,60.0,0.0,33.88429752066116,1,0,1,0,0.289
2024-05-24 09:54:25,1304.6671821847715,FCI ALLENWOOD MEDIUM,60.0,60.0,0.0,33.88429752066116,1,0,1,0,0.296
