title,population,operation_level,gender,judicial_district,county,bop_region,full_address,visiting_status,datetime_of_data
FPC ALDERSON,762,No Longer Available,Female,Southern West Virginia,GREENBRIER,Mid-Atlantic Region,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Not Suspended,2024-11-27 09:44:00 PST
FCI ALICEVILLE,"1,596",No Longer Available,Female,Northern District of Alabama,PICKENS,Southeast Region,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Suspended,2024-11-27 09:44:21 PST
FCI ALLENWOOD LOW,"1,046",No Longer Available,Male,Middle Pennsylvania,UNION,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-11-27 09:44:37 PST
FCI ALLENWOOD MEDIUM,"1,248",No Longer Available,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Not Suspended,2024-11-27 09:44:54 PST
USP ALLENWOOD,240,No Longer Available,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-11-27 09:45:10 PST
FCI ASHLAND,"1,329",No Longer Available,Male,Eastern Kentucky,BOYD,Mid-Atlantic Region,"ST. ROUTE 716, ASHLAND, KY 41105",Not Suspended,2024-11-27 09:45:26 PST
FCI ATLANTA,"1,828",No Longer Available,Male,Northern Georgia,FULTON,Southeast Region,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Not Suspended,2024-11-27 09:45:42 PST
USP ATWATER,"1,219",No Longer Available,Male,Eastern California,MERCED,Western Region,"1 FEDERAL WAY, ATWATER, CA 95301",Suspended,2024-11-27 09:45:58 PST
FCI BASTROP,"1,123",No Longer Available,Male,Western Texas,Bastrop,South Central Region,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",Not Suspended,2024-11-27 09:46:14 PST
FCI BEAUMONT LOW,"2,155",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-27 09:46:30 PST
FCI BEAUMONT MEDIUM,"1,479",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-27 09:46:45 PST
USP BEAUMONT,"1,406",No Longer Available,Male,Eastern Texas,Jefferson,South Central Region,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-11-27 09:47:01 PST
FCI BECKLEY,"1,679",No Longer Available,Male,Southern West Virginia,Raleigh,Mid-Atlantic Region,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Not Suspended,2024-11-27 09:47:22 PST
FCI BENNETTSVILLE,"1,555",No Longer Available,Male,South Carolina,Marlboro,Southeast Region,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Not Suspended,2024-11-27 09:47:38 PST
FCI BERLIN,975,No Longer Available,Male,District of New Hampshire,COOS COUNTY,Northeast Region,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Not Suspended,2024-11-27 09:47:54 PST
USP BIG SANDY,"1,256",No Longer Available,Male,Eastern Kentucky,Martin,Mid-Atlantic Region,"1197 AIRPORT ROAD, INEZ, KY 41224",Not Suspended,2024-11-27 09:48:10 PST
FCI BIG SPRING,657,No Longer Available,Male,Northern Texas,HOWARD,South Central Region,"1900 SIMLER AVE, BIG SPRING, TX 79720",Not Suspended,2024-11-27 09:48:26 PST
MDC BROOKLYN,"1,137",No Longer Available,Male and Female,Eastern New York,KINGS,Northeast Region,"80 29TH STREET, BROOKLYN, NY 11232",Not Suspended,2024-11-27 09:48:42 PST
FPC BRYAN,638,No Longer Available,Female,Southern Texas,BRAZOS,South Central Region,"1100 URSULINE AVENUE, BRYAN, TX 77803",Not Suspended,2024-11-27 09:48:58 PST
FCI BUTNER MEDIUM II,"1,579",No Longer Available,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:49:16 PST
FCI BUTNER LOW,986,No Longer Available,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:49:32 PST
FCI BUTNER MEDIUM I,800,No Longer Available,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:49:48 PST
FMC BUTNER,849,No Longer Available,Male,Eastern North Carolina,Granville,Mid-Atlantic Region,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Not Suspended,2024-11-27 09:50:04 PST
USP CANAAN,"1,378",No Longer Available,Male,Middle Pennsylvania,WAYNE,Northeast Region,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Not Suspended,2024-11-27 09:50:20 PST
FMC CARSWELL,"1,228",No Longer Available,Female,Northern Texas,,South Central Region,"NAVAL AIR STATION, FORT WORTH, TX 76114",Not Suspended,2024-11-27 09:50:36 PST
MCC CHICAGO,490,No Longer Available,Male and Female,Northern Illinois,COOK,North Central Region,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",Not Suspended,2024-11-27 09:51:06 PST
FCI COLEMAN LOW,"2,015",No Longer Available,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-11-27 09:51:22 PST
FCI COLEMAN MEDIUM,"1,508",No Longer Available,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-11-27 09:51:46 PST
