population,daily_high_temperature,daily_low_temperature,daily_precipitation,lockdown_percentage,gender_Male,gender_Male and Female,political_affiliation_purple,political_affiliation_red
1176.0,85.1,76.5,8.84,70.87378640776699,0,1,0,1
1391.0,55.9,35.5,0.0,19.41747572815534,1,0,0,1
932.0,45.9,34.7,1.15,6.796116504854369,0,1,0,0
894.0,41.0,32.8,0.08,0.0,1,0,1,0
1998.0,66.3,41.4,0.09,18.446601941747574,1,0,1,0
1330.0,66.3,51.3,0.05,47.57281553398058,1,0,1,0
1114.0,69.4,36.3,0.0,0.0,1,0,0,1
927.0,43.4,33.7,0.34,0.0,0,1,1,0
1457.0,51.3,37.4,0.01,11.650485436893204,1,0,1,0
1296.0,31.6,23.1,0.21,35.92233009708738,1,0,1,0
1219.0,57.4,40.7,0.0,0.0,1,0,1,0
1978.0,54.4,38.7,0.0,4.854368932038835,1,0,0,1
1136.0,46.2,31.5,0.07,0.0,1,0,0,1
884.0,31.4,22.9,0.67,53.398058252427184,1,0,1,0
937.0,59.5,54.9,0.32,0.0,1,0,0,0
1584.0,50.8,38.6,20.82,6.796116504854369,0,1,0,0
1291.0,66.0,42.8,0.0,0.0,1,0,0,1
1514.0,51.3,26.7,0.0,1.9417475728155338,1,0,1,0
1861.0,47.4,33.0,1.09,0.0,1,0,1,0
1452.0,42.7,23.5,0.0,6.796116504854369,1,0,0,1
728.0,50.3,30.2,0.43,0.0,0,0,0,1
1555.0,49.6,32.2,0.0,0.0,1,0,1,0
1452.0,49.1,31.8,0.0,0.0,1,0,0,1
1028.0,48.3,40.0,0.22,7.766990291262135,1,0,1,0
1128.0,42.7,39.5,42.58,27.184466019417474,1,0,1,0
1300.0,50.5,37.8,0.0,4.854368932038835,0,1,0,0
847.0,62.9,54.4,4.33,2.912621359223301,1,0,1,0
1130.0,83.4,59.2,1.96,0.0,1,0,0,1
1116.0,56.5,39.6,1.52,1.9417475728155338,1,0,1,0
1485.0,38.1,29.1,0.16,6.796116504854369,1,0,0,1
1685.0,57.8,45.3,0.0,0.0,1,0,1,0
897.0,62.2,40.8,0.14,0.0,1,0,1,0
1473.0,75.8,53.2,0.0,0.0,1,0,0,1
1049.0,64.2,40.7,0.0,7.766990291262135,1,0,1,0
999.0,40.5,25.2,0.0,7.766990291262135,1,0,1,0
284.0,80.0,74.6,1.38,0.0,0,1,0,0
1361.0,58.2,40.8,0.0,8.737864077669903,1,0,0,0
2083.0,47.3,26.8,0.35,4.854368932038835,1,0,0,1
1132.0,23.7,19.5,8.71,11.650485436893204,1,0,1,0
1306.0,40.0,34.5,1.2,4.854368932038835,0,1,0,0
1407.0,49.3,29.4,0.0,34.95145631067961,1,0,0,1
