title,population,operation_level,visiting_status,datetime_of_data
FPC ALDERSON,697,Level 1,Not Suspended,2023-09-27 11:52:09 PDT
FCI ALICEVILLE,"1,656",Level 1,Not Suspended,2023-09-27 11:52:25 PDT
FCI ALLENWOOD LOW,"1,049",Level 1,Not Suspended,2023-09-27 11:52:42 PDT
FCI ALLENWOOD MEDIUM,"1,273",Level 1,Not Suspended,2023-09-27 11:52:58 PDT
USP ALLENWOOD,324,Level 1,Not Suspended,2023-09-27 11:53:14 PDT
FCI ASHLAND,"1,305",Level 1,Not Suspended,2023-09-27 11:53:30 PDT
USP ATLANTA,"1,847",Level 1,Not Suspended,2023-09-27 11:53:46 PDT
USP ATWATER,"1,166",Level 1,Not Suspended,2023-09-27 11:54:03 PDT
FCI BASTROP,"1,098",Level 1,Not Suspended,2023-09-27 11:54:20 PDT
FCI BEAUMONT LOW,"2,020",Level 1,Not Suspended,2023-09-27 11:54:37 PDT
FCI BEAUMONT MEDIUM,"1,669",Level 1,Not Suspended,2023-09-27 11:54:54 PDT
USP BEAUMONT,"1,138",Level 1,Not Suspended,2023-09-27 11:55:11 PDT
FCI BECKLEY,"1,680",Level 1,Not Suspended,2023-09-27 11:55:28 PDT
FCI BENNETTSVILLE,"1,623",Level 1,Not Suspended,2023-09-27 11:55:44 PDT
FCI BERLIN,839,Level 1,Not Suspended,2023-09-27 11:56:05 PDT
USP BIG SANDY,"1,419",Level 1,Suspended,2023-09-27 11:56:22 PDT
FCI BIG SPRING,"1,101",Level 1,Not Suspended,2023-09-27 11:56:38 PDT
MDC BROOKLYN,"1,443",Level 1,Not Suspended,2023-09-27 11:56:54 PDT
FPC BRYAN,682,Level 1,Not Suspended,2023-09-27 11:57:10 PDT
FCI BUTNER MEDIUM II,"1,499",Level 1,Not Suspended,2023-09-27 11:57:26 PDT
FCI BUTNER LOW,956,Level 1,Not Suspended,2023-09-27 11:57:42 PDT
FCI BUTNER MEDIUM I,851,Level 1,Not Suspended,2023-09-27 11:57:58 PDT
FMC BUTNER,854,Level 1,Not Suspended,2023-09-27 11:58:15 PDT
USP CANAAN,"1,259",Level 1,Not Suspended,2023-09-27 11:58:31 PDT
FMC CARSWELL,984,Level 1,Not Suspended,2023-09-27 11:58:47 PDT
MCC CHICAGO,501,Level 1,Not Suspended,2023-09-27 11:59:04 PDT
FCI COLEMAN LOW,"2,055",Level 1,Not Suspended,2023-09-27 11:59:20 PDT
FCI COLEMAN MEDIUM,"1,562",Level 1,Not Suspended,2023-09-27 11:59:36 PDT
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-27 11:59:52 PDT
USP COLEMAN I,"1,445",Level 1,Not Suspended,2023-09-27 12:00:09 PDT
FCI CUMBERLAND,894,Level 1,Not Suspended,2023-09-27 12:00:26 PDT
FCI DANBURY,940,Level 1,Not Suspended,2023-09-27 12:00:42 PDT
