title,population,operation_level,visiting_status,datetime_of_data
FPC ALDERSON,705,No Longer Available,Not Suspended,2024-02-04 12:31:21 PST
FCI ALICEVILLE,"1,588",No Longer Available,Not Suspended,2024-02-04 12:31:38 PST
FCI ALLENWOOD LOW,999,No Longer Available,Not Suspended,2024-02-04 12:31:54 PST
FCI ALLENWOOD MEDIUM,"1,273",No Longer Available,Suspended,2024-02-04 12:32:10 PST
USP ALLENWOOD,284,No Longer Available,Not Suspended,2024-02-04 12:32:25 PST
FCI ASHLAND,"1,303",No Longer Available,Not Suspended,2024-02-04 12:32:41 PST
USP ATLANTA,"1,672",No Longer Available,Not Suspended,2024-02-04 12:32:56 PST
USP ATWATER,"1,189",No Longer Available,Suspended,2024-02-04 12:33:12 PST
FCI BASTROP,"1,064",No Longer Available,Not Suspended,2024-02-04 12:33:27 PST
FCI BEAUMONT LOW,"1,990",No Longer Available,Not Suspended,2024-02-04 12:33:43 PST
FCI BEAUMONT MEDIUM,"1,639",No Longer Available,Not Suspended,2024-02-04 12:33:58 PST
USP BEAUMONT,"1,142",No Longer Available,Not Suspended,2024-02-04 12:34:14 PST
FCI BECKLEY,"1,669",No Longer Available,Suspended,2024-02-04 12:34:29 PST
FCI BENNETTSVILLE,"1,666",No Longer Available,Not Suspended,2024-02-04 12:34:46 PST
FCI BERLIN,778,No Longer Available,Not Suspended,2024-02-04 12:35:01 PST
USP BIG SANDY,"1,407",No Longer Available,Not Suspended,2024-02-04 12:35:17 PST
FCI BIG SPRING,"1,052",No Longer Available,Not Suspended,2024-02-04 12:35:33 PST
MDC BROOKLYN,"1,544",No Longer Available,Not Suspended,2024-02-04 12:35:48 PST
FPC BRYAN,692,No Longer Available,Not Suspended,2024-02-04 12:36:04 PST
FCI BUTNER MEDIUM II,"1,404",No Longer Available,Not Suspended,2024-02-04 12:36:19 PST
FCI BUTNER LOW,962,No Longer Available,Not Suspended,2024-02-04 12:36:35 PST
FCI BUTNER MEDIUM I,877,No Longer Available,Not Suspended,2024-02-04 12:36:51 PST
FMC BUTNER,846,No Longer Available,Not Suspended,2024-02-04 12:37:06 PST
USP CANAAN,"1,278",No Longer Available,Suspended,2024-02-04 12:37:22 PST
FMC CARSWELL,981,No Longer Available,Not Suspended,2024-02-04 12:37:37 PST
MCC CHICAGO,519,No Longer Available,Not Suspended,2024-02-04 12:37:53 PST
FCI COLEMAN LOW,"2,055",No Longer Available,Suspended,2024-02-04 12:38:08 PST
FCI COLEMAN MEDIUM,"1,569",No Longer Available,Not Suspended,2024-02-04 12:38:24 PST
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-04 12:38:39 PST
USP COLEMAN I,"1,412",No Longer Available,Not Suspended,2024-02-04 12:38:55 PST
FCI CUMBERLAND,"1,045",No Longer Available,Not Suspended,2024-02-04 12:39:11 PST
FCI DANBURY,"1,028",No Longer Available,Not Suspended,2024-02-04 12:39:26 PST
FMC DEVENS,919,No Longer Available,Not Suspended,2024-02-04 12:39:42 PST
FCI DUBLIN,691,No Longer Available,Not Suspended,2024-02-04 12:39:57 PST
FPC DULUTH,456,No Longer Available,Not Suspended,2024-02-04 12:40:13 PST
FCI EDGEFIELD,"2,072",No Longer Available,Not Suspended,2024-02-04 12:40:28 PST
FCI EL RENO,"1,214",No Longer Available,Not Suspended,2024-02-04 12:40:44 PST
FCI ELKTON,"1,891",No Longer Available,Not Suspended,2024-02-04 12:40:59 PST
FCI ENGLEWOOD,894,No Longer Available,Not Suspended,2024-02-04 12:41:15 PST
FCI ESTILL,66,No Longer Available,Not Suspended,2024-02-04 12:41:30 PST
FCI FAIRTON,795,No Longer Available,Not Suspended,2024-02-04 12:41:46 PST
FCI FLORENCE,"1,248",No Longer Available,Not Suspended,2024-02-04 12:42:02 PST
USP FLORENCE ADMAX,328,No Longer Available,Not Suspended,2024-02-04 12:42:17 PST
USP FLORENCE - HIGH,911,No Longer Available,Suspended,2024-02-04 12:42:33 PST
FCI FORREST CITY MEDIUM,"1,652",No Longer Available,Not Suspended,2024-02-04 12:42:48 PST
FCI FORREST CITY LOW,"1,801",No Longer Available,Not Suspended,2024-02-04 12:43:04 PST
FCI FORT DIX,"3,862",No Longer Available,Not Suspended,2024-02-04 12:43:20 PST
