Facility,CurrPop,RatedCap,Cap%,PIPI,PIPO,ProjPop,ProjPop%,TargetPop,PopAdjmt
ADAMS CTY CORR CTR CI,1886,2340,-19,102,99,1889,-19,2340,451
ALDERSON FPC (F),677,744,-9,75,33,719,-3,748,29
ALDERSON FPC-RDAP (F),253,248,2,5,21,237,-4,248,11
ALICEVILLE FCI,1554,1536,1,123,73,1604,4,1947,343
ALICEVILLE FCI SCP,235,256,-8,15,20,230,-10,257,27
ALLENWOOD LOW FCI,1185,868,37,26,49,1162,34,1112,-50
ALLENWOOD LOW FCI-RDAP,114,124,-8,2,5,111,-10,124,13
ALLENWOOD MED FCI,1085,771,41,39,49,1075,39,985,-90
ALLENWOOD MED FCI (SP),61,54,13,0,1,60,11,54,-6
ALLENWOOD MED FCI-RDAP,125,91,37,9,7,127,40,91,-36
ALLENWOOD USP,648,400,62,31,29,650,63,603,-47
ALLENWOOD USP-CHALLENGE,99,80,24,2,1,100,25,80,-20
ALLENWOOD USP-MENT HLTH,30,38,-21,2,0,32,-16,38,6
ALLENWOOD USP-SMU,122,80,53,41,22,141,76,80,-61
ASHLAND FCI,1021,747,37,65,54,1032,38,957,-75
ASHLAND FCI SCP,261,296,-12,21,15,267,-10,281,14
ATLANTA USP,1365,1040,31,54,52,1367,31,1329,-38
ATLANTA USP DET CTR,370,370,0,1,303,68,-82,370,302
ATLANTA USP SCP,509,488,4,20,23,506,4,462,-44
ATLANTA USP-MENT HLTH,21,30,-30,2,1,22,-27,30,8
ATWATER USP,860,800,8,73,23,910,14,1206,296
ATWATER USP SCP,104,128,-19,8,5,107,-16,121,14
ATWATER USP-CHALLENGE,91,80,14,1,2,90,13,80,-10
BASTROP FCI,1032,818,26,42,48,1026,25,1048,22
BASTROP FCI SCP,179,122,47,13,10,182,49,116,-66
BASTROP FCI-RDAP,147,115,28,0,7,140,22,115,-25
BEAUMONT FCI-LOW,1613,1280,26,63,99,1577,23,1640,63
BEAUMONT FCI-LOW RDAP,289,256,13,0,17,272,6,256,-16
BEAUMONT FCI-MED,1455,1056,38,69,105,1419,34,1349,-70
BEAUMONT FCI-MED RDAP,99,85,16,7,0,106,25,85,-21
BEAUMONT USP,1321,800,65,26,39,1308,64,1206,-102
BEAUMONT USP SCP,396,384,3,37,18,415,8,364,-51
BEAUMONT USP SCP-RDAP,140,128,9,7,4,143,12,128,-15
BEAUMONT USP-CHALLENGE,82,80,3,0,7,75,-6,80,5
BEAUMONT USP-RDAP,115,77,49,0,1,114,48,77,-37
BECKLEY FCI,1231,935,32,78,100,1209,29,1194,-15
BECKLEY FCI SCP,285,288,-1,14,43,256,-11,273,17
BECKLEY FCI-BRAVE,121,96,26,25,4,142,48,96,-46
BECKLEY FCI-RDAP,124,96,29,3,3,124,29,96,-28
BECKLEY SCP-RDAP,72,96,-25,7,0,79,-18,96,17
BENNETTSVILLE FCI,1405,1152,22,65,45,1425,24,1472,47
BENNETTSVILLE FCI SCP,140,128,9,4,14,130,2,121,-9
BERLIN FCI,924,1056,-12,42,22,944,-11,1349,405
BERLIN FCI SCP,86,128,-33,4,4,86,-33,121,35
BERLIN FCI-RDAP,94,93,1,4,3,95,2,93,-2
BIG SANDY USP,1169,800,46,114,104,1179,47,1206,27
BIG SANDY USP SCP,96,128,-25,2,12,86,-33,121,35
BIG SANDY USP-CHALLENGE,100,74,35,0,4,96,30,74,-22
BIG SANDY USP-RDAP,110,75,47,8,19,99,32,75,-24
BIG SPRING CI,3107,3509,-11,299,266,3140,-11,3509,369
BIG SPRING FCI,1107,883,25,70,76,1101,25,1132,31
BIG SPRING FCI SCP,188,144,31,9,8,189,31,136,-53
BROOKLYN MDC CAD-FEMALE,107,70,53,4,6,105,50,70,-35
BROOKLYN MDC CAD-MALE,178,390,-54,27,26,179,-54,390,211
BROOKLYN MDC-FEMALE,46,55,-16,0,1,45,-18,55,10
BROOKLYN MDC-MALE,1413,1363,4,1,280,1134,-17,1363,229
BRYAN FPC (F),572,540,6,47,30,589,9,543,-46
BRYAN FPC-RDAP (F),172,180,-4,3,8,167,-7,180,13
BUTNER FCI II-GEN POP,1374,1056,30,55,57,1372,30,1349,-23
BUTNER FCI II-RDAP,123,95,29,5,1,127,34,95,-32
BUTNER FCI SCP (M),326,296,10,37,14,349,18,281,-68
BUTNER FCI-GEN POP,486,289,68,32,20,498,72,369,-129
BUTNER FCI-LOW,1326,992,34,78,54,1350,36,1271,-79
BUTNER FCI-MEN HLTH,60,58,3,0,0,60,3,58,-2
BUTNER FCI-RDAP,108,76,42,9,0,117,54,76,-41
BUTNER FCI-SEX OFF PGM,60,69,-13,1,0,61,-12,69,8
BUTNER FMC CAD-MALE,288,248,16,5,11,282,14,248,-34
BUTNER FMC-MED/SURG,439,404,9,29,35,433,7,404,-29
BUTNER FMC-MENT HLTH,220,216,2,30,3,247,14,216,-31
